filename,sample_time,0,1,2,3,4,5,6,7,8
random_15,300,2.16365,0.4772,0.13365,0.26385,0.09865,0.04595,0.0182,0.0094,0.0102
random_15,400,1.03305,0.0,0.9768,0.2622,0.1395,0.05625,0.02045,0.0058,0.00595
random_15,500,1.72635,0.0,3.7655,0.1857,0.0,0.11575,0.0,0.0081,0.0
random_15,600,1.2595,0.0,3.92165,0.02775,0.0,0.37915,0.0,0.0217,0.0
random_16,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
random_16,100,2.04915,0.67595,0.0796,0.663,0.02585,0.1608,0.00995,0.0263,0.0063
random_16,200,5.3223,1.0739,0.05755,0.5834,0.138,0.1036,0.01255,0.01585,0.0158
random_16,300,1.5957,1.4261,0.0879,0.1046,0.11195,0.0396,0.0198,0.0091,0.0143
random_16,400,1.87515,0.8913,0.63305,0.2013,0.1794,0.07085,0.08695,0.00405,0.0
random_16,500,2.39345,0.0,2.1852,0.2556,0.0745,0.1372,0.0022,0.00495,0.0
random_16,600,1.2186,0.0,2.91535,0.12,0.0,0.32375,0.0,0.00825,0.0
random_17,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
random_17,100,2.19045,0.67955,0.08125,0.60805,0.01735,0.1487,0.0147,0.02605,0.00685
random_17,200,4.35865,1.59365,0.0718,0.58625,0.13815,0.1017,0.024,0.01605,0.0171
random_17,300,1.03145,1.30505,0.1161,0.12635,0.1136,0.0597,0.02395,0.0107,0.00225
random_17,400,3.1307,0.6903,0.83335,0.31185,0.168,0.10725,0.0369,0.00685,0.01395
random_17,500,1.58565,0.5973,2.40505,0.09905,0.0,0.1664,0.05355,0.0083,0.0
random_17,600,1.9323,0.0,2.31785,0.0737,0.0,0.39765,0.0229,0.01455,0.0
random_18,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
random_18,100,1.9626,0.79865,0.0832,0.6127,0.019,0.145,0.01315,0.0269,0.00295
random_18,200,3.5668,2.2745,0.0679,0.56695,0.22905,0.08735,0.0218,0.01535,0.01535
random_18,300,0.9528,1.37905,0.1973,0.1288,0.40185,0.06545,0.0275,0.0143,0.0134
random_18,400,3.46055,0.8686,1.34195,0.38,0.0863,0.09435,0.0404,0.0101,0.0
random_18,500,1.52705,0.0,2.5164,0.09465,0.0444,0.2172,0.01205,0.01625,0.0
random_18,600,2.9513,0.0,2.08695,0.06215,0.0,0.46635,0.0,0.02805,0.0
random_19,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
random_19,100,2.7656,0.68825,0.05805,0.6688,0.01895,0.1418,0.0108,0.02545,0.0042
random_19,200,3.87085,2.4532,0.02315,0.3317,0.11435,0.0584,0.01145,0.01265,0.0171
random_19,300,0.5404,0.7625,0.04515,0.13045,0.3265,0.04865,0.02725,0.0132,0.0138
random_19,400,3.23645,1.12205,0.3187,0.41375,0.0,0.0592,0.02195,0.0024,0.0
random_19,500,1.74125,1.08455,1.0635,0.2716,0.0,0.0752,0.0503,0.00195,0.0
random_19,600,1.12385,1.7385,1.97915,0.09605,0.0,0.1425,0.0,0.00265,0.0
random_20,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
random_20,100,2.9737,0.431,0.055,0.73655,0.01215,0.14315,0.009,0.02625,0.00145
random_20,200,3.69665,2.05225,0.01875,0.31875,0.02635,0.0481,0.01415,0.00965,0.0069
random_20,300,0.4431,2.50965,0.03145,0.12445,0.535,0.041,0.01,0.00545,0.0064
random_20,400,2.3328,1.69335,0.2517,0.2092,0.17745,0.03765,0.01125,0.0022,0.0
random_20,500,1.8719,1.5542,1.365,0.3878,0.2502,0.0991,0.0008,0.00225,0.0
random_20,600,1.7701,0.50615,3.0015,0.0565,0.3438,0.16615,0.0023,0.00305,0.0
clustered_1,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
clustered_1,100,2.34475,5.7045,0.1365,0.2831,0.1705,0.1156,0.05305,0.0207,0.04795
clustered_1,200,1.8491,2.2979,0.12365,0.2227,1.2605,0.14515,0.13775,0.0258,0.11005
clustered_1,300,3.51125,0.363,0.1915,0.3937,0.1047,0.253,0.03155,0.01655,0.01515
