filename,r,sample_time,sample_id,0,1,2,3,4,5,6,7,8
random_1,1,100,2,2,0,1,1,0,1,0,0,0
random_1,1,100,3,8,0,0,0,0,0,0,0,0
random_1,1,100,4,0,0,0,2,0,0,0,0,0
random_1,1,100,5,2,0,0,1,0,0,0,0,0
random_1,1,100,6,0,0,0,0,0,0,0,0,0
random_1,1,100,7,4,0,0,1,0,0,0,0,0
random_1,1,100,8,6,0,0,0,0,0,0,0,0
random_1,1,100,9,2,0,0,0,0,0,0,0,0
random_1,1,100,10,5,0,0,1,0,0,0,0,0
random_1,1,100,11,0,0,0,0,0,0,0,0,0
random_1,1,100,12,0,0,0,0,0,0,0,0,0
random_1,1,100,13,0,0,0,0,0,0,0,0,0
random_1,1,100,14,2,0,1,1,0,0,0,0,0
random_1,1,100,15,4,0,0,0,0,0,0,0,0
random_1,2,100,0,4,0,0,0,0,0,0,0,0
random_1,2,100,1,16,0,0,1,0,0,0,0,0
random_1,2,100,2,14,0,1,5,0,1,0,0,0
random_1,2,100,3,20,0,0,3,0,1,0,0,0
random_1,2,100,4,3,0,0,2,0,0,0,0,0
random_1,2,100,5,6,0,0,7,0,0,0,0,0
random_1,2,100,6,0,0,0,0,0,0,0,0,0
random_1,2,100,7,9,0,0,2,0,0,0,0,0
random_1,2,100,8,11,0,0,0,0,0,0,0,0
random_1,2,100,9,3,0,1,1,0,0,0,0,0
random_1,2,100,10,7,0,0,2,0,0,0,0,0
random_1,2,100,11,4,0,0,0,0,1,0,0,0
random_1,2,100,12,0,0,0,0,0,0,0,0,0
random_1,2,100,13,0,0,0,0,0,0,0,0,0
random_1,2,100,14,2,0,1,1,0,0,0,0,0
random_1,2,100,15,5,0,0,1,0,1,0,0,0
random_1,3,100,0,12,0,0,0,0,2,0,0,0
random_1,3,100,1,26,0,0,3,0,0,0,0,0
random_1,3,100,2,18,0,1,7,0,2,0,0,0
random_1,3,100,3,32,0,0,3,0,1,0,0,0
random_1,3,100,4,6,0,0,4,0,3,0,1,0
