filename,r,sample_time,sample_id,shannon,simpson
random_1,4,0,1,1.198849312913621,0.6527777777777778
random_1,4,0,2,1.3316643102930146,0.673469387755102
random_1,4,0,3,1.198849312913621,0.6527777777777778
random_1,4,0,4,1.442080248948443,0.675
random_1,4,0,5,1.276550779811499,0.634920634920635
random_1,4,0,6,1.442080248948443,0.675
random_1,4,0,7,1.276550779811499,0.634920634920635
random_1,4,0,8,1.3316643102930146,0.673469387755102
random_1,4,0,9,1.198849312913621,0.6527777777777778
random_1,4,0,10,1.3316643102930146,0.673469387755102
random_1,4,0,11,1.198849312913621,0.6527777777777778
random_1,4,0,12,1.442080248948443,0.675
random_1,4,0,13,1.276550779811499,0.634920634920635
random_1,4,0,14,1.442080248948443,0.675
random_1,4,0,15,1.276550779811499,0.634920634920635
random_1,5,0,0,1.3381745750342398,0.6840277777777779
random_1,5,0,1,1.16597762023176,0.5972222222222221
random_1,5,0,2,1.3381745750342398,0.6840277777777779
random_1,5,0,3,1.16597762023176,0.5972222222222221
random_1,5,0,4,1.4271772823094684,0.6734693877551021
random_1,5,0,5,1.3321860763356346,0.6534859521331946
random_1,5,0,6,1.4271772823094684,0.6734693877551021
random_1,5,0,7,1.3321860763356346,0.6534859521331946
random_1,5,0,8,1.3381745750342398,0.6840277777777779
random_1,5,0,9,1.16597762023176,0.5972222222222221
random_1,5,0,10,1.3381745750342398,0.6840277777777779
random_1,5,0,11,1.16597762023176,0.5972222222222221
random_1,5,0,12,1.4271772823094684,0.6734693877551021
random_1,5,0,13,1.3321860763356346,0.6534859521331946
random_1,5,0,14,1.4271772823094684,0.6734693877551021
random_1,5,0,15,1.3321860763356346,0.6534859521331946
random_1,1,100,0,-0.0,0.0
random_1,1,100,1,0.5623351446188083,0.375
random_1,1,100,2,1.3321790402101223,0.72
random_1,1,100,3,-0.0,0.0
random_1,1,100,4,-0.0,0.0
random_1,1,100,5,0.6365141682948128,0.4444444444444444
random_1,1,100,6,0.0,0.0
random_1,1,100,7,0.5004024235381879,0.31999999999999984
random_1,1,100,8,-0.0,0.0
random_1,1,100,9,-0.0,0.0
random_1,1,100,10,0.45056120886630463,0.2777777777777777
random_1,1,100,11,0.0,0.0
random_1,1,100,12,0.0,0.0
random_1,1,100,13,0.0,0.0
random_1,1,100,14,1.0397207708399179,0.625
random_1,1,100,15,-0.0,0.0
random_1,2,100,0,-0.0,0.0
random_1,2,100,1,0.22371807606583377,0.11072664359861584
random_1,2,100,2,0.9019513816860838,0.49433106575963714
random_1,2,100,3,0.5442837329694393,0.2881944444444443
random_1,2,100,4,0.6730116670092565,0.48
random_1,2,100,5,0.6901856760188042,0.4970414201183432
random_1,2,100,6,0.0,0.0
random_1,2,100,7,0.47413931305783735,0.2975206611570247
random_1,2,100,8,-0.0,0.0
random_1,2,100,9,0.9502705392332347,0.5599999999999999
random_1,2,100,10,0.5297061990576545,0.345679012345679
random_1,2,100,11,0.5004024235381879,0.31999999999999984
random_1,2,100,12,0.0,0.0
random_1,2,100,13,0.0,0.0
random_1,2,100,14,1.0397207708399179,0.625
random_1,2,100,15,0.7963116401738131,0.44897959183673464
random_1,3,100,0,0.410116318288409,0.24489795918367352
random_1,3,100,1,0.3325942143118925,0.1854934601664684
random_1,3,100,2,0.9381203299381308,0.5178571428571428
random_1,3,100,3,0.4113137785784551,0.20216049382716061
random_1,3,100,4,1.2396593920543857,0.6836734693877551
random_1,3,100,5,0.6853142072764582,0.4921875
random_1,3,100,6,-0.0,0.0
random_1,3,100,7,0.5908422462755825,0.4012345679012346
random_1,3,100,8,-0.0,0.0
random_1,3,100,9,0.7963116401738131,0.44897959183673464
random_1,3,100,10,0.4293230219306162,0.2603550295857988
