filename,r,type_id,0,1,2,3,4,5,6,7,8
random_1,4,5,0.10667,0.22289,0.20053,0.14866,0.17361,0.0,0.44447,0.34094,0.32251
random_1,4,6,0.46246,0.18088,0.4444,0.48871,0.32939,0.44447,0.0,0.93023,1.0
random_1,4,7,0.34298,0.4076,0.29003,0.34089,0.47776,0.34094,0.93023,0.0,0.65116
random_1,4,8,0.30675,0.38193,0.31676,0.30045,0.41229,0.32251,1.0,0.65116,0.0
random_1,5,0,0.0,0.23667,0.21793,0.12495,0.16832,0.10409,0.39714,0.21737,0.32138
random_1,5,1,0.23667,0.0,0.2874,0.2541,0.11893,0.21746,0.15735,0.33075,0.45303
random_1,5,2,0.21793,0.2874,0.0,0.19223,0.21504,0.18501,0.39616,0.21507,0.32874
random_1,5,3,0.12495,0.2541,0.19223,0.0,0.1854,0.13052,0.43032,0.21681,0.27729
random_1,5,4,0.16832,0.11893,0.21504,0.1854,0.0,0.13138,0.28652,0.26995,0.37858
random_1,5,5,0.10409,0.21746,0.18501,0.13052,0.13138,0.0,0.38475,0.20728,0.31746
random_1,5,6,0.39714,0.15735,0.39616,0.43032,0.28652,0.38475,0.0,0.49655,1.0
random_1,5,7,0.21737,0.33075,0.21507,0.21681,0.26995,0.20728,0.49655,0.0,0.46967
random_1,5,8,0.32138,0.45303,0.32874,0.27729,0.37858,0.31746,1.0,0.46967,0.0
random_2,1,0,0.0,0.22804,0.1018,0.26186,0.17273,0.17368,0.28594,0.32812,0.0
random_2,1,1,0.22804,0.0,0.18147,0.41868,0.31224,0.35714,0.30357,0.5,0.0
random_2,1,2,0.1018,0.18147,0.0,0.24463,0.14403,0.16901,0.28832,0.29826,0.0
random_2,1,3,0.26186,0.41868,0.24463,0.0,0.31282,0.4188,0.66667,0.44872,0.0
random_2,1,4,0.17273,0.31224,0.14403,0.31282,0.0,0.17949,0.44,0.44,0.0
random_2,1,5,0.17368,0.35714,0.16901,0.4188,0.17949,0.0,0.57143,0.57143,0.0
random_2,1,6,0.28594,0.30357,0.28832,0.66667,0.44,0.57143,0.0,1.0,0.0
random_2,1,7,0.32812,0.5,0.29826,0.44872,0.44,0.57143,1.0,0.0,0.0
random_2,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,2,0,0.0,0.39333,0.23384,0.35352,0.37826,0.25674,0.43067,0.60836,0.0
random_2,2,1,0.39333,0.0,0.34673,0.50164,0.51064,0.46595,0.65624,0.72865,0.0
random_2,2,2,0.23384,0.34673,0.0,0.36639,0.40881,0.22954,0.43062,0.66667,0.0
random_2,2,3,0.35352,0.50164,0.36639,0.0,0.55949,0.40982,0.69614,0.6413,0.0
random_2,2,4,0.37826,0.51064,0.40881,0.55949,0.0,0.44148,0.64042,0.79876,0.0
