filename,sample_time,r,sample_id,0,1,2,3,4,5,6,7,8
clustered_11,100,5,6,19,0,0,0,0,0,0,0,0
clustered_11,100,5,7,0,0,6,0,0,0,0,0,0
clustered_11,100,5,8,15,0,1,0,0,8,0,0,0
clustered_11,100,5,9,10,0,11,9,2,0,0,0,0
clustered_11,100,5,10,0,4,7,0,6,0,0,0,0
clustered_11,100,5,11,0,0,2,6,0,0,0,0,0
clustered_11,100,5,12,24,0,2,0,0,0,0,0,0
clustered_11,100,5,13,97,0,0,4,0,1,0,1,0
clustered_11,100,5,14,2,284,0,8,3,0,0,0,0
clustered_11,100,5,15,36,18,0,9,0,4,1,0,0
clustered_11,200,1,0,0,0,0,0,0,0,0,0,0
clustered_11,200,1,1,3,0,0,0,0,0,0,0,0
clustered_11,200,1,2,0,0,0,0,1,0,0,0,0
clustered_11,200,1,3,4,0,0,0,0,0,0,0,0
clustered_11,200,1,4,0,0,0,0,0,0,0,0,0
clustered_11,200,1,5,0,5,0,0,0,0,0,0,0
clustered_11,200,1,6,6,0,0,0,0,0,0,0,0
clustered_11,200,1,7,1,0,0,0,2,0,0,0,0
clustered_11,200,1,8,11,0,0,1,0,0,0,0,0
clustered_11,200,1,9,7,0,0,0,1,1,0,0,0
clustered_11,200,1,10,0,0,0,0,0,0,0,0,0
clustered_11,200,1,11,0,11,0,0,0,0,0,0,0
clustered_11,200,1,12,0,11,0,0,0,0,0,0,1
clustered_11,200,1,13,0,0,0,0,0,0,0,0,0
clustered_11,200,1,14,0,0,0,0,6,0,0,0,0
clustered_11,200,1,15,0,0,0,0,0,0,0,1,0
clustered_11,200,2,0,3,0,0,0,0,0,0,0,0
clustered_11,200,2,1,7,0,0,0,0,0,0,0,0
clustered_11,200,2,2,2,0,0,0,3,0,0,0,0
clustered_11,200,2,3,11,0,0,0,0,1,0,0,0
clustered_11,200,2,4,0,0,0,0,0,0,0,0,0
clustered_11,200,2,5,0,27,0,0,0,0,1,0,4
clustered_11,200,2,6,12,0,0,0,0,1,0,0,0
clustered_11,200,2,7,5,0,1,0,2,0,0,0,0
clustered_11,200,2,8,16,0,0,1,0,0,0,0,0
clustered_11,200,2,9,13,0,0,0,2,1,0,0,0
clustered_11,200,2,10,0,0,0,0,0,0,0,0,0
clustered_11,200,2,11,0,35,0,0,0,0,0,0,0
clustered_11,200,2,12,0,34,2,0,0,0,0,0,1
clustered_11,200,2,13,0,0,0,0,0,0,0,0,0
clustered_11,200,2,14,0,0,0,0,16,0,0,0,0
clustered_11,200,2,15,0,0,0,0,0,0,0,1,0
clustered_11,200,3,0,10,0,0,0,0,0,0,0,0
clustered_11,200,3,1,13,0,0,0,0,0,0,0,0
clustered_11,200,3,2,4,0,0,0,8,0,0,0,0
clustered_11,200,3,3,14,0,0,0,0,1,0,0,0
clustered_11,200,3,4,0,0,0,0,0,0,0,0,0
clustered_11,200,3,5,0,53,0,0,0,0,2,0,5
clustered_11,200,3,6,25,0,0,0,0,1,0,0,0
clustered_11,200,3,7,13,2,1,0,4,0,0,0,0
clustered_11,200,3,8,23,0,0,2,0,1,1,0,0
clustered_11,200,3,9,28,0,0,0,4,2,0,0,0
clustered_11,200,3,10,0,0,0,0,0,0,0,0,0
clustered_11,200,3,11,0,59,0,0,0,0,1,0,1
clustered_11,200,3,12,0,74,2,0,0,0,0,0,1
clustered_11,200,3,13,0,0,0,0,0,0,0,0,0
clustered_11,200,3,14,0,0,0,0,40,0,0,0,0
clustered_11,200,3,15,0,0,0,0,0,1,2,1,1
clustered_11,200,4,0,14,0,0,0,0,0,0,0,0
clustered_11,200,4,1,19,0,0,0,0,1,0,0,0
clustered_11,200,4,2,10,0,0,0,10,0,0,0,0
clustered_11,200,4,3,23,0,1,4,0,3,0,0,0
clustered_11,200,4,4,0,0,0,0,0,0,0,0,0
clustered_11,200,4,5,0,76,0,0,0,0,2,0,7
clustered_11,200,4,6,37,0,0,0,0,1,0,0,0
clustered_11,200,4,7,18,6,4,0,7,2,1,0,0
clustered_11,200,4,8,41,0,0,2,0,4,1,0,0
clustered_11,200,4,9,42,0,0,0,4,2,0,0,0
clustered_11,200,4,10,0,0,0,1,1,0,0,0,0
clustered_11,200,4,11,0,92,0,0,7,0,3,0,2
clustered_11,200,4,12,0,115,2,0,0,0,0,0,1
clustered_11,200,4,13,0,0,0,0,0,0,0,0,0
clustered_11,200,4,14,0,0,0,0,60,0,0,0,0
clustered_11,200,4,15,0,1,0,0,0,1,2,1,1
clustered_11,200,5,0,23,0,0,0,0,0,0,0,0
clustered_11,200,5,1,35,0,1,1,0,2,0,0,0
clustered_11,200,5,2,13,0,0,0,14,3,0,0,0
clustered_11,200,5,3,26,0,2,7,0,8,0,1,0
clustered_11,200,5,4,0,0,0,0,0,0,0,0,0
clustered_11,200,5,5,0,118,0,0,0,0,3,0,8
clustered_11,200,5,6,55,0,0,0,0,1,0,0,0
clustered_11,200,5,7,20,12,7,0,12,3,2,0,0
clustered_11,200,5,8,52,0,0,2,0,5,1,0,0
clustered_11,200,5,9,53,0,2,0,5,2,0,0,0
clustered_11,200,5,10,0,0,1,1,1,0,0,0,0
clustered_11,200,5,11,0,135,0,0,10,0,4,0,4
clustered_11,200,5,12,0,157,4,0,1,0,0,0,1
clustered_11,200,5,13,0,0,2,0,0,0,0,0,0
clustered_11,200,5,14,0,0,0,0,97,0,0,0,0
clustered_11,200,5,15,0,1,0,0,0,1,2,1,1
clustered_11,300,1,0,2,0,0,0,4,0,1,0,0
clustered_11,300,1,1,4,0,0,0,0,0,0,0,0
clustered_11,300,1,2,0,0,0,0,0,0,0,0,0
clustered_11,300,1,3,13,0,0,0,0,0,0,0,0
clustered_11,300,1,4,0,0,0,0,0,0,0,0,0
clustered_11,300,1,5,0,0,0,0,0,0,0,0,0
clustered_11,300,1,6,0,0,0,0,0,0,0,0,0
clustered_11,300,1,7,1,0,0,0,0,0,0,0,0
clustered_11,300,1,8,0,0,0,0,0,0,0,0,0
clustered_11,300,1,9,2,0,0,0,0,0,0,0,0
clustered_11,300,1,10,3,0,1,0,0,0,0,0,0
clustered_11,300,1,11,0,0,0,0,0,0,0,0,0
clustered_11,300,1,12,0,0,0,0,0,0,1,0,0
clustered_11,300,1,13,0,0,1,0,0,0,0,0,0
clustered_11,300,1,14,0,0,0,0,0,0,0,0,0
clustered_11,300,1,15,18,0,0,0,0,0,0,0,0
clustered_11,300,2,0,7,0,0,0,8,0,2,0,0
clustered_11,300,2,1,9,0,0,0,0,0,0,0,0
clustered_11,300,2,2,0,0,0,0,0,0,0,0,0
clustered_11,300,2,3,31,0,0,1,0,0,0,0,0
clustered_11,300,2,4,2,0,0,0,0,9,0,0,0
clustered_11,300,2,5,0,0,0,0,0,0,0,0,0
clustered_11,300,2,6,0,0,0,0,0,0,0,0,0
clustered_11,300,2,7,5,0,0,0,0,0,0,0,0
clustered_11,300,2,8,0,0,0,0,0,0,0,0,0
clustered_11,300,2,9,2,0,0,0,0,0,0,0,0
clustered_11,300,2,10,10,0,1,2,0,0,0,0,0
clustered_11,300,2,11,0,0,0,0,0,0,0,0,0
clustered_11,300,2,12,0,0,0,0,0,0,1,0,0
clustered_11,300,2,13,2,0,1,0,0,0,0,0,0
clustered_11,300,2,14,0,0,0,0,0,0,0,0,0
clustered_11,300,2,15,37,0,0,0,0,0,0,0,0
clustered_11,300,3,0,10,0,0,0,10,0,6,0,0
clustered_11,300,3,1,21,0,0,0,0,0,0,0,0
clustered_11,300,3,2,0,0,0,0,0,0,0,0,0
clustered_11,300,3,3,40,0,0,2,0,0,0,0,0
clustered_11,300,3,4,7,0,0,0,0,14,0,0,0
clustered_11,300,3,5,0,0,0,0,0,0,0,0,0
clustered_11,300,3,6,0,0,0,0,0,0,0,0,0
clustered_11,300,3,7,8,0,0,0,0,0,0,0,0
clustered_11,300,3,8,0,0,0,0,0,0,0,0,0
clustered_11,300,3,9,2,0,0,0,0,0,0,0,0
clustered_11,300,3,10,13,0,2,5,0,0,0,0,0
clustered_11,300,3,11,0,0,0,0,0,0,0,0,0
clustered_11,300,3,12,1,0,0,0,0,0,1,0,0
clustered_11,300,3,13,7,0,2,0,0,0,0,0,0
clustered_11,300,3,14,0,0,0,0,0,0,0,0,0
clustered_11,300,3,15,56,0,0,0,0,2,0,0,0
clustered_11,300,4,0,17,0,0,0,16,0,8,0,0
clustered_11,300,4,1,38,0,0,0,0,1,0,0,0
clustered_11,300,4,2,0,0,0,0,0,1,0,0,0
