filename,r,sample_time,shannon,simpson
clustered_18,4,400,0.39413,0.18161
clustered_18,4,500,0.8386,0.43709
clustered_18,4,600,1.0009,0.57662
clustered_18,5,0,1.47393,0.70925
clustered_18,5,100,1.04076,0.5647
clustered_18,5,200,1.22387,0.60062
clustered_18,5,300,0.64756,0.3052
clustered_18,5,400,0.409,0.18757
clustered_18,5,500,0.85634,0.45289
clustered_18,5,600,1.04707,0.5954
clustered_19,1,0,1.06086,0.64198
clustered_19,1,100,1.03911,0.589
clustered_19,1,200,1.44311,0.70737
clustered_19,1,300,0.755,0.36735
clustered_19,1,400,1.14992,0.62976
clustered_19,1,500,0.54428,0.28819
clustered_19,1,600,1.27303,0.68512
clustered_19,2,0,1.12209,0.63138
clustered_19,2,100,1.1349,0.60813
clustered_19,2,200,1.38696,0.67958
clustered_19,2,300,0.50359,0.22397
clustered_19,2,400,0.93331,0.51783
clustered_19,2,500,0.51721,0.24244
clustered_19,2,600,1.3662,0.74061
clustered_19,3,0,1.22432,0.66535
clustered_19,3,100,1.1281,0.60297
clustered_19,3,200,1.36787,0.67954
clustered_19,3,300,0.48111,0.20044
clustered_19,3,400,0.86257,0.47934
clustered_19,3,500,0.47726,0.22349
clustered_19,3,600,1.33837,0.72771
clustered_19,4,0,1.50601,0.71644
clustered_19,4,100,1.11826,0.5983
clustered_19,4,200,1.39786,0.68549
clustered_19,4,300,0.63516,0.2843
clustered_19,4,400,0.89317,0.50141
clustered_19,4,500,0.4486,0.20242
clustered_19,4,600,1.35668,0.72462
clustered_19,5,0,1.47393,0.70925
clustered_19,5,100,1.12787,0.60452
clustered_19,5,200,1.39801,0.68477
clustered_19,5,300,0.65533,0.28699
clustered_19,5,400,0.93425,0.5282
clustered_19,5,500,0.44524,0.19989
clustered_19,5,600,1.33649,0.71805
clustered_2,1,0,1.06086,0.64198
clustered_2,1,100,0.90444,0.55037
clustered_2,1,200,1.16833,0.61249
clustered_2,1,300,0.75641,0.38527
clustered_2,1,400,0.12425,0.05259
clustered_2,1,500,0.65648,0.33056
clustered_2,1,600,0.56273,0.29111
clustered_2,2,0,1.12209,0.63138
clustered_2,2,100,1.055,0.59187
clustered_2,2,200,1.25359,0.62849
clustered_2,2,300,0.82137,0.39003
clustered_2,2,400,0.40011,0.17388
clustered_2,2,500,0.58671,0.29086
clustered_2,2,600,0.69271,0.33279
clustered_2,3,0,1.22432,0.66535
clustered_2,3,100,1.12127,0.60538
clustered_2,3,200,1.23985,0.6261
clustered_2,3,300,0.76925,0.36189
clustered_2,3,400,0.69335,0.33758
clustered_2,3,500,0.53767,0.25672
clustered_2,3,600,0.73092,0.35984
clustered_2,4,0,1.50601,0.71644
clustered_2,4,100,1.10718,0.59392
clustered_2,4,200,1.29334,0.63815
clustered_2,4,300,0.78564,0.36812
clustered_2,4,400,0.70572,0.33967
clustered_2,4,500,0.52771,0.25305
clustered_2,4,600,0.7338,0.36686
clustered_2,5,0,1.47393,0.70925
clustered_2,5,100,1.13114,0.59915
clustered_2,5,200,1.30915,0.64621
clustered_2,5,300,0.74476,0.34628
clustered_2,5,400,0.68999,0.33411
clustered_2,5,500,0.54472,0.26236
clustered_2,5,600,0.71737,0.35293
clustered_20,1,0,1.06086,0.64198
clustered_20,1,100,0.89655,0.51637
clustered_20,1,200,1.4906,0.72221
clustered_20,1,300,0.97216,0.46599
clustered_20,1,400,0.97611,0.47222
clustered_20,1,500,1.28992,0.705
clustered_20,1,600,0.82055,0.409
clustered_20,2,0,1.12209,0.63138
clustered_20,2,100,0.99725,0.53138
clustered_20,2,200,1.59842,0.74155
clustered_20,2,300,0.90073,0.44239
clustered_20,2,400,0.86023,0.41322
clustered_20,2,500,1.26271,0.69097
clustered_20,2,600,0.68899,0.33743
clustered_20,3,0,1.22432,0.66535
clustered_20,3,100,1.0022,0.54438
clustered_20,3,200,1.67058,0.756
clustered_20,3,300,0.88842,0.42771
clustered_20,3,400,0.87943,0.44021
