filename,r,sample_time,sample_id,shannon,simpson
clustered_1,4,100,9,0.68114,0.41512
clustered_1,4,100,10,0.05647,0.02
clustered_1,4,100,11,0.91601,0.48443
clustered_1,4,200,0,1.06709,0.64463
clustered_1,4,200,1,0.07575,0.02857
clustered_1,4,200,2,0.34883,0.19753
clustered_1,4,200,3,0.36221,0.20761
clustered_1,4,200,4,0.30539,0.1351
clustered_1,4,200,5,0.0,0.0
clustered_1,4,200,6,0.78775,0.50444
clustered_1,4,200,7,-0.0,0.0
clustered_1,4,200,8,1.35033,0.68941
clustered_1,4,200,9,0.63651,0.44444
clustered_1,4,200,10,0.31001,0.14169
clustered_1,4,200,11,0.70292,0.39844
clustered_1,4,300,0,0.96814,0.55178
clustered_1,4,300,1,0.0,0.0
clustered_1,4,300,2,0.55266,0.36623
clustered_1,4,300,3,-0.0,0.0
clustered_1,4,300,4,0.0,0.0
clustered_1,4,300,5,1.09861,0.66667
clustered_1,4,300,6,-0.0,0.0
clustered_1,4,300,7,-0.0,0.0
clustered_1,4,300,8,0.34883,0.19753
clustered_1,4,300,9,1.04084,0.55469
clustered_1,4,300,10,0.59714,0.4071
clustered_1,4,300,11,0.91843,0.56944
clustered_1,4,400,0,0.39267,0.23111
clustered_1,4,400,1,0.34292,0.15611
clustered_1,4,400,2,0.0,0.0
clustered_1,4,400,3,0.37677,0.21875
clustered_1,4,400,4,0.70292,0.39844
clustered_1,4,400,5,-0.0,0.0
clustered_1,4,400,6,0.21456,0.10494
clustered_1,4,400,7,-0.0,0.0
clustered_1,4,400,8,0.0,0.0
clustered_1,4,400,9,0.0,0.0
clustered_1,4,400,10,0.0,0.0
clustered_1,4,400,11,0.40333,0.19722
clustered_1,4,500,0,-0.0,0.0
clustered_1,4,500,1,-0.0,0.0
clustered_1,4,500,2,0.0,0.0
clustered_1,4,500,3,0.0,0.0
clustered_1,4,500,4,-0.0,0.0
clustered_1,4,500,5,-0.0,0.0
clustered_1,4,500,6,0.69315,0.5
clustered_1,4,500,7,-0.0,0.0
clustered_1,4,500,8,0.69315,0.5
clustered_1,4,500,9,0.69315,0.5
clustered_1,4,500,10,-0.0,0.0
clustered_1,4,500,11,-0.0,0.0
clustered_1,4,600,0,-0.0,0.0
clustered_1,4,600,1,0.43756,0.26707
clustered_1,4,600,2,-0.0,0.0
clustered_1,4,600,3,0.17504,0.08094
clustered_1,4,600,4,0.0,0.0
clustered_1,4,600,5,0.83525,0.47514
clustered_1,4,600,6,0.49602,0.26864
clustered_1,4,600,7,0.97431,0.59375
clustered_1,4,600,8,0.41012,0.2449
clustered_1,4,600,9,0.47793,0.23684
clustered_1,4,600,10,0.45633,0.22569
clustered_1,4,600,11,-0.0,0.0
clustered_1,5,0,0,0.63651,0.44444
clustered_1,5,0,1,0.0,0.0
clustered_1,5,0,2,-0.0,0.0
clustered_1,5,0,3,0.0,0.0
clustered_1,5,0,4,0.0,0.0
clustered_1,5,0,5,-0.0,0.0
clustered_1,5,0,6,-0.0,0.0
clustered_1,5,0,7,-0.0,0.0
clustered_1,5,0,8,0.0,0.0
clustered_1,5,0,9,0.36221,0.20761
clustered_1,5,0,10,0.69269,0.49954
clustered_1,5,0,11,-0.0,0.0
clustered_1,5,100,0,0.63651,0.44444
clustered_1,5,100,1,0.94162,0.52889
clustered_1,5,100,2,0.99733,0.59819
clustered_1,5,100,3,0.0,0.0
clustered_1,5,100,4,-0.0,0.0
clustered_1,5,100,5,0.52602,0.34241
clustered_1,5,100,6,0.90951,0.54545
clustered_1,5,100,7,0.83421,0.47004
clustered_1,5,100,8,-0.0,0.0
clustered_1,5,100,9,0.74748,0.48593
clustered_1,5,100,10,0.0805,0.02658
clustered_1,5,100,11,0.90776,0.51192
clustered_1,5,200,0,0.95027,0.56
clustered_1,5,200,1,0.05791,0.02062
clustered_1,5,200,2,0.20619,0.09972
clustered_1,5,200,3,0.49045,0.25255
clustered_1,5,200,4,0.25636,0.10873
clustered_1,5,200,5,0.0,0.0
clustered_1,5,200,6,0.72741,0.46786
clustered_1,5,200,7,-0.0,0.0
clustered_1,5,200,8,1.3731,0.70048
clustered_1,5,200,9,1.03972,0.625
clustered_1,5,200,10,0.25117,0.10898
clustered_1,5,200,11,0.81519,0.41319
clustered_1,5,300,0,1.0007,0.57798
clustered_1,5,300,1,0.0,0.0
clustered_1,5,300,2,0.67026,0.40311
clustered_1,5,300,3,-0.0,0.0
clustered_1,5,300,4,0.0,0.0
clustered_1,5,300,5,1.35178,0.73469
clustered_1,5,300,6,0.21456,0.10494
clustered_1,5,300,7,-0.0,0.0
clustered_1,5,300,8,0.20619,0.09972
clustered_1,5,300,9,0.97248,0.53333
clustered_1,5,300,10,0.61922,0.4039
clustered_1,5,300,11,0.88263,0.55359
clustered_1,5,400,0,0.44795,0.27562
clustered_1,5,400,1,0.41193,0.18195
clustered_1,5,400,2,0.0,0.0
