filename,sample_time,type_id,0,1,2,3,4,5,6,7,8
random_2,500,7,0.99948,0.0,0.99581,0.99525,0.99435,0.99937,1.0,0.0,0.0
random_2,500,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,600,0,0.0,0.0,0.87014,0.93828,0.0,0.85864,0.99529,0.98534,0.0
random_2,600,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,600,2,0.87014,0.0,0.0,0.97019,0.0,0.93781,0.97998,0.98125,0.0
random_2,600,3,0.93828,0.0,0.97019,0.0,0.0,0.90487,1.0,0.98691,0.0
random_2,600,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,600,5,0.85864,0.0,0.93781,0.90487,0.0,0.0,0.99916,0.98435,0.0
random_2,600,6,0.99529,0.0,0.97998,1.0,0.0,0.99916,0.0,0.99916,0.0
random_2,600,7,0.98534,0.0,0.98125,0.98691,0.0,0.98435,0.99916,0.0,0.0
random_2,600,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_3,0,0,0.0,0.65599,0.85251,0.80188,0.8511,0.88921,0.97725,0.99303,0.97733
random_3,0,1,0.65599,0.0,0.85677,0.80952,0.84951,0.88932,0.97701,0.99535,0.97663
random_3,0,2,0.85251,0.85677,0.0,0.86971,0.85976,0.89899,0.97909,0.99579,0.97879
random_3,0,3,0.80188,0.80952,0.86971,0.0,0.86199,0.88425,0.98055,0.99077,0.98119
random_3,0,4,0.8511,0.84951,0.85976,0.86199,0.0,0.89896,0.97571,0.99124,0.98085
random_3,0,5,0.88921,0.88932,0.89899,0.88425,0.89896,0.0,0.98339,0.99482,0.98116
random_3,0,6,0.97725,0.97701,0.97909,0.98055,0.97571,0.98339,0.0,0.98627,0.97966
random_3,0,7,0.99303,0.99535,0.99579,0.99077,0.99124,0.99482,0.98627,0.0,1.0
random_3,0,8,0.97733,0.97663,0.97879,0.98119,0.98085,0.98116,0.97966,1.0,0.0
random_3,100,0,0.0,0.98284,0.96875,0.66161,0.99204,0.88226,0.99233,0.97936,0.9954
random_3,100,1,0.98284,0.0,0.98752,0.98118,0.88604,0.98214,0.89391,0.98642,0.95113
random_3,100,2,0.96875,0.98752,0.0,0.97317,0.99099,0.96597,0.99327,0.96802,1.0
random_3,100,3,0.66161,0.98118,0.97317,0.0,0.99257,0.85788,0.99345,0.9585,0.99789
random_3,100,4,0.99204,0.88604,0.99099,0.99257,0.0,0.98808,0.9498,0.98794,0.9957
random_3,100,5,0.88226,0.98214,0.96597,0.85788,0.98808,0.0,0.99053,0.96105,0.99973
random_3,100,6,0.99233,0.89391,0.99327,0.99345,0.9498,0.99053,0.0,0.98492,0.97164
random_3,100,7,0.97936,0.98642,0.96802,0.9585,0.98794,0.96105,0.98492,0.0,0.99959
random_3,100,8,0.9954,0.95113,1.0,0.99789,0.9957,0.99973,0.97164,0.99959,0.0
random_3,200,0,0.0,0.98717,0.98621,0.78781,0.99601,0.93089,0.99729,0.99235,0.99884
random_3,200,1,0.98717,0.0,0.9972,0.99663,0.90384,0.99342,0.95236,0.9795,0.96516
random_3,200,2,0.98621,0.9972,0.0,0.98694,0.99871,0.99073,0.99927,0.98562,1.0
random_3,200,3,0.78781,0.99663,0.98694,0.0,0.99708,0.87104,0.99801,0.98154,0.99963
random_3,200,4,0.99601,0.90384,0.99871,0.99708,0.0,0.98845,0.95057,0.94274,0.97303
random_3,200,5,0.93089,0.99342,0.99073,0.87104,0.98845,0.0,0.99758,0.98389,0.99983
random_3,200,6,0.99729,0.95236,0.99927,0.99801,0.95057,0.99758,0.0,0.96892,0.95534
random_3,200,7,0.99235,0.9795,0.98562,0.98154,0.94274,0.98389,0.96892,0.0,0.95882
random_3,200,8,0.99884,0.96516,1.0,0.99963,0.97303,0.99983,0.95534,0.95882,0.0
random_3,300,0,0.0,0.96171,0.96567,0.83785,0.92228,0.93475,0.98965,0.9981,0.99419
random_3,300,1,0.96171,0.0,0.99331,0.96023,0.82215,0.97539,0.91676,0.99659,0.90133
random_3,300,2,0.96567,0.99331,0.0,0.96879,0.98564,0.97838,0.98034,1.0,0.99735
random_3,300,3,0.83785,0.96023,0.96879,0.0,0.95953,0.92606,0.99259,0.99167,0.99149
random_3,300,4,0.92228,0.82215,0.98564,0.95953,0.0,0.95009,0.91113,0.96601,0.95157
random_3,300,5,0.93475,0.97539,0.97838,0.92606,0.95009,0.0,0.95144,0.99416,0.99004
random_3,300,6,0.98965,0.91676,0.98034,0.99259,0.91113,0.95144,0.0,0.99434,0.93135
random_3,300,7,0.9981,0.99659,1.0,0.99167,0.96601,0.99416,0.99434,0.0,0.97945
random_3,300,8,0.99419,0.90133,0.99735,0.99149,0.95157,0.99004,0.93135,0.97945,0.0
random_3,400,0,0.0,0.99665,0.91512,0.81358,0.97398,0.91167,0.97706,0.99693,0.99695
random_3,400,1,0.99665,0.0,0.97758,0.99577,0.99347,0.99739,0.99565,1.0,0.87576
random_3,400,2,0.91512,0.97758,0.0,0.91852,0.96732,0.98458,0.99403,0.99666,0.98538
random_3,400,3,0.81358,0.99577,0.91852,0.0,0.97657,0.90027,0.97495,0.99723,0.99635
random_3,400,4,0.97398,0.99347,0.96732,0.97657,0.0,0.98244,0.93831,0.97989,0.95413
random_3,400,5,0.91167,0.99739,0.98458,0.90027,0.98244,0.0,0.97022,0.99809,0.99696
random_3,400,6,0.97706,0.99565,0.99403,0.97495,0.93831,0.97022,0.0,0.98338,0.97755
random_3,400,7,0.99693,1.0,0.99666,0.99723,0.97989,0.99809,0.98338,0.0,0.99685
random_3,400,8,0.99695,0.87576,0.98538,0.99635,0.95413,0.99696,0.97755,0.99685,0.0
random_3,500,0,0.0,0.99658,0.9062,0.83714,0.0,0.88915,0.0,0.99763,0.0
random_3,500,1,0.99658,0.0,0.97779,0.99584,0.0,0.99412,0.0,1.0,0.0
random_3,500,2,0.9062,0.97779,0.0,0.96546,0.0,0.97974,0.0,0.99415,0.0
random_3,500,3,0.83714,0.99584,0.96546,0.0,0.0,0.90073,0.0,0.99367,0.0
random_3,500,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_3,500,5,0.88915,0.99412,0.97974,0.90073,0.0,0.0,0.0,0.99762,0.0
random_3,500,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_3,500,7,0.99763,1.0,0.99415,0.99367,0.0,0.99762,0.0,0.0,0.0
random_3,500,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_3,600,0,0.0,0.99563,0.85919,0.88336,0.0,0.77991,0.0,0.99836,0.0
random_3,600,1,0.99563,0.0,0.96767,0.99711,0.0,0.99902,0.0,1.0,0.0
random_3,600,2,0.85919,0.96767,0.0,0.95995,0.0,0.9455,0.0,0.99427,0.0
random_3,600,3,0.88336,0.99711,0.95995,0.0,0.0,0.89104,0.0,0.99975,0.0
random_3,600,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_3,600,5,0.77991,0.99902,0.9455,0.89104,0.0,0.0,0.0,0.99965,0.0
random_3,600,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
