filename,r,type_id,0,1,2,3,4,5,6,7,8
random_3,2,4,0.15905,0.17245,0.14675,0.19935,0.0,0.1793,0.23602,0.1087,0.47826
random_3,2,5,0.09449,0.13527,0.11073,0.10233,0.1793,0.0,0.27841,0.28571,0.38961
random_3,2,6,0.21014,0.15495,0.21221,0.20629,0.23602,0.27841,0.0,0.5,0.5
random_3,2,7,0.22928,0.225,0.24101,0.27692,0.1087,0.28571,0.5,0.0,1.0
random_3,2,8,0.22779,0.19286,0.26321,0.2,0.47826,0.38961,0.5,1.0,0.0
random_3,3,0,0.0,0.26238,0.13099,0.10425,0.28383,0.13955,0.32651,0.42523,0.26958
random_3,3,1,0.26238,0.0,0.20452,0.22613,0.23203,0.24189,0.24638,0.39193,0.21824
random_3,3,2,0.13099,0.20452,0.0,0.11775,0.22792,0.19844,0.25141,0.40296,0.27412
random_3,3,3,0.10425,0.22613,0.11775,0.0,0.28695,0.14172,0.34211,0.41751,0.27823
random_3,3,4,0.28383,0.23203,0.22792,0.28695,0.0,0.24763,0.24036,0.23936,0.50451
random_3,3,5,0.13955,0.24189,0.19844,0.14172,0.24763,0.0,0.31355,0.34091,0.28662
random_3,3,6,0.32651,0.24638,0.25141,0.34211,0.24036,0.31355,0.0,0.70312,0.55804
random_3,3,7,0.42523,0.39193,0.40296,0.41751,0.23936,0.34091,0.70312,0.0,1.0
random_3,3,8,0.26958,0.21824,0.27412,0.27823,0.50451,0.28662,0.55804,1.0,0.0
random_3,4,0,0.0,0.47292,0.24417,0.14541,0.48577,0.20299,0.48374,0.48154,0.53601
random_3,4,1,0.47292,0.0,0.34875,0.3982,0.33619,0.43778,0.37567,0.60107,0.37193
random_3,4,2,0.24417,0.34875,0.0,0.18716,0.39661,0.30383,0.4636,0.55253,0.52083
random_3,4,3,0.14541,0.3982,0.18716,0.0,0.4458,0.18287,0.50499,0.57233,0.53704
random_3,4,4,0.48577,0.33619,0.39661,0.4458,0.0,0.37855,0.52976,0.40665,0.6785
random_3,4,5,0.20299,0.43778,0.30383,0.18287,0.37855,0.0,0.52561,0.56132,0.57017
random_3,4,6,0.48374,0.37567,0.4636,0.50499,0.52976,0.52561,0.0,0.80593,0.5283
random_3,4,7,0.48154,0.60107,0.55253,0.57233,0.40665,0.56132,0.80593,0.0,1.0
random_3,4,8,0.53601,0.37193,0.52083,0.53704,0.6785,0.57017,0.5283,1.0,0.0
random_3,5,0,0.0,0.63026,0.33237,0.19173,0.6167,0.21869,0.66217,0.53362,0.55276
random_3,5,1,0.63026,0.0,0.47595,0.5151,0.43483,0.59176,0.51186,0.75349,0.45606
random_3,5,2,0.33237,0.47595,0.0,0.23039,0.51879,0.41669,0.67384,0.53301,0.58203
random_3,5,3,0.19173,0.5151,0.23039,0.0,0.54802,0.25216,0.66697,0.68483,0.53161
random_3,5,4,0.6167,0.43483,0.51879,0.54802,0.0,0.51314,0.73265,0.56502,0.75423
random_3,5,5,0.21869,0.59176,0.41669,0.25216,0.51314,0.0,0.61322,0.67251,0.61881
random_3,5,6,0.66217,0.51186,0.67384,0.66697,0.73265,0.61322,0.0,0.92105,0.5848
random_3,5,7,0.53362,0.75349,0.53301,0.68483,0.56502,0.67251,0.92105,0.0,1.0
random_3,5,8,0.55276,0.45606,0.58203,0.53161,0.75423,0.61881,0.5848,1.0,0.0
random_4,1,0,0.0,0.10256,0.10781,0.11944,0.12821,0.18182,0.0,0.26667,0.0
random_4,1,1,0.10256,0.0,0.19071,0.22593,0.22222,0.5,0.0,0.5,0.0
random_4,1,2,0.10781,0.19071,0.0,0.09687,0.15465,0.2642,0.0,0.17898,0.0
random_4,1,3,0.11944,0.22593,0.09687,0.0,0.1963,0.34286,0.0,0.3,0.0
random_4,1,4,0.12821,0.22222,0.15465,0.1963,0.0,0.5,0.0,0.5,0.0
random_4,1,5,0.18182,0.5,0.2642,0.34286,0.5,0.0,0.0,1.0,0.0
random_4,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_4,1,7,0.26667,0.5,0.17898,0.3,0.5,1.0,0.0,0.0,0.0
random_4,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_4,2,0,0.0,0.19222,0.20629,0.22397,0.17986,0.30649,0.0,0.56805,0.0
random_4,2,1,0.19222,0.0,0.12626,0.18534,0.31115,0.34382,0.0,0.54545,0.0
random_4,2,2,0.20629,0.12626,0.0,0.19089,0.32963,0.39286,0.0,0.50758,0.0
random_4,2,3,0.22397,0.18534,0.19089,0.0,0.27636,0.37088,0.0,0.66964,0.0
random_4,2,4,0.17986,0.31115,0.32963,0.27636,0.0,0.32407,0.0,0.83333,0.0
random_4,2,5,0.30649,0.34382,0.39286,0.37088,0.32407,0.0,0.0,1.0,0.0
random_4,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_4,2,7,0.56805,0.54545,0.50758,0.66964,0.83333,1.0,0.0,0.0,0.0
random_4,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_4,3,0,0.0,0.05082,0.07642,0.07475,0.07723,0.06721,0.21332,0.2276,0.17673
random_4,3,1,0.05082,0.0,0.06647,0.0571,0.09041,0.06823,0.24242,0.24242,0.21296
random_4,3,2,0.07642,0.06647,0.0,0.08393,0.09196,0.10319,0.23553,0.20921,0.17733
random_4,3,3,0.07475,0.0571,0.08393,0.0,0.08914,0.07407,0.20149,0.23134,0.19633
random_4,3,4,0.07723,0.09041,0.09196,0.08914,0.0,0.08594,0.25,0.34375,0.27778
random_4,3,5,0.06721,0.06823,0.10319,0.07407,0.08594,0.0,0.2625,0.2,0.23864
random_4,3,6,0.21332,0.24242,0.23553,0.20149,0.25,0.2625,0.0,1.0,0.66667
random_4,3,7,0.2276,0.24242,0.20921,0.23134,0.34375,0.2,1.0,0.0,0.66667
random_4,3,8,0.17673,0.21296,0.17733,0.19633,0.27778,0.23864,0.66667,0.66667,0.0
random_4,4,0,0.0,0.08999,0.1376,0.11693,0.12105,0.11429,0.39099,0.34656,0.3561
random_4,4,1,0.08999,0.0,0.12442,0.06564,0.15411,0.10711,0.35714,0.28333,0.32143
random_4,4,2,0.1376,0.12442,0.0,0.16911,0.14169,0.15107,0.32999,0.28882,0.34231
