filename,r,sample_time,sample_id,0,1,2,3,4,5,6,7,8
clustered_11,3,300,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,3,300,3,12.8,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0
clustered_11,3,300,4,2.24,0.0,0.0,0.0,0.0,4.48,0.0,0.0,0.0
clustered_11,3,300,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,3,300,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,3,300,7,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,3,300,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,3,300,9,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,3,300,10,4.16,0.0,0.64,1.6,0.0,0.0,0.0,0.0,0.0
clustered_11,3,300,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,3,300,12,0.32,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0
clustered_11,3,300,13,2.24,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,3,300,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,3,300,15,17.92,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0
clustered_11,4,300,0,3.31707,0.0,0.0,0.0,3.12195,0.0,1.56098,0.0,0.0
clustered_11,4,300,1,7.41463,0.0,0.0,0.0,0.0,0.19512,0.0,0.0,0.0
clustered_11,4,300,2,0.0,0.0,0.0,0.0,0.0,0.19512,0.0,0.0,0.0
clustered_11,4,300,3,10.53659,0.0,0.0,0.58537,0.0,0.19512,0.0,0.0,0.0
clustered_11,4,300,4,3.31707,0.0,0.0,0.0,0.0,3.5122,0.0,0.0,0.0
clustered_11,4,300,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,4,300,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,4,300,7,2.14634,0.0,0.0,0.0,0.0,0.58537,0.0,0.0,0.0
clustered_11,4,300,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
