filename,r,sample_time,shannon,simpson
clustered_17,3,400,0.58474,0.30765
clustered_17,3,500,0.83708,0.42967
clustered_17,3,600,0.94649,0.48942
clustered_17,4,0,1.45395,0.71181
clustered_17,4,100,1.12587,0.58304
clustered_17,4,200,1.3915,0.66355
clustered_17,4,300,0.55712,0.24495
clustered_17,4,400,0.5139,0.25529
clustered_17,4,500,0.69934,0.35095
clustered_17,4,600,0.86346,0.43644
clustered_17,5,0,1.4876,0.73469
clustered_17,5,100,1.12831,0.57775
clustered_17,5,200,1.40383,0.67254
clustered_17,5,300,0.54059,0.23337
clustered_17,5,400,0.54959,0.27547
clustered_17,5,500,0.69599,0.34395
clustered_17,5,600,0.84571,0.42428
clustered_18,1,0,1.0114,0.61111
clustered_18,1,100,1.06086,0.59341
clustered_18,1,200,1.27834,0.59307
clustered_18,1,300,0.39212,0.19375
clustered_18,1,400,-0.0,0.0
clustered_18,1,500,0.80657,0.4224
clustered_18,1,600,0.66628,0.47337
clustered_18,2,0,1.28687,0.64889
clustered_18,2,100,1.03425,0.56163
clustered_18,2,200,1.15153,0.55197
clustered_18,2,300,0.4636,0.21172
clustered_18,2,400,0.28684,0.15278
clustered_18,2,500,0.79338,0.40595
clustered_18,2,600,0.7621,0.46875
clustered_18,3,0,1.29658,0.67776
clustered_18,3,100,1.00949,0.53266
clustered_18,3,200,1.11828,0.53592
clustered_18,3,300,0.3966,0.17158
clustered_18,3,400,0.31449,0.17234
clustered_18,3,500,0.72214,0.36435
clustered_18,3,600,0.76545,0.5
clustered_18,4,0,1.45395,0.71181
clustered_18,4,100,1.00386,0.52313
clustered_18,4,200,1.16978,0.56835
clustered_18,4,300,0.41559,0.17741
clustered_18,4,400,0.34771,0.17413
clustered_18,4,500,0.69815,0.35271
clustered_18,4,600,0.73439,0.4927
clustered_18,5,0,1.4876,0.73469
clustered_18,5,100,1.00008,0.52686
clustered_18,5,200,1.13664,0.54921
clustered_18,5,300,0.50716,0.23539
clustered_18,5,400,0.40261,0.19372
clustered_18,5,500,0.76382,0.39653
clustered_18,5,600,0.90212,0.55345
clustered_19,1,0,1.0114,0.61111
clustered_19,1,100,0.89117,0.52266
clustered_19,1,200,1.18647,0.60744
clustered_19,1,300,0.77571,0.3843
clustered_19,1,400,0.79023,0.39446
clustered_19,1,500,0.51977,0.2623
clustered_19,1,600,1.19885,0.65278
clustered_19,2,0,1.28687,0.64889
clustered_19,2,100,1.00306,0.54745
clustered_19,2,200,1.38291,0.68055
clustered_19,2,300,0.71325,0.31767
clustered_19,2,400,0.61295,0.29427
clustered_19,2,500,0.48906,0.24722
clustered_19,2,600,1.33689,0.72461
clustered_19,3,0,1.29658,0.67776
clustered_19,3,100,0.94562,0.51915
clustered_19,3,200,1.28577,0.63125
clustered_19,3,300,0.55662,0.23646
clustered_19,3,400,0.70953,0.34965
clustered_19,3,500,0.46025,0.22859
clustered_19,3,600,1.29842,0.7036
clustered_19,4,0,1.45395,0.71181
clustered_19,4,100,0.93777,0.51665
clustered_19,4,200,1.33905,0.65037
clustered_19,4,300,0.60658,0.26697
clustered_19,4,400,0.703,0.3556
clustered_19,4,500,0.42039,0.19848
clustered_19,4,600,1.37276,0.7253
clustered_19,5,0,1.4876,0.73469
clustered_19,5,100,0.92519,0.51651
clustered_19,5,200,1.3454,0.64735
clustered_19,5,300,0.58564,0.25092
clustered_19,5,400,0.75778,0.39348
clustered_19,5,500,0.4209,0.19033
clustered_19,5,600,1.36737,0.72835
clustered_2,1,0,1.0114,0.61111
clustered_2,1,100,0.99672,0.55325
clustered_2,1,200,0.98458,0.45201
clustered_2,1,300,0.36765,0.16942
clustered_2,1,400,0.59402,0.322
clustered_2,1,500,0.57352,0.26612
clustered_2,1,600,0.39844,0.19025
clustered_2,2,0,1.28687,0.64889
clustered_2,2,100,1.09165,0.59101
clustered_2,2,200,1.01064,0.44489
clustered_2,2,300,0.50898,0.23207
clustered_2,2,400,0.89927,0.46845
clustered_2,2,500,0.58402,0.28083
clustered_2,2,600,0.66303,0.31499
clustered_2,3,0,1.29658,0.67776
clustered_2,3,100,1.01088,0.56375
clustered_2,3,200,1.10725,0.49211
clustered_2,3,300,0.50957,0.23525
clustered_2,3,400,1.07391,0.56776
clustered_2,3,500,0.53161,0.24693
clustered_2,3,600,0.70197,0.33908
clustered_2,4,0,1.45395,0.71181
clustered_2,4,100,0.99777,0.55307
clustered_2,4,200,1.12943,0.50342
clustered_2,4,300,0.57612,0.27301
clustered_2,4,400,1.13757,0.59782
clustered_2,4,500,0.51399,0.24095
clustered_2,4,600,0.68297,0.33235
clustered_2,5,0,1.4876,0.73469
clustered_2,5,100,1.00911,0.55769
clustered_2,5,200,1.10752,0.49434
clustered_2,5,300,0.65123,0.3023
clustered_2,5,400,1.08845,0.57259
clustered_2,5,500,0.54249,0.25933
clustered_2,5,600,0.65558,0.3103
clustered_20,1,0,1.0114,0.61111
clustered_20,1,100,1.027,0.52778
clustered_20,1,200,1.3406,0.69061
clustered_20,1,300,1.08264,0.54569
clustered_20,1,400,0.85287,0.43787
clustered_20,1,500,0.63651,0.44444
clustered_20,1,600,0.86179,0.44215
clustered_20,2,0,1.28687,0.64889
clustered_20,2,100,0.96274,0.47848
clustered_20,2,200,1.54003,0.72526
clustered_20,2,300,0.97269,0.48243
clustered_20,2,400,0.79009,0.39384
clustered_20,2,500,0.95646,0.5679
clustered_20,2,600,0.7062,0.35864
clustered_20,3,0,1.29658,0.67776
clustered_20,3,100,1.01016,0.49748
clustered_20,3,200,1.63614,0.7474
clustered_20,3,300,0.91265,0.44406
clustered_20,3,400,0.78873,0.39211
clustered_20,3,500,0.93319,0.55038
clustered_20,3,600,0.70863,0.36318
clustered_20,4,0,1.45395,0.71181
clustered_20,4,100,1.06492,0.52013
clustered_20,4,200,1.6405,0.7547
clustered_20,4,300,0.86917,0.42353
clustered_20,4,400,0.77991,0.38518
clustered_20,4,500,0.91266,0.52083
clustered_20,4,600,0.6734,0.34081
clustered_20,5,0,1.4876,0.73469
clustered_20,5,100,1.13259,0.53467
clustered_20,5,200,1.60394,0.74598
clustered_20,5,300,0.81184,0.39139
clustered_20,5,400,0.75411,0.36934
clustered_20,5,500,0.91015,0.52091
clustered_20,5,600,0.69609,0.35344
clustered_3,1,0,1.0114,0.61111
clustered_3,1,100,1.11539,0.59711
clustered_3,1,200,1.62705,0.75386
clustered_3,1,300,0.22697,0.1128
clustered_3,1,400,0.40946,0.19391
clustered_3,1,500,0.60364,0.41319
clustered_3,1,600,0.30683,0.1352
clustered_3,2,0,1.28687,0.64889
clustered_3,2,100,1.19991,0.61937
clustered_3,2,200,1.43699,0.68981
clustered_3,2,300,0.28313,0.11467
clustered_3,2,400,0.6296,0.29934
clustered_3,2,500,0.7181,0.40996
clustered_3,2,600,0.56823,0.2682
clustered_3,3,0,1.29658,0.67776
clustered_3,3,100,1.18023,0.61582
clustered_3,3,200,1.3946,0.66607
clustered_3,3,300,0.30622,0.12504
clustered_3,3,400,0.71266,0.35679
clustered_3,3,500,0.66022,0.37629
clustered_3,3,600,0.68443,0.32281
clustered_3,4,0,1.45395,0.71181
clustered_3,4,100,1.18651,0.61375
clustered_3,4,200,1.43443,0.67978
clustered_3,4,300,0.34761,0.14477
clustered_3,4,400,0.69879,0.34865
clustered_3,4,500,0.66557,0.36158
clustered_3,4,600,0.65271,0.30353
clustered_3,5,0,1.4876,0.73469
clustered_3,5,100,1.21401,0.62769
clustered_3,5,200,1.53099,0.71742
clustered_3,5,300,0.42875,0.18015
clustered_3,5,400,0.71721,0.34519
clustered_3,5,500,0.69518,0.38342
clustered_3,5,600,0.66511,0.3171
clustered_4,1,0,1.0114,0.61111
clustered_4,1,100,1.08546,0.55489
clustered_4,1,200,1.48052,0.695
clustered_4,1,300,0.43053,0.20764
clustered_4,1,400,1.03972,0.625
clustered_4,1,500,0.57697,0.29878
clustered_4,1,600,0.4709,0.20576
clustered_4,2,0,1.28687,0.64889
clustered_4,2,100,1.16487,0.60942
clustered_4,2,200,1.31437,0.62134
clustered_4,2,300,0.58642,0.26231
clustered_4,2,400,1.22831,0.68519
clustered_4,2,500,0.45087,0.22349
clustered_4,2,600,0.46446,0.20231
clustered_4,3,0,1.29658,0.67776
clustered_4,3,100,1.13253,0.60777
clustered_4,3,200,1.32693,0.6184
clustered_4,3,300,0.64507,0.29055
clustered_4,3,400,1.32848,0.7042
clustered_4,3,500,0.49956,0.22814
clustered_4,3,600,0.41965,0.17958
clustered_4,4,0,1.45395,0.71181
clustered_4,4,100,1.13527,0.59855
clustered_4,4,200,1.28899,0.61602
clustered_4,4,300,0.62086,0.2736
clustered_4,4,400,1.33755,0.71476
clustered_4,4,500,0.48121,0.21484
clustered_4,4,600,0.49319,0.21789
clustered_4,5,0,1.4876,0.73469
clustered_4,5,100,1.12589,0.58774
clustered_4,5,200,1.30602,0.61921
clustered_4,5,300,0.57137,0.24128
clustered_4,5,400,1.3512,0.71781
clustered_4,5,500,0.43983,0.19416
clustered_4,5,600,0.56211,0.25997
clustered_5,1,0,1.0114,0.61111
clustered_5,1,100,1.08102,0.58737
clustered_5,1,200,1.2985,0.64646
clustered_5,1,300,0.82005,0.4225
clustered_5,1,400,0.89973,0.53878
clustered_5,1,500,0.72984,0.42593
clustered_5,1,600,0.88769,0.54167
clustered_5,2,0,1.28687,0.64889
clustered_5,2,100,0.92711,0.53569
clustered_5,2,200,1.48735,0.68827
clustered_5,2,300,0.9715,0.46838
clustered_5,2,400,0.79242,0.46151
clustered_5,2,500,0.87348,0.45274
clustered_5,2,600,1.10736,0.62625
clustered_5,3,0,1.29658,0.67776
clustered_5,3,100,0.94348,0.53853
clustered_5,3,200,1.42113,0.64745
clustered_5,3,300,0.91215,0.42846
clustered_5,3,400,0.83909,0.45663
clustered_5,3,500,0.88975,0.44069
clustered_5,3,600,1.15567,0.63209
clustered_5,4,0,1.45395,0.71181
clustered_5,4,100,0.99105,0.5497
clustered_5,4,200,1.43539,0.66066
clustered_5,4,300,0.93489,0.42542
clustered_5,4,400,0.87912,0.46566
clustered_5,4,500,0.82379,0.40158
clustered_5,4,600,1.13116,0.6241
clustered_5,5,0,1.4876,0.73469
clustered_5,5,100,0.98914,0.54814
clustered_5,5,200,1.45503,0.66758
clustered_5,5,300,0.84692,0.38165
clustered_5,5,400,0.93526,0.5014
clustered_5,5,500,0.79095,0.38459
clustered_5,5,600,1.17085,0.6436
clustered_6,1,0,1.0114,0.61111
clustered_6,1,100,0.97812,0.55991
clustered_6,1,200,0.92493,0.45491
clustered_6,1,300,0.64833,0.37554
clustered_6,1,400,0.8398,0.43491
clustered_6,1,500,0.72146,0.40278
clustered_6,1,600,1.07115,0.60031
clustered_6,2,0,1.28687,0.64889
clustered_6,2,100,0.97613,0.52737
clustered_6,2,200,1.01306,0.48471
clustered_6,2,300,0.84731,0.44691
clustered_6,2,400,0.92476,0.50511
clustered_6,2,500,0.75042,0.39
clustered_6,2,600,1.19586,0.65686
clustered_6,3,0,1.29658,0.67776
clustered_6,3,100,0.98969,0.52589
clustered_6,3,200,1.11358,0.52499
clustered_6,3,300,0.74978,0.38347
clustered_6,3,400,0.85511,0.45569
clustered_6,3,500,0.77955,0.38238
clustered_6,3,600,1.11388,0.61062
clustered_6,4,0,1.45395,0.71181
clustered_6,4,100,0.99185,0.52426
clustered_6,4,200,1.14917,0.55097
clustered_6,4,300,0.72526,0.35737
clustered_6,4,400,0.80936,0.4272
clustered_6,4,500,0.75371,0.3812
clustered_6,4,600,1.13281,0.61396
clustered_6,5,0,1.4876,0.73469
clustered_6,5,100,0.99919,0.51986
clustered_6,5,200,1.16455,0.56151
clustered_6,5,300,0.73315,0.36103
clustered_6,5,400,0.76222,0.39884
clustered_6,5,500,0.76828,0.40216
clustered_6,5,600,1.13929,0.61495
clustered_7,1,0,1.0114,0.61111
clustered_7,1,100,1.08818,0.60055
clustered_7,1,200,1.16508,0.55682
clustered_7,1,300,0.4062,0.17415
clustered_7,1,400,0.70912,0.39002
clustered_7,1,500,0.78933,0.45351
clustered_7,1,600,0.7621,0.46875
clustered_7,2,0,1.28687,0.64889
clustered_7,2,100,1.13458,0.61753
clustered_7,2,200,1.36457,0.6232
clustered_7,2,300,0.31265,0.11662
clustered_7,2,400,0.70779,0.4224
clustered_7,2,500,0.79473,0.42699
clustered_7,2,600,0.62114,0.34529
clustered_7,3,0,1.29658,0.67776
clustered_7,3,100,1.17224,0.61566
clustered_7,3,200,1.31352,0.59032
clustered_7,3,300,0.45527,0.17404
clustered_7,3,400,0.77544,0.44522
clustered_7,3,500,0.71346,0.38269
clustered_7,3,600,0.69898,0.36265
clustered_7,4,0,1.45395,0.71181
clustered_7,4,100,1.15731,0.60822
