filename,sample_time,r,sample_id,0,1,2,3,4,5,6,7,8
random_1,200,4,8,1,0,0,1,0,0,0,0,0
random_1,200,4,9,37,0,0,0,0,0,0,0,0
random_1,200,4,10,0,0,0,0,0,0,0,0,0
random_1,200,4,11,91,0,0,0,0,0,0,0,0
random_1,200,5,0,61,4,0,2,0,0,0,0,0
random_1,200,5,1,0,0,0,0,0,0,0,0,0
random_1,200,5,2,95,0,0,1,0,0,0,0,0
random_1,200,5,3,37,0,0,0,0,0,0,0,0
random_1,200,5,4,9,0,0,3,0,1,0,0,0
random_1,200,5,5,0,0,0,13,0,4,0,0,0
random_1,200,5,6,28,0,0,1,0,2,0,0,0
random_1,200,5,7,6,0,0,10,0,0,0,0,0
random_1,200,5,8,2,0,0,1,0,0,0,0,0
random_1,200,5,9,54,0,1,0,0,0,0,0,0
random_1,200,5,10,0,0,0,0,0,0,0,0,0
random_1,200,5,11,125,0,0,1,0,1,0,1,0
random_1,300,1,0,0,19,0,0,1,0,1,0,0
random_1,300,1,1,0,0,0,0,0,0,0,0,0
random_1,300,1,2,0,0,0,0,0,0,0,0,0
random_1,300,1,3,0,0,0,0,0,0,0,0,0
random_1,300,1,4,0,0,0,0,0,0,0,0,0
random_1,300,1,5,0,0,0,0,0,0,0,0,0
random_1,300,1,6,0,0,0,0,0,0,0,0,0
random_1,300,1,7,0,0,0,0,0,0,0,0,0
random_1,300,1,8,0,0,0,0,0,0,0,0,0
random_1,300,1,9,0,0,0,0,0,0,0,0,0
random_1,300,1,10,8,0,0,0,0,0,0,0,0
random_1,300,1,11,0,0,0,0,0,0,0,0,0
random_1,300,2,0,0,35,0,0,5,0,1,0,0
random_1,300,2,1,0,0,0,0,0,0,0,0,0
random_1,300,2,2,0,0,0,0,0,0,0,0,0
random_1,300,2,3,0,0,0,0,0,0,0,0,0
random_1,300,2,4,0,0,1,0,0,0,0,0,0
random_1,300,2,5,0,0,0,0,0,0,0,0,0
random_1,300,2,6,0,0,0,0,0,0,0,0,0
random_1,300,2,7,1,0,0,0,0,0,0,0,0
random_1,300,2,8,0,0,1,0,0,0,0,0,0
random_1,300,2,9,0,0,0,0,0,0,0,0,0
random_1,300,2,10,18,0,0,0,0,0,0,0,0
random_1,300,2,11,0,0,0,0,0,0,0,0,0
random_1,300,3,0,0,73,0,0,9,1,2,0,1
random_1,300,3,1,0,0,0,0,0,0,0,0,0
random_1,300,3,2,0,0,0,0,0,0,0,0,0
random_1,300,3,3,0,0,0,0,0,0,0,0,0
random_1,300,3,4,0,0,1,0,0,0,0,0,0
random_1,300,3,5,0,0,0,0,0,0,0,0,0
random_1,300,3,6,0,0,0,0,0,0,0,0,0
random_1,300,3,7,1,0,0,0,0,0,0,0,0
random_1,300,3,8,0,0,2,0,0,0,0,0,0
random_1,300,3,9,0,0,1,0,0,0,0,0,0
