filename,r,mae,mdae,mser,mdser
random_8,4,0.016897756530781502,0.01648804616652927,-0.014193359555871596,-0.01648804616652927
random_8,5,0.013653800932773711,0.00493964505325279,-0.010870965361229485,-0.001162526517484423
random_9,1,0.028794123922836885,0.020943747094374708,-0.025658372523803468,-0.020943747094374708
random_9,2,0.030141416041815854,0.02380368818961995,-0.02811897638533485,-0.02380368818961995
random_9,3,0.018725806466269646,0.012807996280799632,-0.01663030217115154,-0.012807996280799632
random_9,4,0.01702446582462103,0.015591291335748454,-0.01459471995868457,-0.015591291335748454
random_9,5,0.012434505598462566,0.008889317142791725,-0.010459101788953295,-0.008562401263823075
random_10,1,0.024919681881744645,0.015289076906388987,-0.0019666165395912424,0.0023080946776513605
random_10,2,0.017108761735398173,0.011545921271115341,-0.010020007929390683,-0.0045371601654846435
random_10,3,0.016474604854102542,0.01453900709219859,-0.013286383614742471,-0.01453900709219859
random_10,4,0.014600718412015481,0.0096645710588828,-0.011391922514419962,-0.006754949763593398
random_10,5,0.012246065018114892,0.00856144262759256,-0.008800797534377113,-0.007123708643912662
random_11,1,0.02170941952556128,0.018707105620630556,-0.02140695990106776,-0.018707105620630556
random_11,2,0.019596509059429987,0.01049146122239343,-0.01921586791408296,-0.01049146122239343
random_11,3,0.0176138578291865,0.008911145351823321,-0.0176138578291865,-0.008911145351823321
random_11,4,0.016074620906618806,0.007053770612197043,-0.01605065240807403,-0.007053770612197043
random_11,5,0.014617146333650272,0.010825456769577625,-0.014617146333650272,-0.010825456769577625
random_12,1,0.020093144494743642,0.01425674653909075,-0.016731377774811637,-0.01425674653909075
random_12,2,0.011702247089939048,0.010790081256933827,-0.01137631591475866,-0.010790081256933827
random_12,3,0.008697821651764907,0.006008303432727076,-0.007099972069335664,-0.006008303432727076
random_12,4,0.008668777206456278,0.005404792345444802,-0.006101152510873597,-0.002913135087446167
random_12,5,0.006529377267080074,0.004250302442913903,-0.004694729708942933,-0.0025854121475054354
random_13,1,0.022223780377015792,0.011828418742246397,-0.015620814237685573,-0.0064696920230710685
random_13,2,0.02462499723847749,0.026754973495478628,-0.01845877457124381,-0.011704758887556295
random_13,3,0.01756409220819619,0.014858122856251944,-0.014165636584062221,-0.0077591213897249
random_13,4,0.01714951001566887,0.007685595860393893,-0.016227360550956263,-0.007685595860393893
random_13,5,0.01452195094050459,0.00845145693316136,-0.013594898115641458,-0.00845145693316136
random_14,1,0.03134629076127035,0.027562754171925385,-0.012050221181645884,-0.01217714190118051
random_14,2,0.0234154218769398,0.016181490729310834,-0.007251666114500276,-0.006706064443506396
random_14,3,0.018175843134834238,0.017581890048504342,-0.002444371608855347,-0.008491837778731429
random_14,4,0.016515041635652157,0.01568172224567328,-0.00288237673486665,-0.009078449699235549
random_14,5,0.013054144183044441,0.009974321091881238,0.0021324350014527774,0.0016091931216931164
random_15,1,0.027915338322511203,0.03135041692088673,0.0006852924486768335,0.007247932461932845
random_15,2,0.023505098845831962,0.016945737544462755,-0.005306071724349619,-0.002061142965841462
random_15,3,0.018604653543121838,0.01713904292462518,-0.0014842869720498373,-0.0033098509348329073
random_15,4,0.013752722368187302,0.012562995651061658,-0.000928194470844876,-0.0010414685181662545
random_15,5,0.013499951342592239,0.01518836907811497,0.0013009139880180377,-0.002481439713035684
random_16,1,0.019169768684248537,0.013258932671994126,-0.01060089008667009,-0.006576490511963182
random_16,2,0.026448968336669116,0.013223828349342263,0.0013723334647212726,-0.008576798807008824
random_16,3,0.02427433426435109,0.016936989122739263,-0.006939420041790889,-0.015204424008947432
random_16,4,0.020314348704954507,0.015648999627190255,-0.0042361675088923535,-0.014696379203033858
random_16,5,0.01858275185215755,0.01511870901906293,-0.005515252371984945,-0.010613686259889819
random_17,1,0.026121915315590147,0.021784887986005308,-0.025002870925846427,-0.021784887986005308
random_17,2,0.028593434847756432,0.03865449852507375,-0.02666502766923569,-0.03865449852507375
random_17,3,0.022804849868137394,0.020419670918838978,-0.01958798176394362,-0.020419670918838978
random_17,4,0.022212527619919202,0.02731162790697674,-0.01916369616352054,-0.02731162790697674
random_17,5,0.020771482142161055,0.019171731070595888,-0.017418791672449422,-0.019171731070595888
random_18,1,0.03239448494127338,0.024737905772388536,0.003099158665412788,-0.002966998510621628
random_18,2,0.0215244682777043,0.025441951697928167,-0.0069571767584560755,-0.0019867832803040705
random_18,3,0.01668591749904429,0.01637015351124123,-0.007709700609036781,-0.007373605127346352
random_18,4,0.018019340005977894,0.015781537329900695,-0.008481541333192273,-0.009212719813958353
random_18,5,0.01341778019201593,0.008897796794655268,-0.007303386221984955,-0.00823871161721496
