filename,sample_time,r,type_id,mae,mdae
random_1,200,4,5,0.6614322222222222,0.96706
random_1,200,5,5,0.6843177777777778,0.77767
random_1,200,1,6,0.8509433333333333,0.97272
random_1,200,2,6,0.8509433333333333,0.97272
random_1,200,3,6,0.8509433333333333,0.97272
random_1,200,4,6,0.8509433333333333,0.97272
random_1,200,5,6,0.8509433333333333,0.97272
random_1,200,1,7,0.8694044444444445,0.98236
random_1,200,2,7,0.8694044444444445,0.98236
random_1,200,3,7,0.8694044444444445,0.98236
random_1,200,4,7,0.8694044444444445,0.98236
random_1,200,5,7,0.5365566666666667,0.6603100000000001
random_1,200,1,8,0.8408811111111112,0.97087
random_1,200,2,8,0.8408811111111112,0.97087
random_1,200,3,8,0.8408811111111112,0.97087
random_1,200,4,8,0.8408811111111112,0.97087
random_1,200,5,8,0.8408811111111112,0.97087
random_1,300,1,0,0.5338122222222222,0.82761
random_1,300,2,0,0.4504788888888889,0.23770999999999998
random_1,300,3,0,0.2598877777777778,0.03264
random_1,300,4,0,0.35025000000000006,0.27376
random_1,300,5,0,0.5315766666666666,0.49599
random_1,300,1,1,0.72534,0.94055
random_1,300,2,1,0.6153133333333334,0.93287
random_1,300,3,1,0.6420066666666666,0.93287
random_1,300,4,1,0.5214477777777778,0.59954
random_1,300,5,1,0.5881155555555555,0.69452
random_1,300,1,2,0.8807222222222222,0.99125
random_1,300,2,2,0.46732000000000007,0.23770999999999998
random_1,300,3,2,0.39738888888888885,0.24514999999999998
random_1,300,4,2,0.4838966666666667,0.45438
random_1,300,5,2,0.5562866666666667,0.51993
random_1,300,1,3,0.8486177777777778,0.97837
random_1,300,2,3,0.8486177777777778,0.97837
random_1,300,3,3,0.8486177777777778,0.97837
random_1,300,4,3,0.8486177777777778,0.97837
random_1,300,5,3,0.8486177777777778,0.97837
random_1,300,1,4,0.71862,0.92643
random_1,300,2,4,0.6085866666666666,0.91837
random_1,300,3,4,0.6352866666666667,0.91837
random_1,300,4,4,0.51413,0.58504
random_1,300,5,4,0.5807977777777777,0.69452
random_1,300,1,5,0.8522511111111111,0.96798
random_1,300,2,5,0.8522511111111111,0.96798
random_1,300,3,5,0.6710444444444444,0.94312
random_1,300,4,5,0.3354422222222222,0.27376
random_1,300,5,5,0.3616933333333333,0.27363000000000004
random_1,300,1,6,0.7485322222222223,0.94138
random_1,300,2,6,0.6385233333333332,0.93287
random_1,300,3,6,0.6651988888888889,0.93287
random_1,300,4,6,0.5363188888888888,0.58504
random_1,300,5,6,0.6048388888888889,0.69615
random_1,300,1,7,0.880141111111111,0.99125
random_1,300,2,7,0.880141111111111,0.99125
random_1,300,3,7,0.880141111111111,0.99125
random_1,300,4,7,0.880141111111111,0.99125
random_1,300,5,7,0.880141111111111,0.99125
random_1,300,1,8,0.8656766666666666,0.99223
random_1,300,2,8,0.8656766666666666,0.99223
random_1,300,3,8,0.6729588888888889,0.94055
random_1,300,4,8,0.5456911111111111,0.60805
random_1,300,5,8,0.6123588888888888,0.71916
random_1,400,1,0,0.76303,0.98374
random_1,400,2,0,0.7190577777777778,0.98374
random_1,400,3,0,0.6519533333333334,0.98374
random_1,400,4,0,0.6818722222222223,0.75053
random_1,400,5,0,0.5860911111111111,0.62016
random_1,400,1,1,0.8459055555555556,0.99001
random_1,400,2,1,0.8459055555555556,0.99001
random_1,400,3,1,0.8459055555555556,0.99001
random_1,400,4,1,0.8459055555555556,0.99001
random_1,400,5,1,0.8459055555555556,0.99001
random_1,400,1,2,0.7779155555555555,0.99512
random_1,400,2,2,0.7244144444444445,0.99512
random_1,400,3,2,0.7605,0.99512
random_1,400,4,2,0.7734588888888889,0.80957
random_1,400,5,2,0.7116166666666666,0.74462
random_1,400,1,3,0.8533666666666666,0.97592
random_1,400,2,3,0.67242,0.97592
random_1,400,3,3,0.6756499999999999,0.97592
random_1,400,4,3,0.6963266666666666,0.80957
random_1,400,5,3,0.6369122222222221,0.62016
random_1,400,1,4,0.85666,0.95533
random_1,400,2,4,0.85666,0.95533
random_1,400,3,4,0.85666,0.95533
random_1,400,4,4,0.85666,0.95533
random_1,400,5,4,0.85666,0.95533
random_1,400,1,5,0.85576,0.95755
random_1,400,2,5,0.85576,0.95755
random_1,400,3,5,0.6274933333333333,0.94212
random_1,400,4,5,0.5806922222222223,0.69353
random_1,400,5,5,0.5700166666666667,0.56882
random_1,400,1,6,0.8556266666666668,0.95755
random_1,400,2,6,0.8556266666666668,0.95755
random_1,400,3,6,0.8556266666666668,0.95755
random_1,400,4,6,0.8556266666666668,0.95755
random_1,400,5,6,0.5209922222222222,0.47592
random_1,400,1,7,0.8841388888888888,0.99512
random_1,400,2,7,0.8841388888888888,0.99512
random_1,400,3,7,0.8841388888888888,0.99512
random_1,400,4,7,0.6262366666666668,0.71734
random_1,400,5,7,0.48101555555555553,0.35706000000000004
random_1,400,1,8,0.8442011111111112,0.99158
random_1,400,2,8,0.8442011111111112,0.99158
random_1,400,3,8,0.8442011111111112,0.99158
random_1,400,4,8,0.8442011111111112,0.99158
random_1,400,5,8,0.8442011111111112,0.99158
random_1,500,1,0,0.24807333333333334,0.010380000000000056
random_1,500,2,0,0.2640633333333333,0.0049399999999999444
random_1,500,3,0,0.26855,0.14662999999999993
random_1,500,4,0,0.2431944444444444,0.24436000000000002
random_1,500,5,0,0.19847333333333333,0.10731000000000002
random_1,500,1,1,0.0,0.0
random_1,500,2,1,0.0,0.0
random_1,500,3,1,0.0,0.0
