filename,r,mser
random_20,2,-0.0156019994956096
random_20,3,-0.0064165591709429
random_20,4,-0.0069860749603579
random_20,5,-0.0066819098631019
clustered_1,1,-0.0156053946979958
clustered_1,2,-0.0108526023867955
clustered_1,3,-0.010845722006644
clustered_1,4,-0.0019507665292348
clustered_1,5,-0.0043846132356904
clustered_2,1,-0.0060501096428533
clustered_2,2,-0.006869024443277
clustered_2,3,-0.0042526414867482
clustered_2,4,0.0060521191933783
clustered_2,5,0.0039273337702932
clustered_3,1,-0.0007966184017871
clustered_3,2,-0.0072321676600364
clustered_3,3,-0.0090294563841269
clustered_3,4,-0.0016347720099652
clustered_3,5,-0.0039596707888327
clustered_4,1,0.0002049837754548
clustered_4,2,9.08030713343979e-05
clustered_4,3,0.0028168921394282
clustered_4,4,0.0119900728288964
clustered_4,5,0.0088222540896681
clustered_5,1,0.0063502706743503
clustered_5,2,0.0158906657868737
clustered_5,3,0.0088230351932918
clustered_5,4,0.0154019565926835
clustered_5,5,0.0109859250017747
clustered_6,1,-0.0081223537070378
clustered_6,2,-0.0037870942588131
clustered_6,3,-0.0010165391654706
clustered_6,4,0.0064268126789806
clustered_6,5,0.0026947476741031
clustered_7,1,-0.0108644020515752
clustered_7,2,-0.0072872005138144
clustered_7,3,0.0016819328255593
clustered_7,4,0.0064817158718528
clustered_7,5,0.0018927206072019
clustered_8,1,0.0005316452854823
clustered_8,2,-0.0069931083323203
clustered_8,3,0.0025188114925203
clustered_8,4,0.0133806762952934
clustered_8,5,0.0108339679269225
clustered_9,1,-0.0156469553810451
clustered_9,2,-0.0153054270779937
clustered_9,3,-0.0090068440648722
clustered_9,4,0.0048499326034824
clustered_9,5,0.000669772313333
clustered_10,1,-0.006475719176662
clustered_10,2,-0.0053064132684289
clustered_10,3,-0.0062109161182699
clustered_10,4,0.0034511977845942
clustered_10,5,-0.001997462439751
clustered_11,1,-0.0107642959932806
clustered_11,2,-0.0091505476508489
clustered_11,3,-0.0085984270924205
clustered_11,4,-0.000151251506905
clustered_11,5,-0.002358558079136
clustered_12,1,-0.0197857496667658
clustered_12,2,-0.0101732691511151
clustered_12,3,-0.0053369576466632
clustered_12,4,0.0047962864477114
clustered_12,5,-0.0003575527566374
clustered_13,1,-0.0063526530839474
clustered_13,2,-0.0006099992640059
clustered_13,3,-0.0018143503580756
clustered_13,4,0.0050610890130679
clustered_13,5,0.004723896705514
clustered_14,1,-0.0098998595414419
clustered_14,2,-0.0062455449152278
clustered_14,3,-0.0049152697141925
clustered_14,4,0.0048401343403702
