filename,sample_time,r,sample_id,mser
random_1,100,3,11,-0.0314120448470303
random_1,100,3,12,-0.0465516079125027
random_1,100,3,13,-0.05
random_1,100,3,14,-0.0118593181487703
random_1,100,3,15,-0.0260141212563224
random_1,100,4,0,-0.0145660104920252
random_1,100,4,1,-0.0177249718038315
random_1,100,4,2,0.0299375489492949
random_1,100,4,3,-0.0032245524215697
random_1,100,4,4,0.0428642597584316
random_1,100,4,5,-0.031715037120663
random_1,100,4,6,-0.0482935681383574
random_1,100,4,7,-0.0315616846795383
random_1,100,4,8,0.0411337129544109
random_1,100,4,9,-0.0235735167521597
random_1,100,4,10,-0.0341820559218433
random_1,100,4,11,-0.0374771422828169
random_1,100,4,12,-0.0475010756573775
random_1,100,4,13,-0.05
random_1,100,4,14,0.0029707438579919
random_1,100,4,15,-0.0274814449123271
random_1,100,5,0,-0.0200795795506577
random_1,100,5,1,-0.0173272576722228
random_1,100,5,2,0.0489057977181156
random_1,100,5,3,-0.0044906602316414
random_1,100,5,4,0.0285121621477427
random_1,100,5,5,-0.0213485768060735
random_1,100,5,6,-0.036048177897816
random_1,100,5,7,-0.0039396358133863
random_1,100,5,8,0.021964701806394
random_1,100,5,9,-0.0314389491681686
random_1,100,5,10,-0.0311334991529828
random_1,100,5,11,-0.0410503383913986
random_1,100,5,12,-0.048320395113975
random_1,100,5,13,-0.05
random_1,100,5,14,-0.0143967131446283
random_1,100,5,15,-0.0176224310518272
random_1,200,1,0,-0.0285036165985667
random_1,200,1,1,-0.05
random_1,200,1,2,-0.0365647603741042
random_1,200,1,3,-0.033877712448925
random_1,200,1,4,-0.05
random_1,200,1,5,-0.0392518082992834
random_1,200,1,6,0.06542187150393
random_1,200,1,7,0.0053047115471811
random_1,200,1,8,-0.0311906645237459
random_1,200,1,9,-0.0473129520748208
random_1,200,1,10,-0.0204424728230293
random_1,200,1,11,-0.05
random_1,200,1,12,-0.05
random_1,200,1,13,-0.0392518082992834
random_1,200,1,14,-0.05
random_1,200,1,15,-0.0231295207482084
random_1,200,2,0,-0.0355312804028814
random_1,200,2,1,-0.05
random_1,200,2,2,-0.0406986802589952
random_1,200,2,3,-0.0344978004316587
random_1,200,2,4,-0.05
random_1,200,2,5,-0.0417321602302179
random_1,200,2,6,0.0811029087949746
random_1,200,2,7,-0.0235615572411242
random_1,200,2,8,-0.0355312804028814
random_1,200,2,9,-0.037598240345327
random_1,200,2,10,-0.0324308404892132
random_1,200,2,11,-0.0479330400575545
