filename,sample_time,r,sample_id,mser
random_1,200,1,5,0.149136859552003
random_1,200,1,6,-0.0473129520748208
random_1,200,1,7,-0.0290652640393573
random_1,200,1,8,-0.05
random_1,200,1,9,-0.0392518082992834
random_1,200,1,10,-0.05
random_1,200,1,11,-0.0231295207482084
random_1,200,2,0,-0.0355312804028814
random_1,200,2,1,-0.05
random_1,200,2,2,-0.0406986802589952
random_1,200,2,3,-0.0344978004316587
random_1,200,2,4,-0.0489665200287772
random_1,200,2,5,0.0426947428743417
random_1,200,2,6,0.0672730301701153
random_1,200,2,7,-0.0258445354300276
random_1,200,2,8,-0.0489665200287772
random_1,200,2,9,-0.0355312804028814
random_1,200,2,10,-0.05
random_1,200,2,11,-0.0169286409208719
random_1,200,3,0,-0.0349525316189967
random_1,200,3,1,-0.05
random_1,200,3,2,-0.0365647603741042
random_1,200,3,3,-0.0392518082992834
random_1,200,3,4,-0.0478503616598566
random_1,200,3,5,0.0338416910129297
random_1,200,3,6,0.0125942044435674
random_1,200,3,7,-0.0165044224629716
random_1,200,3,8,-0.0494625904149641
random_1,200,3,9,-0.0387143987142475
random_1,200,3,10,-0.05
random_1,200,3,11,-0.0220547015781368
random_1,200,4,0,-0.0351668728292977
random_1,200,4,1,-0.05
random_1,200,4,2,-0.0329601838891078
random_1,200,4,3,-0.0418077807159172
random_1,200,4,4,-0.0310802454699598
random_1,200,4,5,0.0062290154860895
random_1,200,4,6,-0.0108497358544664
random_1,200,4,7,-0.026695162003541
random_1,200,4,8,-0.0471192946480705
random_1,200,4,9,-0.0378755154595574
random_1,200,4,10,-0.05
random_1,200,4,11,-0.0201803218059386
random_1,200,5,0,-0.0320175793668266
random_1,200,5,1,-0.05
random_1,200,5,2,-0.0273603041924047
random_1,200,5,3,-0.0418507562924894
random_1,200,5,4,-0.0316950581247036
random_1,200,5,5,0.0170067355875946
random_1,200,5,6,-0.0197674277700156
random_1,200,5,7,-0.0315188813805326
random_1,200,5,8,-0.0478435383761474
random_1,200,5,9,-0.009975333511474
random_1,200,5,10,-0.05
random_1,200,5,11,0.0519070150894688
random_1,300,1,0,0.3284025941605896
random_1,300,1,1,-0.05
random_1,300,1,2,-0.05
random_1,300,1,3,-0.05
random_1,300,1,4,-0.05
random_1,300,1,5,-0.05
random_1,300,1,6,-0.05
random_1,300,1,7,-0.05
random_1,300,1,8,-0.05
random_1,300,1,9,-0.05
random_1,300,1,10,-0.0061245651018904
random_1,300,1,11,-0.05
random_1,300,2,0,0.1907742691468248
random_1,300,2,1,-0.05
random_1,300,2,2,-0.05
random_1,300,2,3,-0.05
random_1,300,2,4,0.0207826794783316
random_1,300,2,5,-0.05
random_1,300,2,6,-0.05
random_1,300,2,7,-0.047890604091437
random_1,300,2,8,0.0207826794783316
random_1,300,2,9,-0.05
random_1,300,2,10,-0.0120308736458667
random_1,300,2,11,-0.05
random_1,300,3,0,0.3213776826818116
random_1,300,3,1,-0.05
random_1,300,3,2,-0.05
random_1,300,3,3,-0.05
random_1,300,3,4,-0.0131930066712675
random_1,300,3,5,-0.05
random_1,300,3,6,-0.05
random_1,300,3,7,-0.0489031141275472
random_1,300,3,8,0.0236139866574649
random_1,300,3,9,-0.0131930066712675
random_1,300,3,10,-0.0094152227192486
random_1,300,3,11,-0.05
random_1,300,4,0,0.2420846366258315
random_1,300,4,1,-0.05
random_1,300,4,2,-0.0199303511759112
random_1,300,4,3,-0.05
random_1,300,4,4,0.0570669313472782
random_1,300,4,5,-0.05
random_1,300,4,6,-0.05
random_1,300,4,7,-0.0386298415660386
random_1,300,4,8,0.039773154460323
random_1,300,4,9,-0.0275567113849192
random_1,300,4,10,-0.0132141933018898
random_1,300,4,11,-0.05
random_1,300,5,0,0.2273955999563425
random_1,300,5,1,-0.05
random_1,300,5,2,-0.0297892524297108
random_1,300,5,3,-0.05
random_1,300,5,4,0.0219630194301378
random_1,300,5,5,-0.0198303333371045
random_1,300,5,6,-0.05
random_1,300,5,7,-0.0401100454123113
random_1,300,5,8,0.0112384201064898
random_1,300,5,9,-0.0344656232782027
random_1,300,5,10,-0.0108897250395949
random_1,300,5,11,-0.05
random_1,400,1,0,-0.05
random_1,400,1,1,-0.05
random_1,400,1,2,-0.05
random_1,400,1,3,-0.05
random_1,400,1,4,-0.05
random_1,400,1,5,-0.05
random_1,400,1,6,-0.0418131348018522
random_1,400,1,7,-0.05
random_1,400,1,8,0.0051590995277002
random_1,400,1,9,-0.05
random_1,400,1,10,-0.05
random_1,400,1,11,-0.05
random_1,400,2,0,-0.05
random_1,400,2,1,-0.0012021703573943
random_1,400,2,2,-0.05
random_1,400,2,3,-0.05
random_1,400,2,4,-0.0393924808600576
random_1,400,2,5,-0.04842560284651
random_1,400,2,6,-0.0437024113860402
random_1,400,2,7,-0.05
random_1,400,2,8,-0.0075699234402306
random_1,400,2,9,-0.05
random_1,400,2,10,-0.05
random_1,400,2,11,-0.05
random_1,400,3,0,-0.05
random_1,400,3,1,0.0097166036724051
random_1,400,3,2,-0.0334522701416899
random_1,400,3,3,-0.05
random_1,400,3,4,-0.0377219075528299
random_1,400,3,5,0.0239782658522336
random_1,400,3,6,-0.0366883253470817
random_1,400,3,7,-0.05
random_1,400,3,8,-0.0279363601889199
random_1,400,3,9,-0.0389681800944599
random_1,400,3,10,-0.0444840900472299
random_1,400,3,11,-0.05
random_1,400,4,0,-0.05
random_1,400,4,1,-0.0068607173305212
random_1,400,4,2,-0.0365465610908048
random_1,400,4,3,-0.0466366402727012
random_1,400,4,4,0.2224177417675131
random_1,400,4,5,-0.0015279415823148
random_1,400,4,6,-0.0054024754592547
random_1,400,4,7,-0.0466366402727012
random_1,400,4,8,-0.033183201363506
random_1,400,4,9,-0.0399099208181036
random_1,400,4,10,-0.0466366402727012
random_1,400,4,11,-0.05
random_1,400,5,0,-0.0274078310105759
random_1,400,5,1,-0.0164835067690634
random_1,400,5,2,-0.0386969058344876
random_1,400,5,3,-0.0477393811668975
random_1,400,5,4,0.1609275629318323
random_1,400,5,5,-0.0170848924898285
random_1,400,5,6,-0.0072614332690588
random_1,400,5,7,-0.0449679948987007
random_1,400,5,8,-0.0124020945926599
random_1,400,5,9,-0.0364362870013851
random_1,400,5,10,-0.022886593344371
random_1,400,5,11,-0.05
random_1,500,1,0,-0.0161176476917531
random_1,500,1,1,0.0935956263033185
random_1,500,1,2,0.0183137235914072
random_1,500,1,3,-0.0247254905125432
random_1,500,1,4,0.0297368898600527
random_1,500,1,5,0.0224655471711055
random_1,500,1,6,0.0867934420209018
random_1,500,1,7,-0.0333333333333333
