filename,sample_time,r,type_id,ae,ser
random_1,500,5,8,0.0,0.0
random_1,600,1,0,0.009098744151686777,0.009098744151686777
random_1,600,1,1,0.0,0.0
random_1,600,1,2,0.010173563121127504,0.010173563121127504
random_1,600,1,3,0.049999999999999996,-0.049999999999999996
random_1,600,1,4,0.0,0.0
random_1,600,1,5,0.049999999999999996,-0.049999999999999996
random_1,600,1,6,0.0,0.0
random_1,600,1,7,0.049999999999999996,-0.049999999999999996
random_1,600,1,8,0.0,0.0
random_1,600,2,0,0.0030373060822457584,0.0030373060822457584
random_1,600,2,1,0.0,0.0
random_1,600,2,2,0.007859184460177323,0.007859184460177323
random_1,600,2,3,0.049999999999999996,-0.049999999999999996
random_1,600,2,4,0.0,0.0
random_1,600,2,5,0.032612766814337495,0.032612766814337495
random_1,600,2,6,0.0,0.0
random_1,600,2,7,0.049999999999999996,-0.049999999999999996
random_1,600,2,8,0.0,0.0
random_1,600,3,0,0.022231798407617177,0.022231798407617177
random_1,600,3,1,0.0,0.0
random_1,600,3,2,0.009421393582113415,0.009421393582113415
random_1,600,3,3,0.040633415290949534,-0.040633415290949534
random_1,600,3,4,0.0,0.0
random_1,600,3,5,0.0036984830178547526,0.0036984830178547526
random_1,600,3,6,0.0,0.0
random_1,600,3,7,0.049999999999999996,-0.049999999999999996
random_1,600,3,8,0.0,0.0
random_1,600,4,0,0.025274829680702618,0.025274829680702618
random_1,600,4,1,0.0,0.0
random_1,600,4,2,0.004578150415103558,0.004578150415103558
random_1,600,4,3,0.044288724973656476,-0.044288724973656476
random_1,600,4,4,0.0,0.0
random_1,600,4,5,0.017257014364344212,-0.017257014364344212
random_1,600,4,6,0.0,0.0
random_1,600,4,7,0.049999999999999996,-0.049999999999999996
random_1,600,4,8,0.0,0.0
random_1,600,5,0,0.023469752934416808,0.023469752934416808
random_1,600,5,1,0.0,0.0
random_1,600,5,2,0.0024052736486804105,0.0024052736486804105
random_1,600,5,3,0.0346446551926004,-0.0346446551926004
random_1,600,5,4,0.0,0.0
random_1,600,5,5,0.005984695932339911,-0.005984695932339911
random_1,600,5,6,0.0,0.0
random_1,600,5,7,0.07562260536398466,0.07562260536398466
random_1,600,5,8,0.0,0.0
random_2,0,1,0,0.03,-0.03
random_2,0,1,1,0.02333333333333333,-0.02333333333333333
random_2,0,1,2,0.0015151515151515117,-0.0015151515151515117
random_2,0,1,3,0.0033333333333333257,0.0033333333333333257
random_2,0,1,4,0.02272727272727274,0.02272727272727274
random_2,0,1,5,0.05,-0.05
random_2,0,1,6,0.05,-0.05
random_2,0,1,7,0.05,-0.05
random_2,0,1,8,0.05,-0.05
random_2,0,2,0,0.01923079166666667,-0.01923079166666667
random_2,0,2,1,0.012393388888888884,-0.012393388888888884
random_2,0,2,2,0.003380151515151521,-0.003380151515151521
random_2,0,2,3,0.029487222222222224,-0.029487222222222224
random_2,0,2,4,0.02202818181818182,-0.02202818181818182
random_2,0,2,5,0.024359166666666668,-0.024359166666666668
random_2,0,2,6,0.05,-0.05
random_2,0,2,7,0.05,-0.05
random_2,0,2,8,0.05,-0.05
random_2,0,3,0,0.0053333333333333375,-0.0053333333333333375
random_2,0,3,1,0.0019999999999999922,-0.0019999999999999922
random_2,0,3,2,0.0033333333333333197,0.0033333333333333197
random_2,0,3,3,0.021555555555555553,-0.021555555555555553
random_2,0,3,4,0.02090909090909091,-0.02090909090909091
random_2,0,3,5,0.0033333333333333214,0.0033333333333333214
random_2,0,3,6,0.02333333333333333,-0.02333333333333333
random_2,0,3,7,0.05,-0.05
random_2,0,3,8,0.0033333333333333357,0.0033333333333333357
random_2,0,4,0,0.0036585416666666732,-0.0036585416666666732
random_2,0,4,1,0.002032611111111108,0.002032611111111108
random_2,0,4,2,0.008610606060606053,-0.008610606060606053
random_2,0,4,3,0.013143888888888879,-0.013143888888888879
random_2,0,4,4,0.017479848484848487,-0.017479848484848487
random_2,0,4,5,0.005285000000000004,-0.005285000000000004
random_2,0,4,6,0.017479999999999996,-0.017479999999999996
random_2,0,4,7,0.015040000000000006,0.015040000000000006
random_2,0,4,8,0.017479999999999996,-0.017479999999999996
random_2,0,5,0,0.002185770833333339,-0.002185770833333339
random_2,0,5,1,0.003916222222222215,0.003916222222222215
random_2,0,5,2,0.008270757575757577,-0.008270757575757577
random_2,0,5,3,0.006283777777777785,-0.006283777777777785
random_2,0,5,4,0.012244848484848485,-0.012244848484848485
random_2,0,5,5,0.011748333333333335,-0.011748333333333335
random_2,0,5,6,0.017212500000000006,-0.017212500000000006
random_2,0,5,7,0.015574999999999988,0.015574999999999988
random_2,0,5,8,0.015574999999999988,0.015574999999999988
random_2,100,1,0,0.022736042951218484,-0.022736042951218484
random_2,100,1,1,0.049999999999999996,-0.049999999999999996
random_2,100,1,2,0.049999999999999996,-0.049999999999999996
random_2,100,1,3,0.012557334082186651,-0.012557334082186651
random_2,100,1,4,0.05,-0.05
random_2,100,1,5,0.049999999999999996,-0.049999999999999996
random_2,100,1,6,0.05,-0.05
random_2,100,1,7,0.05,-0.05
random_2,100,1,8,0.049999999999999996,-0.049999999999999996
random_2,100,2,0,0.02176810693762845,-0.02176810693762845
random_2,100,2,1,0.049999999999999996,-0.049999999999999996
random_2,100,2,2,0.049999999999999996,-0.049999999999999996
random_2,100,2,3,0.01039718477955631,-0.01039718477955631
random_2,100,2,4,0.05,-0.05
random_2,100,2,5,0.031090830875122908,-0.031090830875122908
random_2,100,2,6,0.05,-0.05
random_2,100,2,7,0.04861858974358974,0.04861858974358974
