filename,sample_time,r,mae,mdae,mser,mdser
random_3,200,5,0.02916521084544499,0.028764572538860108,-0.02327051735296678,-0.028764572538860108
random_3,300,1,0.03669013561151867,0.049999999999999996,-0.028543237536400565,-0.049999999999999996
random_3,300,2,0.0626689255096122,0.026067212608158214,0.02383927412167447,-0.00499818534408042
random_3,300,3,0.04291594955094981,0.023770491803278688,0.01409290333581295,-0.004064829259837058
random_3,300,4,0.04209574637174714,0.023997867803837954,0.02195769239695923,-0.0008516694834459967
random_3,300,5,0.03853420872707783,0.020923516687268235,0.01610130300763865,0.0032808166493326447
random_3,400,1,0.03542033455993894,0.049999999999999996,-0.029078102751796397,-0.049999999999999996
random_3,400,2,0.031182331638994826,0.035121373307543516,-0.031182331638994826,-0.035121373307543516
random_3,400,3,0.028051083302099697,0.021448965024982152,-0.028051083302099697,-0.021448965024982152
random_3,400,4,0.02983605588249883,0.018065240313311085,-0.02983605588249883,-0.018065240313311085
random_3,400,5,0.029638956143012145,0.019987906122543562,-0.029638956143012145,-0.019987906122543562
random_3,500,1,0.028910458199743014,0.02287232002454648,-0.005086303018456852,0.0
random_3,500,2,0.02186486788652139,0.01343135139799794,-0.011620473301570152,0.0
random_3,500,3,0.014958264041167778,0.005229547808077327,-0.008527703462524985,0.0
random_3,500,4,0.013419625013541167,0.002423764105319723,-0.012246904391373485,0.0
random_3,500,5,0.013769282692453384,0.0027051010813352134,-0.013769282692453384,-0.0027051010813352134
random_3,600,1,0.01932073125130064,0.0074276861947446884,-0.01636577512661036,-0.003161592505854801
random_3,600,2,0.014979758231349881,0.0036071018897377107,-0.014979758231349881,-0.0036071018897377107
random_3,600,3,0.014585247482977189,0.003257376570259999,-0.008043767027374412,0.0
random_3,600,4,0.013852485152026275,0.0022058814834086185,-0.008808514525188348,0.0
random_3,600,5,0.013425830261714126,0.006897169271594113,-0.009931242847065085,0.0
random_4,0,1,0.03986531986531986,0.05,-0.029764309764309764,-0.05
random_4,0,2,0.03267299179292929,0.02202818181818182,-0.03267299179292929,-0.02202818181818182
random_4,0,3,0.02715151515151515,0.028666666666666667,-0.01826262626262626,-0.02090909090909091
random_4,0,4,0.02077287079124579,0.017479999999999996,-0.009029611531986536,-0.00853662500000001
random_4,0,5,0.018634466329966327,0.015574999999999988,-0.009708614478114481,-0.015027000000000006
random_4,100,1,0.03738736061039043,0.05,-0.03738736061039043,-0.05
random_4,100,2,0.07108493220993893,0.05,0.019978509353516066,-0.0233463270963271
random_4,100,3,0.045271703601231214,0.05,-0.004972583337109476,-0.015349965349965354
random_4,100,4,0.0373018770514178,0.05,-0.017066451481807687,-0.025658682634730545
random_4,100,5,0.032755670595755154,0.019357476635514025,-0.012734262968133965,-0.017277944111776453
random_4,200,1,0.042296264061999295,0.049999999999999996,-0.03965387232785451,-0.049999999999999996
