filename,r,mser
random_20,2,-0.0104220080612874
random_20,3,-0.0078964117542641
random_20,4,-0.0057048612464622
random_20,5,-0.0023823379648041
clustered_1,1,-0.0067864408067554
clustered_1,2,-0.0070427442894578
clustered_1,3,-0.0067769151818593
clustered_1,4,-0.0013485307930786
clustered_1,5,-0.0021562954779551
clustered_2,1,-0.0100326571001815
clustered_2,2,-0.0071151418831096
clustered_2,3,-0.006731304240773
clustered_2,4,-0.0005202678036042
clustered_2,5,-0.0016374271354302
clustered_3,1,-0.006976689388068
clustered_3,2,-0.0064143432872289
clustered_3,3,-0.00689994845161
clustered_3,4,-0.0025694580812253
clustered_3,5,-0.0016241625529449
clustered_4,1,-0.0089043882144479
clustered_4,2,-0.0106256841159015
clustered_4,3,-0.007380020035933
clustered_4,4,-0.0016480545042984
clustered_4,5,-0.0002375835553247
clustered_5,1,0.0111534595608073
clustered_5,2,0.0127739939772499
clustered_5,3,0.0043071511384629
clustered_5,4,0.0057662701257179
clustered_5,5,0.0044019187368814
clustered_6,1,-0.0092205120823182
clustered_6,2,-3.298693294399992e-05
clustered_6,3,0.0005191181016615
clustered_6,4,0.0027746598111707
clustered_6,5,0.0022916439798063
clustered_7,1,-0.0032732076717673
clustered_7,2,-0.0016699456976161
clustered_7,3,0.004948918623431
clustered_7,4,0.0061668779747876
clustered_7,5,0.0050318769621363
clustered_8,1,-0.010510816560447
clustered_8,2,-0.0104562054606342
clustered_8,3,-0.0071724642162096
clustered_8,4,0.0011933667597737
clustered_8,5,0.0031014030091264
clustered_9,1,0.0001600635302968
clustered_9,2,-0.0002400232192131
clustered_9,3,0.0017441785969482
clustered_9,4,0.0110258505690647
clustered_9,5,0.0095697933597522
clustered_10,1,0.0033013948827849
clustered_10,2,-0.000314553989589
clustered_10,3,2.0534186723469545e-05
clustered_10,4,0.0033481370669809
clustered_10,5,0.0005093692884817
clustered_11,1,-0.0034070675087892
clustered_11,2,-0.0101415206656825
clustered_11,3,-0.0104392378033963
clustered_11,4,-0.0051235822611083
clustered_11,5,-0.0040149463544953
clustered_12,1,-0.0048077637799657
clustered_12,2,-0.0021044969557878
clustered_12,3,0.0040610492129875
clustered_12,4,0.0088255455636831
clustered_12,5,0.0073969510334241
clustered_13,1,-0.0032563380199129
clustered_13,2,-0.0017424261057239
clustered_13,3,-0.0013175178684482
clustered_13,4,0.0030221943753208
clustered_13,5,0.0033349203444489
clustered_14,1,0.0101293426825297
clustered_14,2,0.0037841015351751
clustered_14,3,-0.0006351459873242
clustered_14,4,0.0027802174841934
clustered_14,5,0.0012824002823633
clustered_15,1,-0.0042884064722408
clustered_15,2,0.0006986032870535
clustered_15,3,-0.0032663184154759
clustered_15,4,0.0036290276176764
clustered_15,5,0.001400189679173
clustered_16,1,-0.0146133932400825
clustered_16,2,-0.009629263677645
clustered_16,3,-0.006931483527956
clustered_16,4,0.0001385094759463
clustered_16,5,-0.0023906252389315
clustered_17,1,-0.0012930841108487
clustered_17,2,0.0074435120640973
clustered_17,3,0.0037256114676427
clustered_17,4,0.0086002987077377
clustered_17,5,0.0089903002854385
clustered_18,1,0.0019106197860809
clustered_18,2,-0.0069995681991694
clustered_18,3,-0.009340021766265
clustered_18,4,-0.0023400477244207
clustered_18,5,-0.0010500934595022
clustered_19,1,0.0043022864468536
clustered_19,2,-0.0014547317272124
clustered_19,3,-0.0047181002023827
clustered_19,4,0.0019289485090992
clustered_19,5,-0.0003304322789822
clustered_20,1,-0.0071204382091262
clustered_20,2,0.0024742575158442
clustered_20,3,-0.0023095029869411
clustered_20,4,-0.0006874157473212
clustered_20,5,-0.0005312964500655
