filename,r,mae_sh,mae_si,mdae_sh,mdae_si
random_13,3,0.08844571428571424,0.06704714285714286,0.08844571428571424,0.06704714285714286
random_13,4,0.07322571428571423,0.060457142857142876,0.07322571428571423,0.060457142857142876
random_13,5,0.054315714285714245,0.05469714285714289,0.054315714285714245,0.05469714285714289
random_14,1,0.24010428571428544,0.0629657142857144,0.24010428571428544,0.0629657142857144
random_14,2,0.1657342857142854,0.0198357142857144,0.1657342857142854,0.0198357142857144
random_14,3,0.18917428571428552,0.026855714285714316,0.18917428571428552,0.026855714285714316
random_14,4,0.17877428571428533,0.023005714285714296,0.17877428571428533,0.023005714285714296
random_14,5,0.1833742857142855,0.02419571428571432,0.1833742857142855,0.02419571428571432
random_15,1,0.1285557142857141,0.07137999999999989,0.1285557142857141,0.07137999999999989
random_15,2,0.15604571428571412,0.07801999999999987,0.15604571428571412,0.07801999999999987
random_15,3,0.15844571428571408,0.07925999999999989,0.15844571428571408,0.07925999999999989
random_15,4,0.1643957142857142,0.0814999999999999,0.1643957142857142,0.0814999999999999
random_15,5,0.16820571428571407,0.08147999999999989,0.16820571428571407,0.08147999999999989
random_16,1,0.05468000000000006,0.03693999999999997,0.05468000000000006,0.03693999999999997
random_16,2,0.09275000000000011,0.042179999999999995,0.09275000000000011,0.042179999999999995
random_16,3,0.10669000000000017,0.04886999999999997,0.10669000000000017,0.04886999999999997
random_16,4,0.11494000000000004,0.04735,0.11494000000000004,0.04735
random_16,5,0.1256400000000002,0.04957999999999996,0.1256400000000002,0.04957999999999996
random_17,1,0.04419428571428563,0.03402428571428562,0.04419428571428563,0.03402428571428562
random_17,2,0.03914428571428563,0.030574285714285665,0.03914428571428563,0.030574285714285665
random_17,3,0.007274285714285567,0.016624285714285647,0.007274285714285567,0.016624285714285647
random_17,4,0.004724285714285514,0.015824285714285624,0.004724285714285514,0.015824285714285624
random_17,5,0.005384285714285619,0.016294285714285595,0.005384285714285619,0.016294285714285595
random_18,1,0.24967000000000006,0.1027514285714285,0.24967000000000006,0.1027514285714285
random_18,2,0.16609999999999991,0.08096142857142852,0.16609999999999991,0.08096142857142852
random_18,3,0.16557,0.07070142857142858,0.16557,0.07070142857142858
random_18,4,0.1443700000000001,0.06133142857142848,0.1443700000000001,0.06133142857142848
random_18,5,0.1472,0.058361428571428564,0.1472,0.058361428571428564
random_19,1,0.11281999999999992,0.07765571428571427,0.11281999999999992,0.07765571428571427
random_19,2,0.13005999999999984,0.08885571428571426,0.13005999999999984,0.08885571428571426
random_19,3,0.13983999999999974,0.10076571428571424,0.13983999999999974,0.10076571428571424
random_19,4,0.06972999999999985,0.06822571428571422,0.06972999999999985,0.06822571428571422
random_19,5,0.04273999999999978,0.05605571428571432,0.04273999999999978,0.05605571428571432
random_20,1,0.16960714285714285,0.09896000000000005,0.16960714285714285,0.09896000000000005
random_20,2,0.18943714285714286,0.10208000000000006,0.18943714285714286,0.10208000000000006
random_20,3,0.20395714285714295,0.09835000000000005,0.20395714285714295,0.09835000000000005
random_20,4,0.22520714285714294,0.10602,0.22520714285714294,0.10602
random_20,5,0.2327271428571429,0.10770000000000002,0.2327271428571429,0.10770000000000002
clustered_1,1,0.1461314285714288,0.07985285714285717,0.1461314285714288,0.07985285714285717
clustered_1,2,0.20945142857142884,0.10439285714285718,0.20945142857142884,0.10439285714285718
clustered_1,3,0.2609514285714287,0.1296328571428571,0.2609514285714287,0.1296328571428571
clustered_1,4,0.28053142857142865,0.12950285714285714,0.28053142857142865,0.12950285714285714
clustered_1,5,0.26185142857142885,0.1226828571428571,0.26185142857142885,0.1226828571428571
clustered_2,1,0.13561857142857148,0.0720757142857143,0.13561857142857148,0.0720757142857143
clustered_2,2,0.17663857142857153,0.07828571428571424,0.17663857142857153,0.07828571428571424
