filename,r,type_id,ae,ser
random_2,4,3,0.01912268886533593,-0.01912268886533593
random_2,4,4,0.016106742211778977,-0.016106742211778977
random_2,4,5,0.0026746934465961022,0.0026746934465961022
random_2,4,6,0.012247310579676499,-0.012247310579676499
random_2,4,7,0.017429403633491297,0.017429403633491297
random_2,4,8,0.01134706814580032,-0.01134706814580032
random_2,5,0,0.016613382323957548,-0.016613382323957548
random_2,5,1,0.019396791822232917,-0.019396791822232917
random_2,5,2,0.000851861179066546,-0.000851861179066546
random_2,5,3,0.01862809500677149,-0.01862809500677149
random_2,5,4,0.016450011369665733,-0.016450011369665733
random_2,5,5,0.0059408369927771015,-0.0059408369927771015
random_2,5,6,0.014474885844748866,-0.014474885844748866
random_2,5,7,0.0017965047393364774,0.0017965047393364774
random_2,5,8,0.010621368198626522,0.010621368198626522
random_3,1,0,0.0024333066311213753,-0.0024333066311213753
random_3,1,1,0.0018301315429542168,0.0018301315429542168
random_3,1,2,0.013636776854808469,-0.013636776854808469
random_3,1,3,0.016961262079788545,-0.016961262079788545
random_3,1,4,0.0480091883614089,0.0480091883614089
random_3,1,5,0.02424174125829094,-0.02424174125829094
random_3,1,6,0.04999999999999999,-0.04999999999999999
random_3,1,7,0.05,-0.05
random_3,1,8,0.05,-0.05
random_3,2,0,0.0015583010906826463,0.0015583010906826463
random_3,2,1,0.0016824516612037063,0.0016824516612037063
random_3,2,2,0.00011595512172210533,0.00011595512172210533
random_3,2,3,0.02246777002285179,-0.02246777002285179
random_3,2,4,0.022250229709035212,0.022250229709035212
random_3,2,5,0.013674361946465765,-0.013674361946465765
random_3,2,6,0.011758637832463325,-0.011758637832463325
random_3,2,7,0.017315700021244954,-0.017315700021244954
random_3,2,8,0.05310012062726174,0.05310012062726174
random_3,3,0,0.0001612402799083664,0.0001612402799083664
random_3,3,1,0.0029819122439087606,0.0029819122439087606
random_3,3,2,0.0018175929818979256,0.0018175929818979256
random_3,3,3,0.01861319897579912,-0.01861319897579912
random_3,3,4,0.02677386421643696,0.02677386421643696
random_3,3,5,0.02899199347457443,0.02899199347457443
random_3,3,6,0.010228685060899818,-0.010228685060899818
random_3,3,7,0.03300403654132143,-0.03300403654132143
random_3,3,8,0.04650180940892641,0.04650180940892641
random_3,4,0,0.0004671049288823777,0.0004671049288823777
random_3,4,1,0.003765379071824733,0.003765379071824733
random_3,4,2,0.0026601118169111825,0.0026601118169111825
random_3,4,3,0.015752629332892815,-0.015752629332892815
random_3,4,4,0.025698060234813677,0.025698060234813677
random_3,4,5,0.017013115246742646,0.017013115246742646
random_3,4,6,0.007561210539398466,-0.007561210539398466
random_3,4,7,0.008546845124282982,-0.008546845124282982
random_3,4,8,0.03499463878836616,0.03499463878836616
random_3,5,0,0.00047316157432780926,0.00047316157432780926
random_3,5,1,0.0022916836634304834,0.0022916836634304834
random_3,5,2,0.0012910932830308675,0.0012910932830308675
random_3,5,3,0.01727712618044657,-0.01727712618044657
random_3,5,4,0.022971567126084724,0.022971567126084724
random_3,5,5,0.007006353703822946,0.007006353703822946
random_3,5,6,0.013325254784986319,-0.013325254784986319
random_3,5,7,0.01517155300616104,-0.01517155300616104
random_3,5,8,0.042283876156011244,0.042283876156011244
random_4,1,0,0.03111205900592767,-0.03111205900592767
random_4,1,1,0.04746331316667302,-0.04746331316667302
random_4,1,2,0.005504965092580549,0.005504965092580549
random_4,1,3,0.01977801955362136,-0.01977801955362136
random_4,1,4,0.02141427856785535,-0.02141427856785535
random_4,1,5,0.04103641456582633,-0.04103641456582633
random_4,1,6,0.04999999999999999,-0.04999999999999999
random_4,1,7,0.041512239762068165,0.041512239762068165
random_4,1,8,0.05,-0.05
random_4,2,0,0.029013406765450604,-0.029013406765450604
random_4,2,1,0.046422642678064854,-0.046422642678064854
random_4,2,2,0.010041357703482077,0.010041357703482077
random_4,2,3,0.017453288151472575,-0.017453288151472575
random_4,2,4,0.028011088877772226,-0.028011088877772226
random_4,2,5,0.029314957983193276,-0.029314957983193276
random_4,2,6,0.04999999999999999,-0.04999999999999999
random_4,2,7,0.014803248684511565,-0.014803248684511565
random_4,2,8,0.05,-0.05
random_4,3,0,0.025571596314333124,-0.025571596314333124
random_4,3,1,0.045433963700011425,-0.045433963700011425
random_4,3,2,0.015912146047439405,0.015912146047439405
random_4,3,3,0.009502546201852612,-0.009502546201852612
random_4,3,4,0.027131422854284284,-0.027131422854284284
random_4,3,5,0.021316526610644263,-0.021316526610644263
random_4,3,6,0.035608922468069786,-0.035608922468069786
random_4,3,7,0.013395104095172741,-0.013395104095172741
random_4,3,8,0.019135802469135803,-0.019135802469135803
random_4,4,0,0.02548151395241708,-0.02548151395241708
random_4,4,1,0.04505035851840579,-0.04505035851840579
random_4,4,2,0.016208230345605146,0.016208230345605146
random_4,4,3,0.004298528945101783,-0.004298528945101783
random_4,4,4,0.027921639391124138,-0.027921639391124138
random_4,4,5,0.0204859943977591,-0.0204859943977591
random_4,4,6,0.03245008094981111,-0.03245008094981111
random_4,4,7,0.005360329444063156,-0.005360329444063156
random_4,4,8,0.031180555555555555,-0.031180555555555555
random_4,5,0,0.02543535129996254,-0.02543535129996254
random_4,5,1,0.04487117858698089,-0.04487117858698089
random_4,5,2,0.017106510992584895,0.017106510992584895
