filename,r,type_id,mae,mdae
random_2,2,4,0.42202698412698403,0.37826
random_2,3,4,0.42424158730158723,0.39953
random_2,4,4,0.37321380952380945,0.37200142857142837
random_2,5,4,0.3969093650793651,0.4129314285714284
random_2,1,5,0.5206625396825397,0.4134014285714286
random_2,2,5,0.4674380952380952,0.40274142857142853
random_2,3,5,0.48813253968253967,0.5718914285714285
random_2,4,5,0.4303703174603175,0.45420142857142853
random_2,5,5,0.45647698412698406,0.4812114285714286
random_2,1,6,0.4250966666666667,0.3469399999999999
random_2,2,6,0.3692633333333333,0.3998771428571428
random_2,3,6,0.3935960317460317,0.32143142857142853
random_2,4,6,0.31424349206349206,0.2894957142857142
random_2,5,6,0.3138090476190476,0.19338571428571427
random_2,1,7,0.4317271428571428,0.36384142857142854
random_2,2,7,0.3297515873015873,0.17126142857142856
random_2,3,7,0.4005549206349206,0.4310414285714285
random_2,4,7,0.3579384126984127,0.3745071428571428
random_2,5,7,0.3644361904761904,0.4015171428571429
random_2,1,8,0.753286984126984,0.8180928571428571
random_2,2,8,0.753286984126984,0.8180928571428571
random_2,3,8,0.2583771428571428,0.2539214285714285
random_2,4,8,0.2294550793650794,0.10018714285714292
random_2,5,8,0.2452711111111111,0.1288300000000001
random_3,1,0,0.5930171428571429,0.6805485714285713
random_3,2,0,0.5081249206349207,0.6213900000000001
random_3,3,0,0.5334838095238097,0.6270200000000001
random_3,4,0,0.542909365079365,0.6830200000000001
random_3,5,0,0.48305936507936514,0.5823200000000001
random_3,1,1,0.5692626984126984,0.6106100000000001
random_3,2,1,0.5419260317460317,0.4687685714285713
random_3,3,1,0.5719760317460316,0.5009385714285713
random_3,4,1,0.5734015873015873,0.5616985714285714
random_3,5,1,0.5139038095238094,0.47072857142857133
random_3,1,2,0.6353438095238095,0.6532685714285713
random_3,2,2,0.5214638095238094,0.6163385714285713
random_3,3,2,0.545408253968254,0.64398
random_3,4,2,0.5597304761904761,0.6812685714285713
random_3,5,2,0.5087226984126985,0.6255900000000001
random_3,1,3,0.6085693650793651,0.7047971428571429
random_3,2,3,0.5354004761904761,0.60496
random_3,3,3,0.560469365079365,0.6371300000000001
random_3,4,3,0.5588815873015873,0.6970000000000001
random_3,5,3,0.5161526984126983,0.6069200000000001
random_3,1,4,0.5779753968253968,0.6764871428571428
random_3,2,4,0.5461003174603175,0.5687028571428572
random_3,3,4,0.5432233333333334,0.6247728571428571
random_3,4,4,0.5202049206349206,0.5668185714285714
random_3,5,4,0.49456825396825393,0.5322585714285712
random_3,1,5,0.5697144444444445,0.56481
random_3,2,5,0.5060847619047619,0.5751385714285713
random_3,3,5,0.5586971428571429,0.6557985714285713
random_3,4,5,0.5614626984126985,0.6860200000000001
random_3,5,5,0.5090726984126983,0.63388
random_3,1,6,0.7374404761904761,0.8033185714285713
random_3,2,6,0.4971555555555556,0.5039100000000001
random_3,3,6,0.4625222222222222,0.34714
random_3,4,6,0.38926714285714276,0.43606
random_3,5,6,0.3470326984126984,0.3082728571428571
random_3,1,7,0.7374404761904761,0.8033185714285713
random_3,2,7,0.7374404761904761,0.8033185714285713
random_3,3,7,0.7374404761904761,0.8033185714285713
random_3,4,7,0.46937555555555555,0.5066385714285713
random_3,5,7,0.436021111111111,0.46088000000000007
