filename,r,type_id,mae,mdae
random_4,3,4,0.5985162355608831,0.6858271494905183
random_4,4,4,0.5398694676417781,0.6658980379510518
random_4,5,4,0.46486810152199254,0.6178026249344788
random_4,1,5,0.4584245730431792,0.4868007345753104
random_4,2,5,0.49176909631825805,0.5300263260066812
random_4,3,5,0.6192277572842901,0.7555907132533488
random_4,4,5,0.5667491315562612,0.6774247994463701
random_4,5,5,0.49934016662391884,0.6258074664271593
random_4,1,6,0.7264880994726102,0.8296578774324532
random_4,2,6,0.7264880994726102,0.8296578774324532
random_4,3,6,0.45601240867446635,0.6273092496743908
random_4,4,6,0.5158693909220896,0.5657351756003168
random_4,5,6,0.39886803398454024,0.40437840139997205
random_4,1,7,0.5051626433160116,0.5296578774324534
random_4,2,7,0.451758623040217,0.41530771128806643
random_4,3,7,0.5174831460558642,0.5983145938503638
random_4,4,7,0.5177985629990376,0.5683675548518081
random_4,5,7,0.44928175671475223,0.48329324462280765
random_4,1,8,0.7264880994726102,0.8296578774324532
random_4,2,8,0.7264880994726102,0.8296578774324532
random_4,3,8,0.4754176607035016,0.567499658332976
random_4,4,8,0.4238395679325055,0.463298430427845
random_4,5,8,0.38840315544834636,0.3372068133510244
random_5,1,0,0.5607807507950012,0.4941167528977291
random_5,2,0,0.5981209503318498,0.5858867288675288
random_5,3,0,0.6359231899553853,0.6984562198585229
random_5,4,0,0.45406587757258193,0.436865797600412
random_5,5,0,0.3679635568888541,0.35885991924099137
random_5,1,1,0.5143969762777042,0.5607327757865391
random_5,2,1,0.6074996041140107,0.4937263440015311
random_5,3,1,0.6547772385574526,0.7138926381622291
random_5,4,1,0.5298882761140581,0.512405663272252
random_5,5,1,0.37671746010671264,0.3410162771670584
random_5,1,2,0.5851324082734489,0.5028627169258086
random_5,2,2,0.6109015503685649,0.6173687960672516
random_5,3,2,0.6500364727738207,0.6881036979564618
random_5,4,2,0.5347761298042465,0.5118295284273491
random_5,5,2,0.467405623635242,0.4566729728038591
random_5,1,3,0.5878431230273963,0.6271262425591665
random_5,2,3,0.6026393730581919,0.5578252111914409
random_5,3,3,0.6550633476934461,0.6930936875216444
random_5,4,3,0.5230612100683538,0.48589622827802104
random_5,5,3,0.42924692597724673,0.4072372830503903
random_5,1,4,0.5428715499029373,0.4767025089605733
random_5,2,4,0.5452656141093453,0.4499172667277323
random_5,3,4,0.6621761905092332,0.6789870184966862
random_5,4,4,0.4682603421136952,0.4332786595113838
random_5,5,4,0.32598146360846614,0.25777130670126425
random_5,1,5,0.5564445457995083,0.4097968936678614
random_5,2,5,0.5975356991813277,0.45335133266179817
random_5,3,5,0.6451622684582374,0.6849617348372562
random_5,4,5,0.4766197890008798,0.40654944265945847
random_5,5,5,0.3915196305068789,0.3493780308751815
random_5,1,6,0.8023543868239934,0.9039136465655905
random_5,2,6,0.529343016629794,0.3249577095352223
random_5,3,6,0.5073604099862543,0.5396372893521667
random_5,4,6,0.33333264586364963,0.2831685380156038
random_5,5,6,0.30465753326640876,0.19431140015521509
random_5,1,7,0.8023543868239934,0.9039136465655905
random_5,2,7,0.8023543868239934,0.9039136465655905
random_5,3,7,0.49841135338254616,0.5484106850740917
random_5,4,7,0.4040271285279142,0.3164035956409055
random_5,5,7,0.36046317730378746,0.2622682088629503
random_5,1,8,0.8023543868239934,0.9039136465655905
random_5,2,8,0.8023543868239934,0.9039136465655905
random_5,3,8,0.5560027935073125,0.5602113843747912
random_5,4,8,0.37856803847504883,0.3250754418859075
random_5,5,8,0.3912062841165975,0.2863442333871752
random_6,1,0,0.557751570584599,0.5529087867852167
random_6,2,0,0.61338402327169,0.6547968552438659
random_6,3,0,0.6164082283100281,0.7180595747803497
random_6,4,0,0.45066518465397565,0.5003146743878149
random_6,5,0,0.3575895566871722,0.46868631865138627
random_6,1,1,0.5726641470536399,0.5885778275475925
random_6,2,1,0.6421192734715837,0.6035226810854044
random_6,3,1,0.6114176629371542,0.6705298931637935
random_6,4,1,0.3865487958504211,0.33563530192486835
random_6,5,1,0.28108563989631064,0.12422661409793923
random_6,1,2,0.6110742740234101,0.5866041419398753
random_6,2,2,0.624591239300361,0.6749223198783889
random_6,3,2,0.624691593488047,0.7101210090133268
random_6,4,2,0.47711639841625936,0.43537734737877365
random_6,5,2,0.4143691424759792,0.398152974032861
random_6,1,3,0.5674763123235447,0.68305002605682
random_6,2,3,0.598330072448915,0.6051556095604382
random_6,3,3,0.6288784883633083,0.709912294559824
random_6,4,3,0.4956790039480948,0.5592045555459301
random_6,5,3,0.43343577672343286,0.48498768511566465
random_6,1,4,0.49312530873062166,0.41500671203012635
random_6,2,4,0.5084182752409272,0.5074759769065674
random_6,3,4,0.5683583958712425,0.6673635495860122
random_6,4,4,0.47394273797916575,0.5318448716299975
random_6,5,4,0.4083658726487507,0.43363990900738736
random_6,1,5,0.5442542624404569,0.4528141958825049
random_6,2,5,0.5829029207902763,0.6512456575183532
random_6,3,5,0.6091584144230096,0.6696288388496138
random_6,4,5,0.4503232463802063,0.41756620613524276
random_6,5,5,0.3611479811097646,0.3585711331377924
random_6,1,6,0.7711087795073174,0.8934012235955259
