filename,sample_time,r,mser
random_5,500,5,0.0470226579606509
random_5,600,1,-0.0155231098844342
random_5,600,2,-0.0128421093266406
random_5,600,3,-0.0163122198866446
random_5,600,4,-0.01162395503158
random_5,600,5,-0.0087074635524339
random_6,0,1,-0.0297643097643097
random_6,0,2,-0.0326728826728826
random_6,0,3,-0.0182626262626262
random_6,0,4,-0.0090293175659029
random_6,0,5,-0.0097091129878015
random_6,100,1,-0.0206237113294784
random_6,100,2,-0.0211144745263059
random_6,100,3,-0.0211842709741541
random_6,100,4,-0.0176301304342863
random_6,100,5,-0.0166723772555514
random_6,200,1,-0.0113477480760284
random_6,200,2,-0.0178737305786215
random_6,200,3,-0.0233674624277776
random_6,200,4,-0.0123742829210942
random_6,200,5,-0.0194462757490818
random_6,300,1,-0.0216241137718178
random_6,300,2,-0.0254028487048988
random_6,300,3,-0.0299863768216518
random_6,300,4,-0.0259001971099841
random_6,300,5,-0.0200750403480489
random_6,400,1,-0.0173368845061333
random_6,400,2,-0.020154986853014
random_6,400,3,-0.0215152612028281
random_6,400,4,-0.022700856208431
random_6,400,5,-0.0015926580319631
random_6,500,1,-0.0210315080580075
random_6,500,2,-0.0175431834134783
random_6,500,3,0.0362473394098823
random_6,500,4,0.0162516448529913
random_6,500,5,0.0265397474678686
random_6,600,1,-0.0223423220329054
random_6,600,2,-0.0079506663257663
random_6,600,3,-0.0098237829503487
random_6,600,4,-0.0116645804024211
random_6,600,5,-0.0102927619230812
random_7,0,1,-0.0297643097643097
random_7,0,2,-0.0326728826728826
random_7,0,3,-0.0182626262626262
random_7,0,4,-0.0090293175659029
random_7,0,5,-0.0097091129878015
random_7,100,1,-0.0372677867158311
random_7,100,2,-0.0275667226036496
random_7,100,3,-0.0274795320439035
random_7,100,4,-0.0285730030623644
random_7,100,5,-0.0272820633571021
random_7,200,1,-0.0012995909706963
random_7,200,2,-0.0023003071409294
random_7,200,3,-0.0132055388308834
random_7,200,4,-0.0100084908470719
random_7,200,5,-0.0165530874485346
random_7,300,1,-0.0360622070799396
random_7,300,2,-0.0283736256933263
random_7,300,3,-0.0179058392021775
random_7,300,4,-0.0085946482536327
random_7,300,5,-0.0170380629251573
random_7,400,1,-0.0190244154833208
random_7,400,2,-0.0201152244277113
random_7,400,3,-0.0228007384585157
random_7,400,4,0.0018337795090464
random_7,400,5,-0.0044005212609896
random_7,500,1,-0.0165384141859694
random_7,500,2,-0.0082217259541275
random_7,500,3,-0.0070870765126988
random_7,500,4,0.0077978029996268
random_7,500,5,0.0055993528539061
random_7,600,1,-0.0072936181942973
random_7,600,2,-0.0013671231733795
random_7,600,3,-0.0029925928331962
random_7,600,4,0.0028482276546797
random_7,600,5,0.000784780524951
