filename,r,mae,mdae,mser,mdser
random_7,4,0.01758387876142844,0.008343029461998296,-0.006198929713464484,-0.005104007238883145
random_7,5,0.015770099019442138,0.017042617305208795,-0.009296853569061524,-0.008973733195449854
random_8,1,0.026787582264941084,0.021442528087776646,-0.008336077046667457,-0.011318605750633953
random_8,2,0.021500842929080412,0.016181969338293307,-0.012699396967727376,-0.013633042506554362
random_8,3,0.012702233138938833,0.01047516198704104,-0.004536114730479893,-0.0005358615004122044
random_8,4,0.011630308304665968,0.01032177452596866,-0.0029972869261077357,0.005079570235518364
random_8,5,0.014777912763174559,0.010420863652697288,-0.0004031624576603053,0.002053398515020876
random_9,1,0.023634802249989723,0.021393543114017168,-0.023212738948126692,-0.021393543114017168
random_9,2,0.025346815580374295,0.02720921025745812,-0.02465078532444807,-0.02720921025745812
random_9,3,0.017547610601347113,0.015863174028145462,-0.014860197470283217,-0.015863174028145462
random_9,4,0.013665989055231302,0.01081230079594538,-0.01340112885680982,-0.01081230079594538
random_9,5,0.011689154368020961,0.009313339269541589,-0.011483950786291885,-0.009313339269541589
random_10,1,0.015461262496199427,0.010682992585935752,-0.00237489645091589,0.0016528925619834743
random_10,2,0.010056692789412732,0.009244094453538923,-0.0035811545854260085,-0.007445859095346569
random_10,3,0.014236513180965672,0.010035475508254886,-0.0079104953388115,-0.00843630644798921
random_10,4,0.01126745519951832,0.010115952456390489,-0.002669366124245195,-0.0020526286227814062
random_10,5,0.013028589402586166,0.01309614061718289,-0.002615274403081425,-0.006262988654235004
random_11,1,0.02503504880123033,0.018025011546523608,-0.006611518771451278,-0.009457894127186381
random_11,2,0.01598316181158883,0.014640966386554615,-0.00706739800006067,-0.010373019327104145
random_11,3,0.011157105630166357,0.008787792659963763,-0.007475841248394806,-0.0052722651545064544
random_11,4,0.012765991969894787,0.00888915114467985,-0.006929711549184011,-0.007114570012787735
random_11,5,0.010798504070497015,0.007482902263118635,-0.007717455704431886,-0.006278416970705589
random_12,1,0.018152229929273626,0.014019069892956731,-0.015555490401136712,-0.014019069892956731
random_12,2,0.017812104620191425,0.021761196769456675,-0.013759823012940337,-0.021761196769456675
random_12,3,0.013369499124451043,0.005389565617099517,-0.010079656885254763,-0.0037910633660283286
random_12,4,0.011781791387279382,0.006523768482341214,-0.008368194480500073,-0.0007544052863436135
random_12,5,0.012824921944583843,0.009122155826246847,-0.009607509238289173,-0.00777148861171367
random_13,1,0.020813332702176262,0.01831934104229369,-0.015378360398361136,-0.01831934104229369
random_13,2,0.026791131165043044,0.03302680935569286,-0.021047275426648367,-0.03302680935569286
random_13,3,0.021838372050788608,0.016457023060796643,-0.01771672734901795,-0.016457023060796643
random_13,4,0.020196472936899967,0.023091350397175654,-0.018823238777077193,-0.023091350397175654
random_13,5,0.018128055508749494,0.01744400926743162,-0.01642052307158665,-0.01744400926743162
random_14,1,0.027451557246351878,0.02936507936507937,-0.010527441369234542,0.0004713720260126348
random_14,2,0.02188940913154379,0.018667485252722153,-0.007051637915446983,-0.003960706336737356
random_14,3,0.015471326062973476,0.013048498845265597,-0.002371669778185723,-0.004985275557425314
random_14,4,0.013833606753412584,0.01522850552431937,-0.0029510273864166107,-0.0036703250316589336
random_14,5,0.012559375473655857,0.012139145496535816,-0.0013498938690161837,-0.004544348277409943
