filename,sample_time,r,type_id,mae,mdae
random_1,100,5,0,0.7057297301164404,0.7039269986242919
random_1,100,1,1,0.844737578207917,0.9750681304803814
random_1,100,2,1,0.844737578207917,0.9750681304803814
random_1,100,3,1,0.844737578207917,0.9750681304803814
random_1,100,4,1,0.844737578207917,0.9750681304803814
random_1,100,5,1,0.844737578207917,0.9750681304803814
random_1,100,1,2,0.6667683154118266,0.9603221915570074
random_1,100,2,2,0.6115799438418761,0.9603221915570074
random_1,100,3,2,0.6603092685768515,0.6765822723753441
random_1,100,4,2,0.7044172975191402,0.8134573370104038
random_1,100,5,2,0.6448251208554073,0.7006841619907965
random_1,100,1,3,0.678936524710728,0.9602433099586144
random_1,100,2,3,0.6556191776300323,0.9602433099586144
random_1,100,3,3,0.7149811292179762,0.6799813034895643
random_1,100,4,3,0.7566744399958352,0.7970279078996453
random_1,100,5,3,0.708695203114217,0.735644379477331
random_1,100,1,4,0.8593845248633207,0.9868935161675576
random_1,100,2,4,0.8593845248633207,0.9868935161675576
random_1,100,3,4,0.8593845248633207,0.9868935161675576
random_1,100,4,4,0.6257054624795461,0.7970279078996453
random_1,100,5,4,0.5149795184693661,0.6059233135692446
random_1,100,1,5,0.6172788195071877,0.9678650929264302
random_1,100,2,5,0.633531333333231,0.9678650929264302
random_1,100,3,5,0.6983061312812392,0.6937213541431958
random_1,100,4,5,0.7479905211251928,0.7771481213937095
random_1,100,5,5,0.6931759484161,0.7447117824566369
random_1,100,1,6,0.8591181233433035,0.9918527089013917
random_1,100,2,6,0.8591181233433035,0.9918527089013917
random_1,100,3,6,0.8591181233433035,0.9918527089013917
random_1,100,4,6,0.8591181233433035,0.9918527089013917
random_1,100,5,6,0.8591181233433035,0.9918527089013917
random_1,100,1,7,0.8697819615835894,0.9808482903804934
random_1,100,2,7,0.8697819615835894,0.9808482903804934
random_1,100,3,7,0.6121715514382394,0.596401787512701
random_1,100,4,7,0.6357328782030348,0.7860497615715177
random_1,100,5,7,0.635691706056888,0.7190728223950293
random_1,100,1,8,0.8656489885572931,0.9974038602963852
random_1,100,2,8,0.8656489885572931,0.9974038602963852
random_1,100,3,8,0.8656489885572931,0.9974038602963852
random_1,100,4,8,0.8656489885572931,0.9974038602963852
random_1,100,5,8,0.8656489885572931,0.9974038602963852
random_1,200,1,0,0.7909652919933797,0.9910236334187292
random_1,200,2,0,0.6776259254717447,0.9910236334187292
random_1,200,3,0,0.777258051201666,0.8038055883059474
random_1,200,4,0,0.7592806958571345,0.7991958105865397
random_1,200,5,0,0.7481252891635746,0.819495784027914
random_1,200,1,1,0.8457990884791697,0.9799233179537332
random_1,200,2,1,0.8457990884791697,0.9799233179537332
random_1,200,3,1,0.8457990884791697,0.9799233179537332
random_1,200,4,1,0.5498527013832449,0.7376341759202985
random_1,200,5,1,0.488460010168265,0.5920910516390595
random_1,200,1,2,0.8806366644095371,0.9862453584693008
random_1,200,2,2,0.8806366644095371,0.9862453584693008
random_1,200,3,2,0.6595088786858438,0.8038055883059474
random_1,200,4,2,0.5377532563974972,0.6237453584693009
random_1,200,5,2,0.5757023724289223,0.6269643053929619
random_1,200,1,3,0.7833374185196905,0.9862453584693008
random_1,200,2,3,0.670824906007178,0.9862453584693008
random_1,200,3,3,0.742257579565905,0.7441913456678211
random_1,200,4,3,0.7209590710837988,0.7376341759202985
random_1,200,5,3,0.718410484818051,0.7626342473581897
random_1,200,1,4,0.8409957778504871,0.947640512039706
random_1,200,2,4,0.8409957778504871,0.947640512039706
random_1,200,3,4,0.6010222667021209,0.7937394645576381
random_1,200,4,4,0.5485303997943141,0.7405057270559366
random_1,200,5,4,0.5012428191679427,0.5670607482945419
random_1,200,1,5,0.8610746125675233,0.9852976387262952
random_1,200,2,5,0.6640515623622046,0.9852976387262952
random_1,200,3,5,0.6967805440629284,0.7760394774649486
random_1,200,4,5,0.6531931229993524,0.7370484885249639
random_1,200,5,5,0.6540023720189638,0.6269643053929619
random_1,200,1,6,0.8509431182356173,0.9727229848356056
random_1,200,2,6,0.8509431182356173,0.9727229848356056
random_1,200,3,6,0.8509431182356173,0.9727229848356056
random_1,200,4,6,0.8509431182356173,0.9727229848356056
random_1,200,5,6,0.8509431182356173,0.9727229848356056
random_1,200,1,7,0.8694040943771613,0.9823576347751992
random_1,200,2,7,0.8694040943771613,0.9823576347751992
random_1,200,3,7,0.8694040943771613,0.9823576347751992
random_1,200,4,7,0.8694040943771613,0.9823576347751992
random_1,200,5,7,0.4852428335696245,0.5059462768709555
random_1,200,1,8,0.840880704525463,0.970868798975736
random_1,200,2,8,0.840880704525463,0.970868798975736
random_1,200,3,8,0.840880704525463,0.970868798975736
random_1,200,4,8,0.840880704525463,0.970868798975736
random_1,200,5,8,0.840880704525463,0.970868798975736
random_1,300,1,0,0.5692317973225502,0.4949076140872384
random_1,300,2,0,0.5133908536391407,0.4877069241485036
random_1,300,3,0,0.4434752480903913,0.4922278864277104
random_1,300,4,0,0.4591326252415128,0.4949076140872384
random_1,300,5,0,0.5675716776068751,0.6588945530943771
random_1,300,1,1,0.5648772472459711,0.6945151734514602
random_1,300,2,1,0.4548512691861475,0.4949076140872384
random_1,300,3,1,0.4185933748808344,0.36797687223566
random_1,300,4,1,0.4019267082141677,0.46797687223566
random_1,300,5,1,0.4297044859919455,0.46797687223566
random_1,300,1,2,0.8807220056486224,0.9912543464115712
random_1,300,2,2,0.2786215793873116,0.008745653588428826
random_1,300,3,2,0.347388672315289,0.32845023460253975
random_1,300,4,2,0.37331459824121493,0.3284852292947458
random_1,300,5,2,0.37063949556611225,0.3284852292947458
random_1,300,1,3,0.8486171411849655,0.978365355229276
random_1,300,2,3,0.8486171411849655,0.978365355229276
random_1,300,3,3,0.2368401278342555,0.0229532403916628
random_1,300,4,3,0.274332000339812,0.31038009294167057
