filename,r,mae_sh,mae_si,mdae_sh,mdae_si
random_12,1,0.17743141709462917,0.07981491890541748,0.17743141709462917,0.07981491890541748
random_12,2,0.25438867038998536,0.10609569897404036,0.25438867038998536,0.10609569897404036
random_12,3,0.29050597907223263,0.11326610167107354,0.29050597907223263,0.11326610167107354
random_12,4,0.2897733097988473,0.10978619336339335,0.2897733097988473,0.10978619336339335
random_12,5,0.28609780774116556,0.10858966034022,0.28609780774116556,0.10858966034022
random_13,1,0.0772720414546948,0.07252411661482927,0.0772720414546948,0.07252411661482927
random_13,2,0.0833716320007889,0.06461592033586094,0.0833716320007889,0.06461592033586094
random_13,3,0.031880656734151636,0.055570147453038676,0.031880656734151636,0.055570147453038676
random_13,4,0.023121896931574737,0.05303040317676977,0.023121896931574737,0.05303040317676977
random_13,5,0.012287276680311043,0.052120130197334524,0.012287276680311043,0.052120130197334524
random_14,1,0.23431695826251286,0.08288071115260986,0.23431695826251286,0.08288071115260986
random_14,2,0.2177913707308976,0.06577768648776239,0.2177913707308976,0.06577768648776239
random_14,3,0.203481348758628,0.05357774530553783,0.203481348758628,0.05357774530553783
random_14,4,0.2105961863896475,0.05580757585825891,0.2105961863896475,0.05580757585825891
random_14,5,0.2439167163807261,0.06478671671496927,0.2439167163807261,0.06478671671496927
random_15,1,0.1431422673541809,0.07160028500090054,0.1431422673541809,0.07160028500090054
random_15,2,0.20017063859242779,0.09759152629273593,0.20017063859242779,0.09759152629273593
random_15,3,0.20042193338857373,0.09481264560889968,0.20042193338857373,0.09481264560889968
random_15,4,0.20964026810222913,0.09791930649707481,0.20964026810222913,0.09791930649707481
random_15,5,0.21089211337880398,0.09520274161414444,0.21089211337880398,0.09520274161414444
random_16,1,0.16369495701041714,0.06748220341956745,0.16369495701041714,0.06748220341956745
random_16,2,0.1568768088168242,0.05241614695901342,0.1568768088168242,0.05241614695901342
random_16,3,0.16008173281142857,0.05917759056726957,0.16008173281142857,0.05917759056726957
random_16,4,0.1600003283032967,0.05278729062633314,0.1600003283032967,0.05278729062633314
random_16,5,0.14181725876299,0.03946409677186724,0.14181725876299,0.03946409677186724
random_17,1,0.21288421574815275,0.09610193711103854,0.21288421574815275,0.09610193711103854
random_17,2,0.22326400933645862,0.0973086665623123,0.22326400933645862,0.0973086665623123
random_17,3,0.19363973847527727,0.09374435015916804,0.19363973847527727,0.09374435015916804
random_17,4,0.1797565226970541,0.0902844501114829,0.1797565226970541,0.0902844501114829
random_17,5,0.17826255649389156,0.08955499556689106,0.17826255649389156,0.08955499556689106
random_18,1,0.2184724788758856,0.09475017894148674,0.2184724788758856,0.09475017894148674
random_18,2,0.12967478501172414,0.06294416571286698,0.12967478501172414,0.06294416571286698
