filename,sample_time,r,mser
random_12,500,4,-0.0018458523609032
random_12,500,5,-0.002150936568082
random_12,600,1,-0.0182465137416902
random_12,600,2,-0.0102310740798402
random_12,600,3,-0.0109899111873302
random_12,600,4,-0.0098549565932651
random_12,600,5,-0.008624134295643
random_13,0,1,-0.0254208754208754
random_13,0,2,-0.0289864456531123
random_13,0,3,-0.0125701459034792
random_13,0,4,-0.0073403410801784
random_13,0,5,-0.0025427315044801
random_13,100,1,-0.0365125431331614
random_13,100,2,-0.0223339304887165
random_13,100,3,-0.0047050118526598
random_13,100,4,-0.0142731544623415
random_13,100,5,-0.0211602483411281
random_13,200,1,-0.0200606563228534
random_13,200,2,-0.0234976562346561
random_13,200,3,-0.0262410073127117
random_13,200,4,-0.0217481809399483
random_13,200,5,-0.0174337752882324
random_13,300,1,-0.05
random_13,300,2,-0.0451769033760438
random_13,300,3,-0.0408781307264026
random_13,300,4,-0.0352790323323216
random_13,300,5,-0.0338228028554792
random_13,400,1,-0.0349717914446886
random_13,400,2,-0.0245365822187984
random_13,400,3,-0.0165373834875291
random_13,400,4,-0.0166366702277091
random_13,400,5,-0.0108351789267969
random_13,500,1,-0.0173831491285851
random_13,500,2,-0.0031525798071563
random_13,500,3,-0.0162484812449804
random_13,500,4,-0.0194473870790098
random_13,500,5,-0.0136508798993445
random_13,600,1,0.0401200928161909
random_13,600,2,0.0135468569016504
random_13,600,3,0.0119983976656161
random_13,600,4,0.0025016555585886
random_13,600,5,0.0053159481262818
random_14,0,1,-0.0254208754208754
random_14,0,2,-0.0289864456531123
random_14,0,3,-0.0125701459034792
random_14,0,4,-0.0073403410801784
random_14,0,5,-0.0025427315044801
random_14,100,1,-0.0230050981734988
random_14,100,2,-0.0140577696571004
random_14,100,3,0.0189898982414815
random_14,100,4,0.031807717430949
random_14,100,5,0.0350298328418069
random_14,200,1,0.0104008246998344
random_14,200,2,-0.0135792541350312
random_14,200,3,-0.0173086029587355
random_14,200,4,-0.0256915065990618
random_14,200,5,-0.0229073742678285
random_14,300,1,-0.0186551692405511
random_14,300,2,-0.0020060228677127
random_14,300,3,-0.0096533488854788
random_14,300,4,-0.0065050711611232
random_14,300,5,-0.005376942997503
random_14,400,1,-0.0231205089055149
random_14,400,2,-0.0176328749345488
random_14,400,3,-0.0158602516760868
random_14,400,4,-0.0188603868147343
random_14,400,5,-0.0128977334681177
random_14,500,1,-0.0035340818184347
random_14,500,2,-0.0003158408715052
random_14,500,3,-0.0012059556675224
random_14,500,4,-0.0032475961769309
random_14,500,5,0.0091377754787463
random_14,600,1,-0.0013477572831767
random_14,600,2,0.0020566438728058
random_14,600,3,-0.0038340220192286
random_14,600,4,-0.0051859873473919
random_14,600,5,-0.0002136895152205
random_15,0,1,-0.0254208754208754
random_15,0,2,-0.0289864456531123
random_15,0,3,-0.0125701459034792
random_15,0,4,-0.0073403410801784
random_15,0,5,-0.0025427315044801
random_15,100,1,-0.0330682344290619
random_15,100,2,-0.0219255807486417
random_15,100,3,-0.0206004950511464
random_15,100,4,-0.0233688745674941
random_15,100,5,-0.0155189833750793
random_15,200,1,-0.0055011253546772
random_15,200,2,0.0055756343019094
random_15,200,3,0.0126127930247297
random_15,200,4,0.0062121585136816
random_15,200,5,0.004660602011032
random_15,300,1,0.06144475854116
random_15,300,2,0.0279586735160442
random_15,300,3,0.0198174982728551
random_15,300,4,0.0269271568098756
random_15,300,5,0.0143976055818
random_15,400,1,-0.0239956303747988
random_15,400,2,-0.0245412604559652
random_15,400,3,-0.0227172107197659
random_15,400,4,-0.0192546700088176
random_15,400,5,-0.02178418790339
random_15,500,1,0.0155392049364026
random_15,500,2,0.0021500695552639
random_15,500,3,-0.0049417958588456
random_15,500,4,-0.0068801557675791
random_15,500,5,-0.006562755624023
