filename,r,sample_time,mae_sh,mae_si,mdae_sh,mdae_si
random_2,4,300,0.3730953545138701,0.2054169395046208,0.3730953545138701,0.2054169395046208
random_2,5,300,0.4160120254314109,0.22375749816447982,0.4160120254314109,0.22375749816447982
random_2,1,400,0.08108727814763128,0.11472328235737383,0.08108727814763128,0.11472328235737383
random_2,2,400,0.012475931874088797,0.07899134252261653,0.012475931874088797,0.07899134252261653
random_2,3,400,0.07043423859836695,0.04941715990839424,0.07043423859836695,0.04941715990839424
random_2,4,400,0.18393218584361892,0.007587660750358216,0.18393218584361892,0.007587660750358216
random_2,5,400,0.1001265719963027,0.024236037122379317,0.1001265719963027,0.024236037122379317
random_2,1,500,0.2866499195303793,0.07516377348252135,0.2866499195303793,0.07516377348252135
random_2,2,500,0.43342174809091827,0.15928419851203723,0.43342174809091827,0.15928419851203723
random_2,3,500,0.4380587635096981,0.19180405840535486,0.4380587635096981,0.19180405840535486
random_2,4,500,0.536435042922983,0.26009951248400437,0.536435042922983,0.26009951248400437
random_2,5,500,0.5136954420262673,0.24507232513847804,0.5136954420262673,0.24507232513847804
random_2,1,600,0.058943548626216646,0.04640143649528217,0.058943548626216646,0.04640143649528217
random_2,2,600,0.11156426284273735,0.06484744632400585,0.11156426284273735,0.06484744632400585
random_2,3,600,0.04982033130563457,0.04420690939303895,0.04982033130563457,0.04420690939303895
random_2,4,600,0.05622112435548776,0.047595538681872496,0.05622112435548776,0.047595538681872496
random_2,5,600,0.038225307030790634,0.042257308838035024,0.038225307030790634,0.042257308838035024
random_3,1,0,0.003882274435635713,0.07441608996539795,0.003882274435635713,0.07441608996539795
random_3,2,0,0.14274594797523932,0.016666666666666607,0.14274594797523932,0.016666666666666607
random_3,3,0,0.07775481946054552,0.019667159763313458,0.07775481946054552,0.019667159763313458
random_3,4,0,0.06993552837920625,0.02214212956327677,0.06993552837920625,0.02214212956327677
random_3,5,0,0.041602331283159266,0.013455944129384556,0.041602331283159266,0.013455944129384556
random_3,1,100,0.7128595893324253,0.3392969205247631,0.7128595893324253,0.3392969205247631
random_3,2,100,0.5418926601189785,0.2848367642747631,0.5418926601189785,0.2848367642747631
random_3,3,100,0.3883756775853404,0.19493925108362165,0.3883756775853404,0.19493925108362165
random_3,4,100,0.3578668475920189,0.1595768736068171,0.3578668475920189,0.1595768736068171
random_3,5,100,0.3854584674353251,0.17227852483315315,0.3854584674353251,0.17227852483315315
random_3,1,200,0.30708578995154057,0.07735685430533307,0.30708578995154057,0.07735685430533307
random_3,2,200,0.15341996749986075,0.03796001076640976,0.15341996749986075,0.03796001076640976
random_3,3,200,0.14538128649599913,0.02275552704092676,0.14538128649599913,0.02275552704092676
random_3,4,200,0.14046517103904088,0.0226264374462275,0.14046517103904088,0.0226264374462275
random_3,5,200,0.1488625078180411,0.02613645229019479,0.1488625078180411,0.02613645229019479
random_3,1,300,0.26976730896635637,0.057777295613665514,0.26976730896635637,0.057777295613665514
random_3,2,300,0.11074762928642112,0.04282683845457369,0.11074762928642112,0.04282683845457369
random_3,3,300,0.09766806739512202,0.042937778006446714,0.09766806739512202,0.042937778006446714
random_3,4,300,0.09962953616844894,0.03773764267724056,0.09962953616844894,0.03773764267724056
random_3,5,300,0.0987585058848337,0.03093294354166909,0.0987585058848337,0.03093294354166909
random_3,1,400,0.052939862339342,0.0644100409180488,0.052939862339342,0.0644100409180488
random_3,2,400,0.05592993611704933,0.06774841330404024,0.05592993611704933,0.06774841330404024
random_3,3,400,0.06196217478721011,0.07631239620831942,0.06196217478721011,0.07631239620831942
random_3,4,400,0.01424523445521153,0.051817551163265474,0.01424523445521153,0.051817551163265474
random_3,5,400,0.025486720505346838,0.05231006610081512,0.025486720505346838,0.05231006610081512
random_3,1,500,0.24177788308486625,0.1446058221178962,0.24177788308486625,0.1446058221178962
random_3,2,500,0.16587001666859802,0.07716875614567398,0.16587001666859802,0.07716875614567398
random_3,3,500,0.11598598331663124,0.050713608369651775,0.11598598331663124,0.050713608369651775
random_3,4,500,0.19055927536246853,0.08455039754570359,0.19055927536246853,0.08455039754570359
random_3,5,500,0.1998062917829504,0.08537974542083404,0.1998062917829504,0.08537974542083404
random_3,1,600,0.18316447971136518,0.03628491475191953,0.18316447971136518,0.03628491475191953
random_3,2,600,0.131054686310778,0.027331786555715887,0.131054686310778,0.027331786555715887
random_3,3,600,0.026761306693443565,0.00022051337573003593,0.026761306693443565,0.00022051337573003593
random_3,4,600,0.032106601985693484,0.0036733246806945896,0.032106601985693484,0.0036733246806945896
