filename,init_locs,seed,diameter,sample_id,0,1,2,3,4,5,6,7,8
random_3,R1,2,2,0,0,21,0,0,3,0,1,0,0
random_3,R1,2,2,1,0,50,0,0,1,0,0,0,0
random_3,R1,2,2,2,4,0,1,1,0,0,0,0,0
random_3,R1,2,2,3,0,0,0,0,0,0,0,0,0
random_3,R1,2,2,4,0,0,0,0,0,0,0,0,0
random_3,R1,2,2,5,0,0,0,0,0,0,0,0,0
random_3,R1,2,2,6,0,0,0,0,0,0,0,0,0
random_3,R1,2,2,7,0,0,0,1,0,1,0,0,0
random_3,R1,2,2,8,0,0,0,0,0,0,0,0,0
random_3,R1,2,2,9,0,0,0,0,0,0,0,0,0
random_3,R1,2,2,10,0,0,0,0,2,0,0,0,0
random_3,R1,2,2,11,0,0,0,0,0,0,0,0,0
random_3,R1,2,2,12,13,0,0,0,0,0,0,0,0
random_3,R1,2,2,13,0,0,0,0,0,0,0,0,0
random_3,R1,2,2,14,20,0,0,0,0,0,0,0,0
random_3,R1,2,2,15,0,0,0,0,0,0,0,0,0
random_3,R1,2,3,0,0,43,0,0,4,0,1,0,4
random_3,R1,2,3,1,0,96,0,0,2,0,0,0,0
random_3,R1,2,3,2,9,0,2,2,0,0,0,0,0
random_3,R1,2,3,3,0,0,0,0,0,0,0,0,0
random_3,R1,2,3,4,0,0,0,0,0,0,0,0,0
random_3,R1,2,3,5,0,0,0,0,0,0,0,0,0
random_3,R1,2,3,6,0,0,0,0,0,0,0,0,0
random_3,R1,2,3,7,0,0,0,2,0,2,0,0,0
random_3,R1,2,3,8,0,0,0,0,0,0,0,0,0
random_3,R1,2,3,9,0,0,0,0,0,0,0,0,0
random_3,R1,2,3,10,0,0,0,0,4,0,0,0,0
random_3,R1,2,3,11,0,0,0,0,0,0,0,0,0
random_3,R1,2,3,12,20,0,0,0,0,0,0,0,0
random_3,R1,2,3,13,0,0,0,0,0,0,0,0,0
random_3,R1,2,3,14,41,0,0,0,0,0,0,0,0
random_3,R1,2,3,15,0,0,0,0,0,0,0,0,0
random_3,R1,2,4,0,0,81,0,0,6,0,2,0,6
random_3,R1,2,4,1,0,159,0,0,3,0,0,0,0
random_3,R1,2,4,2,16,0,2,3,0,0,0,0,0
random_3,R1,2,4,3,0,0,0,0,0,0,0,0,0
random_3,R1,2,4,4,0,0,0,0,0,0,0,0,0
random_3,R1,2,4,5,0,0,0,0,1,0,0,0,0
random_3,R1,2,4,6,0,0,0,0,0,0,0,0,0
random_3,R1,2,4,7,0,0,0,2,0,2,0,0,0
random_3,R1,2,4,8,0,0,0,0,0,0,0,0,0
random_3,R1,2,4,9,0,0,0,0,0,0,0,0,0
random_3,R1,2,4,10,0,0,0,0,6,0,0,0,0
random_3,R1,2,4,11,0,0,0,0,0,0,0,0,0
random_3,R1,2,4,12,33,0,0,0,0,0,0,0,0
random_3,R1,2,4,13,0,0,0,0,0,0,0,0,0
random_3,R1,2,4,14,90,0,0,0,0,0,0,0,0
random_3,R1,2,4,15,0,0,0,0,0,0,0,0,0
random_3,R1,2,5,0,0,127,0,0,15,0,3,0,7
random_3,R1,2,5,1,0,240,0,0,9,0,0,0,0
random_3,R1,2,5,2,17,0,2,3,0,0,0,0,0
random_3,R1,2,5,3,0,0,0,0,0,0,0,0,0
random_3,R1,2,5,4,0,0,0,0,0,0,0,0,0
random_3,R1,2,5,5,0,0,0,0,1,0,0,0,0
random_3,R1,2,5,6,0,0,0,0,0,1,0,0,0
random_3,R1,2,5,7,0,0,0,5,0,4,0,0,0
random_3,R1,2,5,8,0,0,0,0,0,0,0,0,0
random_3,R1,2,5,9,0,0,0,0,0,0,0,0,0
random_3,R1,2,5,10,0,0,0,0,11,0,0,0,0
random_3,R1,2,5,11,0,0,0,0,0,0,0,0,0
random_3,R1,2,5,12,42,0,0,0,0,2,0,0,0
random_3,R1,2,5,13,0,0,0,0,0,0,0,0,0
random_3,R1,2,5,14,132,0,0,0,0,0,0,0,0
random_3,R1,2,5,15,0,0,0,0,0,0,0,0,0
random_4,R1,3,1,0,0,0,0,0,0,0,0,0,0
random_4,R1,3,1,1,0,0,0,0,0,0,0,0,0
random_4,R1,3,1,2,0,0,0,0,0,0,0,0,0
random_4,R1,3,1,3,0,0,0,0,0,0,0,0,0
random_4,R1,3,1,4,1,0,0,2,0,1,0,0,0
random_4,R1,3,1,5,12,0,0,0,0,0,0,0,0
random_4,R1,3,1,6,0,0,0,0,0,0,0,0,0
random_4,R1,3,1,7,1,0,0,0,0,0,0,0,0
random_4,R1,3,1,8,9,0,0,0,0,0,0,0,0
random_4,R1,3,1,9,4,0,0,0,0,0,0,0,0
random_4,R1,3,1,10,0,0,0,0,0,0,0,0,0
random_4,R1,3,1,11,0,0,0,0,0,0,0,0,0
random_4,R1,3,1,12,0,0,0,0,0,0,0,0,0
random_4,R1,3,1,13,0,0,0,0,0,0,0,0,0
random_4,R1,3,1,14,0,0,0,1,0,0,0,0,0
random_4,R1,3,1,15,0,0,0,0,0,0,0,0,0
random_4,R1,3,2,0,0,0,0,0,0,0,0,0,0
random_4,R1,3,2,1,0,0,0,0,0,0,0,0,0
random_4,R1,3,2,2,0,0,0,0,0,0,0,0,0
random_4,R1,3,2,3,4,0,0,0,0,0,0,0,0
random_4,R1,3,2,4,4,0,0,5,0,1,0,0,0
random_4,R1,3,2,5,19,0,0,0,0,0,0,0,0
random_4,R1,3,2,6,0,0,0,1,0,0,0,0,0
