filename,init_locs,seed,type_id,0,1,2,3,4,5,6,7,8
random_6,R1,5,5,0.2094959377056438,0.2710223002268971,0.35143058263771865,0.2872335287764335,0.38881885557312446,0.0,0.6048377027200028,0.6891167167790441,0.743462852703238
random_6,R1,5,6,0.37552915119566355,0.38663715219641864,0.5029047523210435,0.5121758238176426,0.5117824503732049,0.6048377027200028,0.0,0.8372795599551945,0.8540715265232577
random_6,R1,5,7,0.512000616426132,0.5278744921139364,0.597416141924717,0.5910341368543308,0.6333382302622516,0.6891167167790441,0.8372795599551945,0.0,1.0
random_6,R1,5,8,0.5349607408215139,0.3715812782006671,0.6447980008047595,0.6554660113119626,0.45027098713167185,0.743462852703238,0.8540715265232577,1.0,0.0
clustered_1,C1,0,0,0.0,0.06513947084506153,0.16511970095589124,0.14699516836584087,0.18548495639034823,0.21745912391247565,0.40395467451104655,0.528205416672034,0.5439490899470363
clustered_1,C1,0,1,0.06513947084506153,0.0,0.19188865339313146,0.19479577957456803,0.15886167695450304,0.2825335486240329,0.29201205308056716,0.5249598551882064,0.36697830655461766
clustered_1,C1,0,2,0.16511970095589124,0.19188865339313146,0.0,0.25526768545655254,0.3096783604847675,0.401963028226731,0.5411471651968922,0.6169771054871824,0.6844183167860926
clustered_1,C1,0,3,0.14699516836584087,0.19479577957456803,0.25526768545655254,0.0,0.3172796174844086,0.36704178005942073,0.5520205457454825,0.6298859864516849,0.6946582057563362
clustered_1,C1,0,4,0.18548495639034823,0.15886167695450304,0.3096783604847675,0.3172796174844086,0.0,0.38114257687545755,0.4109004771810098,0.5543889802186494,0.5455081709744235
clustered_1,C1,0,5,0.21745912391247565,0.2825335486240329,0.401963028226731,0.36704178005942073,0.38114257687545755,0.0,0.5896004625456355,0.72886782461608,0.720599266321038
clustered_1,C1,0,6,0.40395467451104655,0.29201205308056716,0.5411471651968922,0.5520205457454825,0.4109004771810098,0.5896004625456355,0.0,0.8503136988991,0.44446803334830376
clustered_1,C1,0,7,0.528205416672034,0.5249598551882064,0.6169771054871824,0.6298859864516849,0.5543889802186494,0.72886782461608,0.8503136988991,0.0,1.0
clustered_1,C1,0,8,0.5439490899470363,0.36697830655461766,0.6844183167860926,0.6946582057563362,0.5455081709744235,0.720599266321038,0.44446803334830376,1.0,0.0
clustered_2,C1,1,0,0.0,0.06302788521263838,0.16249838222793905,0.141730872444567,0.1826522851759013,0.19877618351350324,0.4005262975136372,0.5274680456855392,0.5427354574165908
clustered_2,C1,1,1,0.06302788521263838,0.0,0.18922228134397412,0.1846468413244891,0.13461573848395136,0.27886427374765643,0.26957041043185737,0.4983094508198728,0.3763421574675654
clustered_2,C1,1,2,0.16249838222793905,0.18922228134397412,0.0,0.27312135872428506,0.3027591468155413,0.40045716823687866,0.5299034161543785,0.6325067976081806,0.6889820535782717
clustered_2,C1,1,3,0.141730872444567,0.1846468413244891,0.27312135872428506,0.0,0.30153242442924366,0.3377772412798204,0.5358275627775898,0.6384140911192262,0.6768309008712619
clustered_2,C1,1,4,0.1826522851759013,0.13461573848395136,0.3027591468155413,0.30153242442924366,0.0,0.40116040521641655,0.438189944418458,0.5451652658712683,0.5753418958872414
clustered_2,C1,1,5,0.19877618351350324,0.27886427374765643,0.40045716823687866,0.3377772412798204,0.40116040521641655,0.0,0.6130918410170091,0.7382506842930375,0.7793763575570638
clustered_2,C1,1,6,0.4005262975136372,0.26957041043185737,0.5299034161543785,0.5358275627775898,0.438189944418458,0.6130918410170091,0.0,0.8609076069004231,0.6040132633701466
clustered_2,C1,1,7,0.5274680456855392,0.4983094508198728,0.6325067976081806,0.6384140911192262,0.5451652658712683,0.7382506842930375,0.8609076069004231,0.0,1.0
clustered_2,C1,1,8,0.5427354574165908,0.3763421574675654,0.6889820535782717,0.6768309008712619,0.5753418958872414,0.7793763575570638,0.6040132633701466,1.0,0.0
clustered_3,C1,2,0,0.0,0.06579215280739946,0.17122750310443613,0.14737161372651322,0.1877028731597845,0.1948784892221532,0.4211443704871308,0.5358975062005203,0.5802279878523136
clustered_3,C1,2,1,0.06579215280739946,0.0,0.1940921381291424,0.19569533073331183,0.13960951673792965,0.29385683857000855,0.28436544052735147,0.5314344747332908,0.39205072039476896
clustered_3,C1,2,2,0.17122750310443613,0.1940921381291424,0.0,0.3019570626592195,0.30089331159311977,0.4207580636081873,0.5492545901843014,0.6374404013311143,0.7193472122883529
clustered_3,C1,2,3,0.14737161372651322,0.19569533073331183,0.3019570626592195,0.0,0.31914383717345257,0.3302726329214977,0.5550909073753673,0.6634829752019046,0.7067747692413251
clustered_3,C1,2,4,0.1877028731597845,0.13960951673792965,0.30089331159311977,0.31914383717345257,0.0,0.42069948042567584,0.46287113333024793,0.5915285372937925,0.5959745465964068
clustered_3,C1,2,5,0.1948784892221532,0.29385683857000855,0.4207580636081873,0.3302726329214977,0.42069948042567584,0.0,0.6463307760526465,0.7444188327331304,0.8141337282969229
clustered_3,C1,2,6,0.4211443704871308,0.28436544052735147,0.5492545901843014,0.5550909073753673,0.46287113333024793,0.6463307760526465,0.0,0.9103249607449444,0.697168081918127
clustered_3,C1,2,7,0.5358975062005203,0.5314344747332908,0.6374404013311143,0.6634829752019046,0.5915285372937925,0.7444188327331304,0.9103249607449444,0.0,1.0
clustered_3,C1,2,8,0.5802279878523136,0.39205072039476896,0.7193472122883529,0.7067747692413251,0.5959745465964068,0.8141337282969229,0.697168081918127,1.0,0.0
clustered_4,C1,3,0,0.0,0.06430246285889328,0.16399784124999212,0.1443053376632569,0.17457492641635716,0.20995669263014455,0.3988997412932778,0.5015791829337936,0.540764476544094
clustered_4,C1,3,1,0.06430246285889328,0.0,0.19085182832989506,0.19217027185940977,0.1402882899216246,0.27907580199619464,0.271471095010031,0.5081827976077905,0.3717234414671566
clustered_4,C1,3,2,0.16399784124999212,0.19085182832989506,0.0,0.2446058761332265,0.2968367666245685,0.3952261332015259,0.5213326865471213,0.6163511367542391,0.6767619608068213
clustered_4,C1,3,3,0.1443053376632569,0.19217027185940977,0.2446058761332265,0.0,0.2993931002492102,0.33493382868270033,0.5365069681830109,0.600192792610713,0.6789359762572579
clustered_4,C1,3,4,0.17457492641635716,0.1402882899216246,0.2968367666245685,0.2993931002492102,0.0,0.3763023623408552,0.4291728594457763,0.5329093348157353,0.5859195306804398
