filename,sample_time,r,mae,mdae
random_3,0,4,0.10420054200542005,0.0792682926829269
random_3,0,5,0.08989071038251366,0.11106557377049187
random_3,100,1,0.19502222222222224,0.0498
random_3,100,2,0.17963760683760685,0.0257
random_3,100,3,0.13956666666666673,0.0257
random_3,100,4,0.10819593495934961,0.0257
random_3,100,5,0.09465792349726777,0.017503278688524596
random_3,200,1,0.18527777777777776,0.02315
random_3,200,2,0.16902307692307686,0.02315
random_3,200,3,0.11654444444444441,0.01125
random_3,200,4,0.10885962059620598,0.01125
random_3,200,5,0.16287340619307836,0.01125
random_3,300,1,0.15271111111111108,0.0469
random_3,300,2,0.1578478632478632,0.1054423076923077
random_3,300,3,0.15037777777777775,0.09379999999999988
random_3,300,4,0.1354184281842818,0.06345609756097559
random_3,300,5,0.1245424408014572,0.07570819672131157
random_3,400,1,0.2768055555555555,0.06264999999999998
random_3,400,2,0.22973205128205126,0.03158846153846154
random_3,400,3,0.20067222222222222,0.03334999999999999
random_3,400,4,0.22587547425474255,0.0437
random_3,400,5,0.2376485428051002,0.03908606557377049
random_3,500,1,0.26756111111111114,0.0677
random_3,500,2,0.2128602564102564,0.01600384615384609
random_3,500,3,0.18537222222222224,0.0076999999999999985
random_3,500,4,0.1664771002710027,0.009021951219512186
random_3,500,5,0.16728697632058287,0.018519672131147552
random_3,600,1,0.15037222222222224,0.1366
random_3,600,2,0.10506282051282051,0.05379999999999985
random_3,600,3,0.07691666666666666,0.025949999999999918
random_3,600,4,0.06380013550135494,0.04980487804878031
random_3,600,5,0.09214435336976314,0.031011475409836037
random_4,0,1,0.3222222222222222,0.125
random_4,0,2,0.20512820512820512,0.12115384615384617
random_4,0,3,0.14,0.10999999999999999
random_4,0,4,0.10420054200542005,0.0792682926829269
random_4,0,5,0.08989071038251366,0.11106557377049187
random_4,100,1,0.12137222222222224,0.044300000000000006
random_4,100,2,0.12519957264957265,0.06737692307692308
random_4,100,3,0.12146111111111114,0.02675
random_4,100,4,0.10568875338753389,0.02675
random_4,100,5,0.09100573770491807,0.01731311475409837
random_4,200,1,0.37690555555555555,0.0485
random_4,200,2,0.3038961538461538,0.0614653846153847
random_4,200,3,0.2967166666666667,0.036849999999999994
random_4,200,4,0.2772768292682927,0.02793048780487805
random_4,200,5,0.28493014571948994,0.036527049180327856
random_4,300,1,0.21711111111111112,0.04454999999999998
random_4,300,2,0.15974786324786325,0.0254
random_4,300,3,0.18316666666666667,0.038
random_4,300,4,0.17899322493224934,0.03117073170731708
random_4,300,5,0.19438706739526412,0.0254
random_4,400,1,0.1452888888888889,0.039699999999999985
random_4,400,2,0.13475726495726498,0.0287
random_4,400,3,0.13282222222222223,0.00360000000000002
random_4,400,4,0.13374363143631438,0.010917073170731734
random_4,400,5,0.14908032786885245,0.0287
random_4,500,1,0.30338333333333334,0.115
random_4,500,2,0.2965457264957265,0.03807692307692308
random_4,500,3,0.2211611111111111,0.03049999999999997
random_4,500,4,0.21473644986449864,0.037329268292682904
random_4,500,5,0.21095036429872493,0.01245081967213113
random_4,600,1,0.1941777777777778,0.02439999999999999
random_4,600,2,0.11524188034188033,0.011815384615384616
random_4,600,3,0.138,0.007200000000000012
random_4,600,4,0.126969105691057,0.03133658536585365
random_4,600,5,0.10255664845173035,0.028537704918032786
random_5,0,1,0.3222222222222222,0.125
random_5,0,2,0.20512820512820512,0.12115384615384617
random_5,0,3,0.14,0.10999999999999999
random_5,0,4,0.10420054200542005,0.0792682926829269
random_5,0,5,0.08989071038251366,0.11106557377049187
random_5,100,1,0.3203500000000001,0.0335
random_5,100,2,0.3522311965811966,0.018115384615384617
random_5,100,3,0.30212777777777783,0.013500000000000012
random_5,100,4,0.31793536585365845,0.02585
random_5,100,5,0.30529043715846993,0.01055
random_5,200,1,0.32771666666666666,0.055150000000000005
random_5,200,2,0.31508760683760684,0.056773076923076926
random_5,200,3,0.25269444444444444,0.01985
random_5,200,4,0.1994283197831978,0.0105
random_5,200,5,0.18226238615664847,0.029292622950819636
random_5,300,1,0.36123888888888894,0.0737
random_5,300,2,0.29297136752136743,0.08700384615384615
random_5,300,3,0.26513888888888887,0.0518
random_5,300,4,0.22897303523035228,0.02248048780487805
random_5,300,5,0.24115327868852454,0.06386393442622951
random_5,400,1,0.25664999999999993,0.0192
random_5,400,2,0.19202777777777782,0.0192
random_5,400,3,0.20980555555555555,0.0192
random_5,400,4,0.24216327913279137,0.017459756097560973
random_5,400,5,0.20842122040072858,0.017259836065573776
random_5,500,1,0.22613333333333335,0.09945000000000004
random_5,500,2,0.23665811965811967,0.14591538461538467
random_5,500,3,0.2529888888888889,0.15944999999999987
random_5,500,4,0.25120623306233064,0.09323292682926843
random_5,500,5,0.21775956284153003,0.031257377049180315
random_5,600,1,0.2498166666666667,0.013
random_5,600,2,0.10464658119658124,0.0318
random_5,600,3,0.10567222222222224,0.027099999999999985
random_5,600,4,0.0708754742547426,0.013
random_5,600,5,0.07831411657559197,0.013
random_6,0,1,0.3222222222222222,0.125
random_6,0,2,0.20512820512820512,0.12115384615384617
random_6,0,3,0.14,0.10999999999999999
random_6,0,4,0.10420054200542005,0.0792682926829269
random_6,0,5,0.08989071038251366,0.11106557377049187
random_6,100,1,0.20152222222222219,0.034399999999999986
random_6,100,2,0.21610000000000007,0.021473076923076928
random_6,100,3,0.1672111111111111,0.01739999999999997
random_6,100,4,0.16460948509485096,0.017720731707317083
random_6,100,5,0.17298251366120218,0.011449180327868874
