filename,r,mae,mdae
clustered_5,5,0.37617886633706304,0.08107349726775953
clustered_6,1,0.4289695767195767,0.17142857142857143
clustered_6,2,0.46966961741961744,0.18315018315018317
clustered_6,3,0.4496145502645504,0.16580952380952388
clustered_6,4,0.4424084591560201,0.16488037166085948
clustered_6,5,0.4410587344956196,0.14176580796252927
clustered_7,1,0.28505423280423275,0.10866666666666672
clustered_7,2,0.23035337810337803,0.08375824175824181
clustered_7,3,0.22104312169312176,0.06295238095238098
clustered_7,4,0.2157985740095496,0.05338211382113822
clustered_7,5,0.2158874273570995,0.06370179547228727
clustered_8,1,0.3400806878306878,0.05152380952380953
clustered_8,2,0.35570950345950336,0.0911364468864469
clustered_8,3,0.34939285714285717,0.10520238095238099
clustered_8,4,0.34820275519421856,0.08792015098722417
clustered_8,5,0.3345447263422673,0.042376463700234124
clustered_9,1,0.3730314814814815,0.15780238095238094
clustered_9,2,0.31344662189662187,0.07648443223443219
clustered_9,3,0.32722142857142866,0.03428571428571429
clustered_9,4,0.3458798748225578,0.04413472706155632
clustered_9,5,0.32882003209298294,0.04059328649492583
clustered_10,1,0.38696904761904766,0.03267380952380952
clustered_10,2,0.33536123321123323,0.025934249084249128
clustered_10,3,0.33269126984126984,0.05098809523809528
clustered_10,4,0.33869665118079745,0.07468147502903599
clustered_10,5,0.33484236707433435,0.0809646760343482
clustered_11,1,0.3021939153439153,0.057142857142857155
clustered_11,2,0.2833725071225071,0.05450641025641029
clustered_11,3,0.3133928571428571,0.045714285714285714
clustered_11,4,0.30871378887598394,0.03484320557491289
clustered_11,5,0.30847407841096364,0.034348165495706476
clustered_12,1,0.2760484126984127,0.04425000000000001
clustered_12,2,0.2807696174196174,0.04732582417582415
clustered_12,3,0.31416481481481484,0.08199999999999999
clustered_12,4,0.3200700929152148,0.07196515679442506
clustered_12,5,0.33437125075895574,0.0746307572209211
clustered_13,1,0.40905423280423275,0.06276190476190477
clustered_13,2,0.402216625966626,0.05543589743589744
clustered_13,3,0.40176058201058207,0.04791190476190474
clustered_13,4,0.38752105432959083,0.05110336817653891
clustered_13,5,0.39226278515049,0.052970452771272464
clustered_14,1,0.3552230158730159,0.07619047619047618
clustered_14,2,0.308336568986569,0.05450641025641029
clustered_14,3,0.3188208994708994,0.07457857142857141
clustered_14,4,0.3223929732868757,0.07216277584204411
clustered_14,5,0.31476850984473936,0.07014453551912567
clustered_15,1,0.2985013227513227,0.07076904761904762
clustered_15,2,0.2710534188034188,0.05128205128205129
clustered_15,3,0.2824166666666666,0.043369047619047585
clustered_15,4,0.2613014130855594,0.03484320557491289
clustered_15,5,0.24674189869025934,0.039032006245121
clustered_16,1,0.3679309523809524,0.02446904761904764
clustered_16,2,0.3181045787545787,0.025150183150183164
clustered_16,3,0.3297611111111111,0.04351666666666673
clustered_16,4,0.34197429990966577,0.025507549361207915
clustered_16,5,0.33769241478011963,0.023108508977361414
clustered_17,1,0.2963849206349206,0.07076904761904762
clustered_17,2,0.27913001628001616,0.06197783882783878
clustered_17,3,0.2814743386243386,0.07076904761904756
clustered_17,4,0.28633690153568203,0.06751701509872238
clustered_17,5,0.28453444791395605,0.07159699453551915
clustered_18,1,0.42050396825396813,0.13948809523809524
