filename,r,sample_time,sample_id,mae_sh,mae_si,mdae_sh,mdae_si
random_1,3,0,12,0.3266552719250133,0.027083333333333237,0.3266552719250133,0.027083333333333237
random_1,3,0,13,0.507982871667316,0.14829545454545445,0.507982871667316,0.14829545454545445
random_1,3,0,14,0.3266552719250133,0.027083333333333237,0.3266552719250133,0.027083333333333237
random_1,3,0,15,0.507982871667316,0.14829545454545445,0.507982871667316,0.14829545454545445
random_1,4,0,0,0.20988061558111903,0.020280612244897966,0.20988061558111903,0.020280612244897966
random_1,4,0,1,0.34269561296051254,0.04097222222222219,0.34269561296051254,0.04097222222222219
random_1,4,0,2,0.20988061558111903,0.020280612244897966,0.20988061558111903,0.020280612244897966
random_1,4,0,3,0.34269561296051254,0.04097222222222219,0.34269561296051254,0.04097222222222219
random_1,4,0,4,0.09946467692569061,0.018749999999999933,0.09946467692569061,0.018749999999999933
random_1,4,0,5,0.2649941460626346,0.05882936507936498,0.2649941460626346,0.05882936507936498
random_1,4,0,6,0.09946467692569061,0.018749999999999933,0.09946467692569061,0.018749999999999933
random_1,4,0,7,0.2649941460626346,0.05882936507936498,0.2649941460626346,0.05882936507936498
random_1,4,0,8,0.20988061558111903,0.020280612244897966,0.20988061558111903,0.020280612244897966
random_1,4,0,9,0.34269561296051254,0.04097222222222219,0.34269561296051254,0.04097222222222219
random_1,4,0,10,0.20988061558111903,0.020280612244897966,0.20988061558111903,0.020280612244897966
random_1,4,0,11,0.34269561296051254,0.04097222222222219,0.34269561296051254,0.04097222222222219
random_1,4,0,12,0.09946467692569061,0.018749999999999933,0.09946467692569061,0.018749999999999933
random_1,4,0,13,0.2649941460626346,0.05882936507936498,0.2649941460626346,0.05882936507936498
random_1,4,0,14,0.09946467692569061,0.018749999999999933,0.09946467692569061,0.018749999999999933
random_1,4,0,15,0.2649941460626346,0.05882936507936498,0.2649941460626346,0.05882936507936498
random_1,5,0,0,0.20337035083989385,0.009722222222222077,0.20337035083989385,0.009722222222222077
random_1,5,0,1,0.3755673056423736,0.09652777777777788,0.3755673056423736,0.09652777777777788
random_1,5,0,2,0.20337035083989385,0.009722222222222077,0.20337035083989385,0.009722222222222077
random_1,5,0,3,0.3755673056423736,0.09652777777777788,0.3755673056423736,0.09652777777777788
random_1,5,0,4,0.11436764356466522,0.020280612244897855,0.11436764356466522,0.020280612244897855
random_1,5,0,5,0.20935884953849904,0.040264047866805375,0.20935884953849904,0.040264047866805375
random_1,5,0,6,0.11436764356466522,0.020280612244897855,0.11436764356466522,0.020280612244897855
random_1,5,0,7,0.20935884953849904,0.040264047866805375,0.20935884953849904,0.040264047866805375
random_1,5,0,8,0.20337035083989385,0.009722222222222077,0.20337035083989385,0.009722222222222077
random_1,5,0,9,0.3755673056423736,0.09652777777777788,0.3755673056423736,0.09652777777777788
random_1,5,0,10,0.20337035083989385,0.009722222222222077,0.20337035083989385,0.009722222222222077
random_1,5,0,11,0.3755673056423736,0.09652777777777788,0.3755673056423736,0.09652777777777788
random_1,5,0,12,0.11436764356466522,0.020280612244897855,0.11436764356466522,0.020280612244897855
random_1,5,0,13,0.20935884953849904,0.040264047866805375,0.20935884953849904,0.040264047866805375
random_1,5,0,14,0.11436764356466522,0.020280612244897855,0.11436764356466522,0.020280612244897855
random_1,5,0,15,0.20935884953849904,0.040264047866805375,0.20935884953849904,0.040264047866805375
random_1,1,100,0,1.1144137377828944,0.5590622598226415,1.1144137377828944,0.5590622598226415
random_1,1,100,1,0.5520785931640861,0.18406225982264146,0.5520785931640861,0.18406225982264146
random_1,1,100,2,0.2177653024272279,0.1609377401773585,0.2177653024272279,0.1609377401773585
random_1,1,100,3,1.1144137377828944,0.5590622598226415,1.1144137377828944,0.5590622598226415
random_1,1,100,4,1.1144137377828944,0.5590622598226415,1.1144137377828944,0.5590622598226415
random_1,1,100,5,0.47789956948808165,0.11461781537819704,0.47789956948808165,0.11461781537819704
random_1,1,100,6,1.1144137377828944,0.5590622598226415,1.1144137377828944,0.5590622598226415
random_1,1,100,7,0.6140113142447066,0.23906225982264168,0.6140113142447066,0.23906225982264168
random_1,1,100,8,1.1144137377828944,0.5590622598226415,1.1144137377828944,0.5590622598226415
random_1,1,100,9,1.1144137377828944,0.5590622598226415,1.1144137377828944,0.5590622598226415
random_1,1,100,10,0.6638525289165899,0.2812844820448638,0.6638525289165899,0.2812844820448638
random_1,1,100,11,1.1144137377828944,0.5590622598226415,1.1144137377828944,0.5590622598226415
random_1,1,100,12,1.1144137377828944,0.5590622598226415,1.1144137377828944,0.5590622598226415
random_1,1,100,13,1.1144137377828944,0.5590622598226415,1.1144137377828944,0.5590622598226415
random_1,1,100,14,0.07469296694297634,0.06593774017735854,0.07469296694297634,0.06593774017735854
random_1,1,100,15,1.1144137377828944,0.5590622598226415,1.1144137377828944,0.5590622598226415
random_1,2,100,0,1.1144137377828944,0.5590622598226415,1.1144137377828944,0.5590622598226415
random_1,2,100,1,0.8906956617170607,0.4483356162240257,0.8906956617170607,0.4483356162240257
random_1,2,100,2,0.21246235609681063,0.06473119406300437,0.21246235609681063,0.06473119406300437
random_1,2,100,3,0.5701300048134551,0.27086781537819715,0.5701300048134551,0.27086781537819715
random_1,2,100,4,0.4414020707736379,0.07906225982264148,0.4414020707736379,0.07906225982264148
random_1,2,100,5,0.4242280617640902,0.06202083970429828,0.4242280617640902,0.06202083970429828
random_1,2,100,6,1.1144137377828944,0.5590622598226415,1.1144137377828944,0.5590622598226415
random_1,2,100,7,0.6402744247250571,0.26154159866561677,0.6402744247250571,0.26154159866561677
random_1,2,100,8,1.1144137377828944,0.5590622598226415,1.1144137377828944,0.5590622598226415
random_1,2,100,9,0.16414319854965964,0.0009377401773584815,0.16414319854965964,0.0009377401773584815
random_1,2,100,10,0.58470753872524,0.21338324747696247,0.58470753872524,0.21338324747696247
random_1,2,100,11,0.6140113142447066,0.23906225982264168,0.6140113142447066,0.23906225982264168
