filename,sample_time,r,sample_id,mae,mdae
random_1,100,5,3,1.0671220400728596,0.275
random_1,100,5,4,0.4058287795992714,0.275
random_1,100,5,5,0.36766848816029146,0.275
random_1,100,5,6,0.4153005464480874,0.2
random_1,100,5,7,0.49398907103825135,0.275
random_1,100,5,8,0.48497267759562845,0.0688524590163935
random_1,100,5,9,0.21129326047358837,0.1438524590163935
random_1,100,5,10,0.6598360655737705,0.275
random_1,100,5,11,0.2258652094717668,0.16393442622950793
random_1,100,5,12,0.40072859744990896,0.2438524590163935
random_1,100,5,13,0.4444444444444444,0.275
random_1,100,5,14,0.2882513661202186,0.05
random_1,100,5,15,0.3968123861566484,0.275
random_1,200,1,0,1.4222222222222225,0.275
random_1,200,1,1,0.4444444444444444,0.275
random_1,200,1,2,0.8888888888888888,0.275
random_1,200,1,3,1.0666666666666669,0.275
random_1,200,1,4,0.4444444444444444,0.275
random_1,200,1,5,0.7111111111111111,0.275
random_1,200,1,6,1.5166666666666668,0.275
random_1,200,1,7,1.1611111111111112,0.275
random_1,200,1,8,1.2444444444444445,0.275
random_1,200,1,9,0.2666666666666666,0.275
random_1,200,1,10,1.9555555555555557,0.275
random_1,200,1,11,0.4444444444444444,0.275
random_1,200,1,12,0.4444444444444444,0.275
random_1,200,1,13,0.7111111111111111,0.275
random_1,200,1,14,0.4444444444444444,0.275
random_1,200,1,15,1.7777777777777777,0.275
random_1,200,2,0,0.9572649572649574,0.275
random_1,200,2,1,0.4444444444444444,0.275
random_1,200,2,2,0.6153846153846154,0.275
random_1,200,2,3,1.0256410256410258,0.275
random_1,200,2,4,0.4444444444444444,0.275
random_1,200,2,5,0.5470085470085471,0.275
random_1,200,2,6,0.9662393162393165,0.275
random_1,200,2,7,0.7371794871794872,0.275
random_1,200,2,8,0.9572649572649574,0.275
random_1,200,2,9,0.8205128205128206,0.275
random_1,200,2,10,1.1623931623931627,0.275
random_1,200,2,11,0.3076923076923077,0.275
random_1,200,2,12,0.376068376068376,0.275
random_1,200,2,13,0.9572649572649574,0.275
random_1,200,2,14,0.4444444444444444,0.275
random_1,200,2,15,2.1880341880341883,0.275
random_1,200,3,0,0.9955555555555559,0.275
random_1,200,3,1,0.4444444444444444,0.275
random_1,200,3,2,0.8888888888888888,0.275
random_1,200,3,3,0.7111111111111111,0.275
random_1,200,3,4,0.40888888888888886,0.2
random_1,200,3,5,0.5333333333333333,0.275
random_1,200,3,6,0.5477777777777777,0.275
