filename,sample_time,r,mae,mdae
random_8,400,4,0.2505991418247515,0.040657723577235766
random_8,400,5,0.2436453248330297,0.08250765027322404
random_8,500,1,0.3148685185185186,0.04345
random_8,500,2,0.11201951566951569,0.01677820512820516
random_8,500,3,0.11338703703703702,0.016783333333333334
random_8,500,4,0.15009887082204154,0.027189837398373985
random_8,500,5,0.13004763205828784,0.032521038251366124
random_8,600,1,0.15637407407407405,0.0237
random_8,600,2,0.08447236467236467,1.7948717948711168e-05
random_8,600,3,0.08189629629629627,0.0237
random_8,600,4,0.05574435411020779,0.008820325203252037
random_8,600,5,0.08841997571341836,0.007584153005464486
random_9,0,1,0.22592592592592597,0.05
random_9,0,2,0.17094017094017094,0.09743589743589744
random_9,0,3,0.06703703703703696,0.025
random_9,0,4,0.05361336946702793,0.030487804878048697
random_9,0,5,0.043746205221615056,0.046994535519125746
random_9,100,1,0.18858888888888886,0.0775
random_9,100,2,0.1724709401709402,0.07634615384615386
random_9,100,3,0.1982407407407408,0.029166666666666674
random_9,100,4,0.2272922312556459,0.020060975609756088
random_9,100,5,0.18449453551912565,0.020860655737704903
random_9,200,1,0.4935685185185186,0.0619
random_9,200,2,0.5846562678062679,0.04066410256410258
random_9,200,3,0.5924055555555556,0.03685
random_9,200,4,0.5661724932249322,0.03685
random_9,200,5,0.5516134486945962,0.03685
random_9,300,1,0.4024370370370371,0.05705
random_9,300,2,0.2752532763532763,0.05705
random_9,300,3,0.2308555555555555,0.023800000000000016
random_9,300,4,0.2445077687443541,0.0102
random_9,300,5,0.2410539162112932,0.01045765027322404
random_9,400,1,0.16845370370370372,0.0804
random_9,400,2,0.16104059829059825,0.0816
random_9,400,3,0.17608333333333334,0.0816
random_9,400,4,0.15373608852755194,0.07725
random_9,400,5,0.14111891317547054,0.07725
random_9,500,1,0.2725685185185186,0.00855
random_9,500,2,0.13581638176638178,0.00855
random_9,500,3,0.19217962962962964,0.024916666666666667
random_9,500,4,0.16377854561878957,0.014510162601626018
random_9,500,5,0.12820312689738922,0.009178961748633876
random_9,600,1,0.2828833333333334,0.01545
random_9,600,2,0.2045462962962962,0.01545
random_9,600,3,0.20012037037037045,0.000899999999999998
random_9,600,4,0.2255584914182476,0.01545
random_9,600,5,0.21973822100789306,0.013526229508196735
random_10,0,1,0.22592592592592597,0.05
random_10,0,2,0.17094017094017094,0.09743589743589744
random_10,0,3,0.06703703703703696,0.025
random_10,0,4,0.05361336946702793,0.030487804878048697
random_10,0,5,0.043746205221615056,0.046994535519125746
random_10,100,1,0.2754407407407408,0.10638333333333333
random_10,100,2,0.20496837606837615,0.026464102564102573
random_10,100,3,0.14809629629629636,0.022766666666666664
random_10,100,4,0.09570243902439027,0.00965
random_10,100,5,0.11884729811778993,0.021455191256830625
random_10,200,1,0.39246481481481477,0.05033333333333333
random_10,200,2,0.4099084045584045,0.03728205128205129
random_10,200,3,0.38634629629629624,0.02366666666666667
random_10,200,4,0.3811430442637759,0.0206
random_10,200,5,0.37331162720097155,0.009671038251366124
random_10,300,1,0.2562925925925926,0.13941666666666666
random_10,300,2,0.19119059829059828,0.06416410256410257
random_10,300,3,0.19703333333333334,0.07615
random_10,300,4,0.1952330623306233,0.057232113821138214
random_10,300,5,0.19738154219793563,0.06522103825136612
random_10,400,1,0.2142222222222222,0.00775
random_10,400,2,0.1709173789173789,0.00775
random_10,400,3,0.1282962962962963,0.00775
random_10,400,4,0.15251806684733515,0.008510162601626018
random_10,400,5,0.1661126290224651,0.00575
random_10,500,1,0.07115,0.01175
random_10,500,2,0.12254059829059834,0.03056794871794872
random_10,500,3,0.06054629629629631,0.014916666666666668
random_10,500,4,0.08793563685636854,0.0005491869918699266
random_10,500,5,0.08912152398299931,0.0008210382513661237
random_10,600,1,0.25437407407407414,0.026933333333333365
random_10,600,2,0.2897017094017094,0.0286
random_10,600,3,0.2988185185185184,0.0286
random_10,600,4,0.2641301716350497,0.0286
random_10,600,5,0.2014293260473587,0.017671038251366122
random_11,0,1,0.22592592592592597,0.05
random_11,0,2,0.17094017094017094,0.09743589743589744
random_11,0,3,0.06703703703703696,0.025
random_11,0,4,0.05361336946702793,0.030487804878048697
random_11,0,5,0.043746205221615056,0.046994535519125746
random_11,100,1,0.26609814814814814,0.08225
random_11,100,2,0.28428760683760684,0.0282
random_11,100,3,0.25424629629629636,0.0282
random_11,100,4,0.24384566395663956,0.0282
random_11,100,5,0.2123619611414693,0.02785
random_11,200,1,0.4760055555555556,0.0952
random_11,200,2,0.4580599715099716,0.08416410256410257
random_11,200,3,0.4358203703703704,0.0471
