filename,r,mae,mdae
random_13,2,0.23977954822954825,0.03296703296703297
random_13,3,0.2559944444444444,0.03142857142857143
random_13,4,0.2709024583817266,0.033254529616724704
random_13,5,0.27617019255789743,0.039812646370023415
random_14,1,0.34869285714285714,0.19914285714285715
random_14,2,0.2911042124542125,0.1387032967032967
random_14,3,0.29960238095238095,0.14771428571428571
random_14,4,0.2960328881145955,0.14513588850174217
random_14,5,0.2982700884725475,0.13708196721311475
random_15,1,0.366334126984127,0.03743571428571427
random_15,2,0.3541241147741149,0.03846153846153847
random_15,3,0.36252460317460317,0.043149999999999994
random_15,4,0.37272204800619435,0.06809773519163762
random_15,5,0.37687276867030955,0.0861476580796253
random_16,1,0.40304365079365073,0.05714285714285715
random_16,2,0.37732313797313793,0.07692307692307694
random_16,3,0.3768103174603174,0.06600714285714288
random_16,4,0.37620636856368556,0.07680853658536585
random_16,5,0.37101796773354145,0.0702576112412178
random_17,1,0.271297619047619,0.06600714285714282
random_17,2,0.2844844322344323,0.04529670329670332
random_17,3,0.2925674603174603,0.08029285714285714
random_17,4,0.2925826751838947,0.0754494773519164
random_17,5,0.29737758261774655,0.05160187353629975
random_18,1,0.4774452380952381,0.08571428571428573
random_18,2,0.4566882173382173,0.0507912087912088
random_18,3,0.4225246031746031,0.04857142857142858
random_18,4,0.40311306620209053,0.047191811846689885
random_18,5,0.39534791829300026,0.052693208430913345
random_19,1,0.31732936507936504,0.07057142857142859
random_19,2,0.3064624542124542,0.04945054945054945
random_19,3,0.28812301587301586,0.062
random_19,4,0.3012934765776228,0.09635540069686413
random_19,5,0.30622483736664063,0.12244742388758782
random_20,1,0.49033412698412693,0.15172142857142856
random_20,2,0.4939287545787546,0.11325989010989007
random_20,3,0.47776269841269836,0.10600714285714284
random_20,4,0.493318253968254,0.10816742160278743
random_20,5,0.4861623861566485,0.12420140515222486
clustered_1,1,0.28051190476190485,0.0843214285714286
clustered_1,2,0.28708907203907214,0.032967032967032975
clustered_1,3,0.3175896825396825,0.03142857142857143
clustered_1,4,0.3201477158343012,0.027874564459930314
clustered_1,5,0.316714168618267,0.03139402810304448
clustered_2,1,0.2265436507936508,0.05172142857142856
clustered_2,2,0.20894499389499385,0.048057692307692246
clustered_2,3,0.22489126984126978,0.07142857142857142
clustered_2,4,0.23881279519938056,0.06968641114982578
clustered_2,5,0.2451372495446265,0.07259953161592506
clustered_3,1,0.29510714285714285,0.15172142857142856
clustered_3,2,0.23991788766788755,0.07282142857142854
clustered_3,3,0.23478968253968255,0.053428571428571436
clustered_3,4,0.2381885598141695,0.046689024390243916
clustered_3,5,0.2514499219359874,0.0351288056206089
clustered_4,1,0.3282484126984126,0.05714285714285715
clustered_4,2,0.31091019536019526,0.06043956043956045
clustered_4,3,0.3054642857142857,0.060000000000000005
clustered_4,4,0.31731844754161825,0.07142857142857142
clustered_4,5,0.3198367291178767,0.06088992974238876
clustered_5,1,0.39351984126984124,0.09999999999999999
clustered_5,2,0.38953315018315016,0.10029395604395608
clustered_5,3,0.37839761904761904,0.06571428571428571
