filename,r,sample_time,mae_sh,mae_si,mdae_sh,mdae_si
random_2,2,0,0.3261568247905191,0.08150510204081629,0.3261568247905191,0.08150510204081629
random_2,3,0,0.14270094646927856,0.03634259259259254,0.14270094646927856,0.03634259259259254
random_2,4,0,0.11797742468733863,0.028122911561594965,0.11797742468733863,0.028122911561594965
random_2,5,0,0.13088715527467576,0.03343032142545199,0.13088715527467576,0.03343032142545199
random_2,1,100,0.2069386010390848,0.11374819176567685,0.2069386010390848,0.11374819176567685
random_2,2,100,0.19915358311283637,0.06951444133233331,0.19915358311283637,0.06951444133233331
random_2,3,100,0.11043084392232316,0.010514370715851262,0.11043084392232316,0.010514370715851262
random_2,4,100,0.0077812925879561234,0.052223063878669373,0.0077812925879561234,0.052223063878669373
random_2,5,100,0.08751594020975062,0.07557181828524767,0.08751594020975062,0.07557181828524767
random_2,1,200,0.11156464646352804,0.0050503071795544585,0.11156464646352804,0.0050503071795544585
random_2,2,200,0.1455006071720406,0.06282422693264067,0.1455006071720406,0.06282422693264067
random_2,3,200,0.06431612877066617,0.09713118151004446,0.06431612877066617,0.09713118151004446
random_2,4,200,0.11227359088546729,0.03464904978310468,0.11227359088546729,0.03464904978310468
random_2,5,200,0.07744508202231559,0.03468949441011793,0.07744508202231559,0.03468949441011793
random_2,1,300,0.1625091159921419,0.08893900022196566,0.1625091159921419,0.08893900022196566
random_2,2,300,0.11657576631540945,0.09985612919880793,0.11657576631540945,0.09985612919880793
random_2,3,300,0.06872617936960523,0.058470737995118593,0.06872617936960523,0.058470737995118593
random_2,4,300,0.1697622908122578,0.10456420726155846,0.1697622908122578,0.10456420726155846
random_2,5,300,0.1958787869786065,0.11762956011909209,0.1958787869786065,0.11762956011909209
random_2,1,400,0.4694365987450728,0.2092563094793608,0.4694365987450728,0.2092563094793608
random_2,2,400,0.4617361907407078,0.2050372618603134,0.4617361907407078,0.2050372618603134
random_2,3,400,0.33703375137721703,0.16613085132276373,0.33703375137721703,0.16613085132276373
random_2,4,400,0.33057915690049666,0.15383246028367592,0.33057915690049666,0.15383246028367592
random_2,5,400,0.31717662677284986,0.164357879193119,0.31717662677284986,0.164357879193119
random_2,1,500,0.33747271298015613,0.1421413378574683,0.33747271298015613,0.1421413378574683
random_2,2,500,0.3562183338094581,0.20669944560260922,0.3562183338094581,0.20669944560260922
random_2,3,500,0.35905753337468327,0.21939348776823575,0.35905753337468327,0.21939348776823575
random_2,4,500,0.40982281285450717,0.25507785753590545,0.40982281285450717,0.25507785753590545
