filename,r,sample_id,type_id,mae,mdae,r2
random_1,3,1,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,4,1,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,5,1,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,1,2,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,2,2,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,3,2,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,4,2,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,5,2,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,1,3,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,2,3,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,3,3,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,4,3,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,5,3,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,1,4,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,2,4,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,3,4,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,4,4,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,5,4,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,1,5,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,2,5,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,3,5,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,4,5,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,5,5,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,1,6,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,2,6,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,3,6,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,4,6,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,5,6,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,1,7,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,2,7,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,3,7,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,4,7,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,5,7,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,1,8,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,2,8,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,3,8,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,4,8,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,5,8,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,1,9,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,2,9,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,3,9,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,4,9,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,5,9,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,1,10,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,2,10,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,3,10,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,4,10,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,5,10,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,1,11,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,2,11,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,3,11,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,4,11,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,5,11,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,1,0,2,0.703841691673937,0.9127492067546807,-3.14332328319015
random_1,2,0,2,0.7098748741777077,0.9308487542659929,-3.207390958219052
random_1,3,0,2,0.7095822198025247,0.8933335048830766,-3.199433980251274
random_1,4,0,2,0.7032772665812098,0.8909398129653069,-3.123413283310555
random_1,5,0,2,0.5981695860018311,0.8404295738345772,-2.4385147674566094
random_1,1,1,2,0.7294827173149625,0.9381096242860616,-3.4253195230509093
random_1,2,1,2,0.7218198820659203,0.9381096242860616,-3.349535316983947
random_1,3,1,2,0.6467280876853327,0.8858841192891226,-2.7632659354034925
random_1,4,1,2,0.6634449814659058,0.8858841192891226,-2.831227282068471
random_1,5,1,2,0.6632434010756462,0.8858841192891226,-2.8293913713558108
random_1,1,2,2,0.6206666542754607,0.8858841192891226,-2.7248905784344326
random_1,2,2,2,0.6206666542754607,0.8858841192891226,-2.7248905784344326
