filename,r,mae,mdae,r2
random_7,2,0.23346282051282052,0.06847307692307693,0.6095658170288589
random_7,3,0.20365,0.03815,0.6464241568955574
random_7,4,0.20427791327913278,0.028135365853658542,0.6319692147861045
random_7,5,0.18253105646630235,0.016140163934426223,0.6597266138350797
random_8,1,0.12071666666666668,0.08165,0.9753846085814952
random_8,2,0.13779358974358974,0.033734615384615405,0.933896838033316
random_8,3,0.18134999999999996,0.022749999999999992,0.8617832390995986
random_8,4,0.2114619241192413,0.04030121951219512,0.8528945842546544
random_8,5,0.18260446265938068,0.03861557377049185,0.901429363620519
random_9,1,0.252461111111111,0.09605,0.6710380678338743
random_9,2,0.2170029914529915,0.04304615384615386,0.7382873501924654
random_9,3,0.21250555555555556,0.04395000000000002,0.7815621809136557
random_9,4,0.174270596205962,0.03762926829268293,0.8211098204788656
random_9,5,0.17142923497267756,0.012439344262295093,0.8092978437270923
random_10,1,0.5465777777777778,0.13065000000000002,0.14845817107620907
random_10,2,0.5101358974358975,0.03172692307692307,0.14347231664758842
random_10,3,0.4636666666666668,0.029349999999999994,0.21459718102992564
random_10,4,0.443829268292683,0.035479268292682914,0.2449514528519403
random_10,5,0.3976921675774135,0.02016967213114755,0.3370137857683574
random_11,1,0.37186111111111114,0.11629999999999996,0.5497121739520221
random_11,2,0.2838269230769231,0.08494615384615385,0.6407168962882938
random_11,3,0.19752777777777786,0.029049999999999992,0.81414734318621
random_11,4,0.18107737127371268,0.020119512195121952,0.8289150041102472
random_11,5,0.17072595628415305,0.028327049180328245,0.8640915715634059
random_12,1,0.17854444444444445,0.0421,0.8096908771851832
random_12,2,0.22726239316239308,0.07121538461538458,0.7080329029197303
random_12,3,0.22521111111111106,0.07055,0.6802577607968333
random_12,4,0.18003848238482384,0.052453658536585346,0.7706032971969345
random_12,5,0.1812908925318762,0.033903278688524593,0.7729717203711618
random_13,1,0.4232055555555556,0.3326,0.1585159349528752
random_13,2,0.43437991452991453,0.2095923076923077,0.06765828529301765
random_13,3,0.3842944444444445,0.10189999999999998,0.20958459708194088
random_13,4,0.3491182926829268,0.060436585365853654,0.26625207067325596
random_13,5,0.3185749544626593,0.04944098360655737,0.30190565584512863
random_14,1,0.2722444444444445,0.06565,0.592674064058377
random_14,2,0.20042478632478625,0.03644230769230772,0.8024150974083476
random_14,3,0.20298888888888883,0.06565,0.8382848232057234
random_14,4,0.16884254742547414,0.06161951219512195,0.895061734063758
random_14,5,0.17208142076502733,0.05302295081967214,0.8795958353418842
random_15,1,0.27235,0.044,0.8197006866953293
random_15,2,0.3391799145299144,0.044,0.6452165874872822
random_15,3,0.3093277777777777,0.056400000000000006,0.6999712989630145
random_15,4,0.25317601626016256,0.044,0.789678962392023
random_15,5,0.24171393442622952,0.03767295081967214,0.7876807068597065
random_16,1,0.4396333333333333,0.1493,0.010381232727551204
random_16,2,0.38470341880341885,0.0397,0.11917976096346472
random_16,3,0.40383333333333327,0.030700000000000005,0.048487218815324806
random_16,4,0.4069769647696476,0.07021219512195126,0.05729219776131156
random_16,5,0.405180510018215,0.047421311475409844,0.08729650448083137
random_17,1,0.21225,0.07125,0.7271581233126998
random_17,2,0.242658547008547,0.0614,0.648561643812039
random_17,3,0.20231666666666662,0.0614,0.7836013150468577
random_17,4,0.20242506775067748,0.04920487804878049,0.7452289227618664
random_17,5,0.2011144808743169,0.045006557377049186,0.7489401538699607
random_18,1,0.10616111111111114,0.07525,0.9755145730719958
random_18,2,0.20569871794871794,0.07525,0.8646427549739432
random_18,3,0.14393888888888895,0.045,0.9287731594006858
random_18,4,0.1428264227642277,0.056219512195121946,0.933012366483443
random_18,5,0.1291112021857924,0.023110655737704905,0.9439315106884555
random_19,1,0.23077222222222224,0.0629,-0.5864615629421808
random_19,2,0.1719311965811966,0.07119230769230772,-0.13094484157167052
random_19,3,0.19345,0.07710000000000002,-0.25311892355066723
random_19,4,0.1740421409214092,0.046856097560975626,-0.146116063676625
random_19,5,0.17119134790528234,0.043657377049180296,-0.1369440077423194
random_20,1,0.17969444444444443,0.04775,0.9083513087588566
random_20,2,0.1724123931623931,0.07884615384615386,0.9199264297214067
random_20,3,0.20813888888888887,0.04775,0.8696767743716862
random_20,4,0.2024207317073171,0.04775,0.8479801550036279
random_20,5,0.198193533697632,0.04775,0.860020720353131
clustered_1,1,0.2890333333333334,0.0916,0.5446199659558566
clustered_1,2,0.2741068376068376,0.17509230769230744,0.748688698711347
clustered_1,3,0.2414888888888889,0.15260000000000007,0.8244177918573121
clustered_1,4,0.19397777777777775,0.12376829268292686,0.8806453511886494
clustered_1,5,0.17849508196721317,0.058813114754098374,0.8775510027406017
clustered_2,1,0.3401944444444445,0.1161500000000002,0.6975800206525674
clustered_2,2,0.27001495726495733,0.1300038461538462,0.7793850109731623
clustered_2,3,0.24993888888888888,0.061799999999999994,0.7819653238069878
clustered_2,4,0.2563643631436314,0.07553292682926832,0.7509965327164716
clustered_2,5,0.2770804189435336,0.05334180327868854,0.7186053677132886
clustered_3,1,0.22871666666666662,0.03465,0.9054783314117889
clustered_3,2,0.1546371794871794,0.03465,0.9705616082681637
clustered_3,3,0.15515,0.0686,0.9680958741067783
clustered_3,4,0.1336865853658537,0.06382804878048784,0.9769103063341316
clustered_3,5,0.13179845173041888,0.06489426229508194,0.9793508839779415
clustered_4,1,0.09520000000000005,0.08730000000000004,0.9904668882708757
clustered_4,2,0.0743076923076923,0.05653076923076927,0.9932233628589514
clustered_4,3,0.0686666666666667,0.06730000000000003,0.9942557194155152
clustered_4,4,0.07021517615176148,0.045821951219512214,0.9940979263806814
clustered_4,5,0.06345992714025508,0.06116475409836131,0.9951909074603181
clustered_5,1,0.3295444444444444,0.0611,0.5131087430172923
clustered_5,2,0.2533008547008547,0.0611,0.7062836240043284
