filename,r,sample_id,acc,prec,rec
random_2,5,0,0.2222222222222222,1.0,0.2222222222222222
random_2,5,1,0.1111111111111111,1.0,0.1111111111111111
random_2,5,2,0.2222222222222222,1.0,0.2222222222222222
random_2,5,3,0.4444444444444444,1.0,0.4444444444444444
random_2,5,4,0.2222222222222222,1.0,0.2222222222222222
random_2,5,5,0.2222222222222222,1.0,0.2222222222222222
random_2,5,6,0.2222222222222222,1.0,0.2222222222222222
random_2,5,7,0.1111111111111111,1.0,0.1111111111111111
random_2,5,8,0.2222222222222222,1.0,0.2222222222222222
random_2,5,9,0.1111111111111111,1.0,0.1111111111111111
random_2,5,10,0.0,0.0,0.0
random_2,5,11,0.1111111111111111,1.0,0.1111111111111111
random_3,1,0,0.3333333333333333,1.0,0.3333333333333333
random_3,1,1,0.1111111111111111,1.0,0.1111111111111111
