filename,r,sample_id,mae,mdae,r2
random_1,5,7,0.5564555555555555,0.0745,-0.5148354513785305
random_1,5,8,0.5353947176684881,0.1019475409836065,-0.3564139847603771
random_1,5,9,0.5479830601092897,0.18779508196721306,-0.4783553922321995
random_1,5,10,0.5564555555555555,0.0745,-0.5148354513785305
random_1,5,11,0.5127397085610199,0.0745,-0.4587691362314208
random_2,1,0,0.3213944444444444,0.22495,0.6152513305642147
random_2,1,1,0.4991722222222223,0.22495,-0.4046046176938889
random_2,1,2,0.4991722222222223,0.22495,-0.4046046176938889
random_2,1,3,1.0462055555555554,0.9326,-2.6197147632863853
random_2,1,4,0.3213944444444444,0.22495,0.6152513305642147
random_2,1,5,0.4991722222222223,0.22495,-0.4046046176938889
random_2,1,6,0.5715166666666667,0.22495,-0.592560180520703
random_2,1,7,0.4991722222222223,0.22495,-0.4046046176938889
random_2,1,8,0.5715166666666667,0.22495,-0.6844162089210903
random_2,1,9,0.4991722222222223,0.22495,-0.4046046176938889
random_2,1,10,0.4991722222222223,0.22495,-0.4046046176938889
random_2,1,11,0.4991722222222223,0.22495,-0.4046046176938889
random_2,2,0,0.4758585470085471,0.22495,-0.21823402819620652
random_2,2,1,0.4991722222222223,0.22495,-0.4046046176938889
random_2,2,2,0.5304910256410257,0.22495,-0.46719560562294626
random_2,2,3,0.9446123931623932,0.5889846153846154,-2.047705592466642
random_2,2,4,0.5755534188034188,0.22495,-0.8724552992786663
random_2,2,5,0.4991722222222223,0.22495,-0.4046046176938889
random_2,2,6,0.4621149572649574,0.14093461538461544,-0.36757493312057155
random_2,2,7,0.4991722222222223,0.22495,-0.4046046176938889
random_2,2,8,0.3020491452991453,0.22495,0.6741636908807942
random_2,2,9,0.4991722222222223,0.22495,-0.4046046176938889
random_2,2,10,0.4991722222222223,0.22495,-0.4046046176938889
random_2,2,11,0.4991722222222223,0.22495,-0.4046046176938889
random_2,3,0,0.49773888888888895,0.15444999999999998,-0.6697111615084075
random_2,3,1,0.4991722222222223,0.22495,-0.4046046176938889
random_2,3,2,0.6723166666666667,0.2254,-0.941820933635287
random_2,3,3,1.040338888888889,0.28105,-4.712375222747907
random_2,3,4,0.605638888888889,0.22495,-1.4454587039339035
random_2,3,5,0.4636166666666667,0.15444999999999998,-0.3682952171527176
random_2,3,6,0.4636166666666667,0.15444999999999998,-0.3682952171527176
random_2,3,7,0.4991722222222223,0.22495,-0.4046046176938889
random_2,3,8,0.42786111111111114,0.22495,0.2491435698523754
random_2,3,9,0.4991722222222223,0.22495,-0.4046046176938889
random_2,3,10,0.4991722222222223,0.22495,-0.4046046176938889
random_2,3,11,0.4991722222222223,0.22495,-0.4046046176938889
random_2,4,0,0.5358960704607046,0.22495,-0.914701322649905
random_2,4,1,0.4991722222222223,0.22495,-0.4046046176938889
random_2,4,2,0.6480348238482385,0.22495,-0.8733186941976199
random_2,4,3,1.0633873983739837,0.2254,-5.003813533123893
random_2,4,4,0.5605440379403794,0.22495,-0.9459388931415784
