filename,r,sample_id,mae,mdae,r2
random_2,3,9,0.20346666666666668,0.0735,-0.2341649615436232
random_2,3,10,0.2983222222222222,0.07635,-1.2401588353976
random_2,3,11,0.2745777777777778,0.07635,-0.8311137147110848
random_2,3,12,1.2021,0.2465,-73.8662062435745
random_2,3,13,0.7987444444444445,0.07635,-34.11404436160209
random_2,3,14,0.2745777777777778,0.07635,-0.8311137147110848
random_2,3,15,0.9148999999999999,0.27895000000000003,-33.29046673838773
random_2,4,0,0.26545555555555556,0.1540719512195122,-0.6556044675496946
random_2,4,1,0.4440588075880758,0.07635,-6.299361185667516
random_2,4,2,0.2745777777777778,0.07635,-0.8311137147110848
random_2,4,3,0.5958203252032521,0.07635,-16.032792427174957
random_2,4,4,0.27929132791327915,0.1187719512195122,-0.8412524535959154
random_2,4,5,0.2745777777777778,0.07635,-0.8311137147110848
random_2,4,6,0.27929132791327915,0.1187719512195122,-0.8412524535959154
random_2,4,7,0.6157967479674797,0.07635,-18.285309743845488
random_2,4,8,0.2745777777777778,0.07635,-0.8311137147110848
random_2,4,9,0.2312173441734417,0.07635,-0.3477384231876013
random_2,4,10,0.2986997289972899,0.1187719512195122,-1.008240566679317
random_2,4,11,0.2745777777777778,0.07635,-0.8311137147110848
random_2,4,12,1.0182517615176152,0.1216219512195122,-50.93132729723342
random_2,4,13,0.744110298102981,0.07635,-28.0998648865272
random_2,4,14,0.23656422764227644,0.1216219512195122,-0.3592394476340859
random_2,4,15,0.8907617886178864,0.3261280487804878,-33.4663699699588
random_2,5,0,0.2700608378870674,0.0900975409836065,-0.699253121469257
random_2,5,1,0.3811506375227686,0.07635,-3.6044909982473046
random_2,5,2,0.2721830601092896,0.0735,-0.8276515785213145
random_2,5,3,0.5705859744990893,0.07635,-14.097580078789164
random_2,5,4,0.28675500910746815,0.1719,-0.8663239057348482
random_2,5,5,0.2745777777777778,0.07635,-0.8311137147110848
random_2,5,6,0.2721830601092896,0.0735,-0.8276515785213145
random_2,5,7,0.79351912568306,0.18879508196721306,-34.857131181607905
random_2,5,8,0.2745777777777778,0.07635,-0.8311137147110848
random_2,5,9,0.24543387978142073,0.07635,-0.4651153317622496
random_2,5,10,0.3221570127504554,0.0735,-1.4877685298953263
random_2,5,11,0.27281639344262293,0.07635,-0.8285672130791475
random_2,5,12,0.9386391621129326,0.18879508196721306,-40.15509253924008
random_2,5,13,0.8436260473588342,0.0735,-41.297547973869754
random_2,5,14,0.2436724954462659,0.07635,-0.46256883013031236
random_2,5,15,0.7446868852459017,0.3901024590163935,-20.50795420862327
random_3,1,0,1.1430611111111113,0.37385,-2.40234537477013
random_3,1,1,0.6735166666666667,0.2739,-0.4670435444919496
random_3,1,2,1.0261500000000001,0.2739,-2.2097541699600227
random_3,1,3,0.6735166666666667,0.2739,-0.4670435444919496
random_3,1,4,0.6735166666666667,0.2739,-0.4670435444919496
random_3,1,5,2.8916500000000003,0.2739,-51.62301613345955
random_3,1,6,0.6735166666666667,0.2739,-0.4670435444919496
random_3,1,7,1.0216944444444445,0.2739,-3.9084261679073666
random_3,1,8,0.4883611111111111,0.2739,0.4479934742180729
random_3,1,9,1.6472055555555556,0.2739,-11.694953373368106
random_3,1,10,0.6735166666666667,0.2739,-0.4670435444919496
random_3,1,11,0.6705944444444445,0.2739,-0.46222967955514505
random_3,1,12,0.49573888888888884,0.2739,0.4236862018375538
random_3,1,13,0.6735166666666667,0.2739,-0.4670435444919496
random_3,1,14,1.0056277777777778,0.37385,-1.302185048186185
random_3,1,15,0.7875055555555556,0.37385,-0.6548208843652519
random_3,2,0,0.7054542735042736,0.34148461538461544,-0.5182337079013142
random_3,2,1,0.6735166666666667,0.2739,-0.4670435444919496
random_3,2,2,0.903073076923077,0.2739,-1.339709410754185
